https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA3S,Volume USDT
1652400000,2022-05-13 00:00:00,LUNA3S/USDT,8.702354,8.702354,6.247135,6.247135,4458.48461013,32442.10399769298683
1652313600,2022-05-12 00:00:00,LUNA3S/USDT,7.474092,10.389737,2.755893,10.297495,350707.69446358,2454470.95882314773914
1652227200,2022-05-11 00:00:00,LUNA3S/USDT,3.388041,9.850827,2.100001,7.474092,6428096.3718977,38761996.92771871845846
1652140800,2022-05-10 00:00:00,LUNA3S/USDT,2.699999,4.65,1.304454,3.377929,13631288.67394164,35133173.10709526720942
1652054400,2022-05-09 00:00:00,LUNA3S/USDT,1.04495,2.7,1.007025,2.699999,10095232.99372988,15899181.72096709749572
1651968000,2022-05-08 00:00:00,LUNA3S/USDT,0.898284,1.249999,0.885668,1.044716,6122693.28540869,6385712.08005928473528
1651881600,2022-05-07 00:00:00,LUNA3S/USDT,0.654537,0.999999,0.648742,0.897374,3786275.07422088,3021647.14395903129852
1651795200,2022-05-06 00:00:00,LUNA3S/USDT,0.55422,0.6575,0.5433,0.655,3420410.02986518,2075847.18155286491706
1651708800,2022-05-05 00:00:00,LUNA3S/USDT,0.491993,0.628285,0.461857,0.555557,3835862.34827711,2132588.63122954257704
1651622400,2022-05-04 00:00:00,LUNA3S/USDT,0.565553,0.573501,0.450092,0.490201,4548026.15631265,2311852.99223227098161
1651536000,2022-05-03 00:00:00,LUNA3S/USDT,0.539339,0.595,0.51034,0.565737,3649431.00496498,2017169.09873516340238
1651449600,2022-05-02 00:00:00,LUNA3S/USDT,0.57887,0.646489,0.524885,0.5383,4456406.58419484,2558057.33271332716443
1651363200,2022-05-01 00:00:00,LUNA3S/USDT,0.685538,0.72,0.56636,0.57887,3065119.73663065,1932246.0285833968122
1651276800,2022-04-30 00:00:00,LUNA3S/USDT,0.545677,0.688194,0.519891,0.685538,3423605.86199898,2072001.92351567955805
1651190400,2022-04-29 00:00:00,LUNA3S/USDT,0.479685,0.563411,0.47,0.545699,3573181.36567822,1886414.63263861550703
1651104000,2022-04-28 00:00:00,LUNA3S/USDT,0.481087,0.509807,0.427302,0.479724,4024729.18355347,1904148.11933525490788
1651017600,2022-04-27 00:00:00,LUNA3S/USDT,0.491551,0.505277,0.451118,0.481,3037914.34756937,1462144.67541762679192
1650931200,2022-04-26 00:00:00,LUNA3S/USDT,0.38899,0.504478,0.38011,0.489943,5253791.23376398,2357996.84208375998955
1650844800,2022-04-25 00:00:00,LUNA3S/USDT,0.48979,0.5491,0.384132,0.388982,6379735.85772315,3050903.28658244087891
1650758400,2022-04-24 00:00:00,LUNA3S/USDT,0.514538,0.52165,0.462707,0.489909,2856101.41746175,1399137.61675488956858
1650672000,2022-04-23 00:00:00,LUNA3S/USDT,0.451698,0.523396,0.44487,0.514538,3168846.70844514,1506474.7620633049803
1650585600,2022-04-22 00:00:00,LUNA3S/USDT,0.495653,0.499375,0.397797,0.453055,5975948.42272781,2703660.2238904231998
1650499200,2022-04-21 00:00:00,LUNA3S/USDT,0.45062,0.514999,0.385,0.495686,6306220.1966326,2789124.37344433417011
