https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROUTE,Volume USDT
1663459200,2022-09-18 00:00:00,ROUTE/USDT,3.2968,3.3124,3.29,3.29,2316.7741,7622.96576588
1663372800,2022-09-17 00:00:00,ROUTE/USDT,2.9696,3.3479,2.9001,3.2927,141203.2337,437431.74596095
1663286400,2022-09-16 00:00:00,ROUTE/USDT,2.8944,3.1076,2.78,2.9696,70995.1777,207766.37344506
1663200000,2022-09-15 00:00:00,ROUTE/USDT,3.0742,3.2308,2.8757,2.8953,115120.3497,351463.23296376
1663113600,2022-09-14 00:00:00,ROUTE/USDT,3.015,3.19,2.8002,3.0731,124418.6347,368600.32165066
1663027200,2022-09-13 00:00:00,ROUTE/USDT,3.2741,3.4084,2.8949,3.0118,169773.9254,532684.53510088
1662940800,2022-09-12 00:00:00,ROUTE/USDT,3.2101,3.35,3.1364,3.2824,156306.2623,504649.66100572
1662854400,2022-09-11 00:00:00,ROUTE/USDT,3.4121,3.4219,3.12,3.2145,173486.2419,559383.73268164
1662768000,2022-09-10 00:00:00,ROUTE/USDT,3.5207,3.5561,3.13,3.4182,182090.4634,605451.36459379
1662681600,2022-09-09 00:00:00,ROUTE/USDT,3.3699,3.795,3.2626,3.5228,165939.66346643,588321.509077097434
1662595200,2022-09-08 00:00:00,ROUTE/USDT,2.974,3.4944,2.8834,3.3541,202964.61923331,639680.732549385852
1662508800,2022-09-07 00:00:00,ROUTE/USDT,2.4815,3.05,2.39,2.9799,190439.3173,517783.45057541
1662422400,2022-09-06 00:00:00,ROUTE/USDT,2.7517,3.1967,2.4593,2.4859,214480.793,611413.47992841
1662336000,2022-09-05 00:00:00,ROUTE/USDT,2.9636,2.9997,2.6522,2.7558,89067.3383,248376.66336594
1662249600,2022-09-04 00:00:00,ROUTE/USDT,2.35,2.9945,2.3495,2.9606,104061.30177528,270729.211640136992
1662163200,2022-09-03 00:00:00,ROUTE/USDT,2.3493,2.4,2.265,2.348,65963.2232,151792.33717787
1662076800,2022-09-02 00:00:00,ROUTE/USDT,2.3861,2.4746,2.3125,2.3462,73186.3647,175166.1119673
1661990400,2022-09-01 00:00:00,ROUTE/USDT,2.3961,2.4565,2.3085,2.3859,142781.67567449,339010.158543193431
1661904000,2022-08-31 00:00:00,ROUTE/USDT,2.4429,2.5149,2.3677,2.4026,102971.81754396,249877.472803545808
1661817600,2022-08-30 00:00:00,ROUTE/USDT,2.4536,2.6046,2.3522,2.4511,206469.23420362,508488.418229729679
1661731200,2022-08-29 00:00:00,ROUTE/USDT,2.2211,2.4687,2.15,2.4621,238867.56383929,544425.25867189832
