https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FCON,Volume USDT
1663459200,2022-09-18 00:00:00,FCON/USDT,0.00044,0.000441,0.000435,0.000437,5859466.6435,2572.661247281
1663372800,2022-09-17 00:00:00,FCON/USDT,0.000418,0.000485,0.000409,0.000438,122122378.2545,54060.6415123504
1663286400,2022-09-16 00:00:00,FCON/USDT,0.000422,0.000431,0.000406,0.000418,40048857.5339,16875.5921867881
1663200000,2022-09-15 00:00:00,FCON/USDT,0.000428,0.000437,0.000417,0.000422,41261054.6641,17518.5488842963
1663113600,2022-09-14 00:00:00,FCON/USDT,0.00044,0.000447,0.000424,0.000428,40938543.4216,17659.33202537
1663027200,2022-09-13 00:00:00,FCON/USDT,0.000431,0.000458,0.000429,0.00044,72233996.2714,31773.2158628049
1662940800,2022-09-12 00:00:00,FCON/USDT,0.000438,0.00045,0.000424,0.000431,43831144.4537,19002.5062557615
1662854400,2022-09-11 00:00:00,FCON/USDT,0.000427,0.000451,0.000414,0.000438,50947905.8848,22060.1208260948
1662768000,2022-09-10 00:00:00,FCON/USDT,0.000442,0.000447,0.000416,0.000427,42711349.1258,18583.0291772721
1662681600,2022-09-09 00:00:00,FCON/USDT,0.000457,0.000465,0.00043,0.000442,70093462.4993,31263.3597747033
1662595200,2022-09-08 00:00:00,FCON/USDT,0.000436,0.00058,0.00043,0.000458,355008213.97823703,174778.38539571517778
1662508800,2022-09-07 00:00:00,FCON/USDT,0.000428,0.000449,0.000421,0.000436,57366461.8804,24763.2765754171
1662422400,2022-09-06 00:00:00,FCON/USDT,0.000457,0.000461,0.000423,0.000428,93512609.5636,41204.7362192088
1662336000,2022-09-05 00:00:00,FCON/USDT,0.000432,0.00052,0.000426,0.000456,125573011.7841,57647.1331645712
1662249600,2022-09-04 00:00:00,FCON/USDT,0.000459,0.000479,0.00042,0.000431,84742882.4888,37980.0747356732
1662163200,2022-09-03 00:00:00,FCON/USDT,0.000455,0.000474,0.000446,0.000459,38798349.5855,17817.4003426851
1662076800,2022-09-02 00:00:00,FCON/USDT,0.000457,0.000473,0.00044,0.000456,60718125.5865,27380.0176211825
1661990400,2022-09-01 00:00:00,FCON/USDT,0.000426,0.000512,0.000421,0.000457,238748700.5689,110944.1615047891
1661904000,2022-08-31 00:00:00,FCON/USDT,0.000435,0.000448,0.000419,0.000429,38927732.1622,16869.6780103408
1661817600,2022-08-30 00:00:00,FCON/USDT,0.00044,0.000446,0.000426,0.000434,31077578.9921,13614.3033624895
1661731200,2022-08-29 00:00:00,FCON/USDT,0.000452,0.000452,0.000437,0.000441,44560248.6583,19898.8003012245
1661644800,2022-08-28 00:00:00,FCON/USDT,0.000452,0.000459,0.000445,0.000453,68622610.6459,30832.5597434083
1661558400,2022-08-27 00:00:00,FCON/USDT,0.00045,0.000455,0.00041,0.000454,101035206.4781,45249.0347626713
1661472000,2022-08-26 00:00:00,FCON/USDT,0.000469,0.000472,0.000444,0.00045,91462872.9166,42061.005670263
1661385600,2022-08-25 00:00:00,FCON/USDT,0.000475,0.000483,0.000463,0.000468,67424334.0868,31720.1117836907
1661299200,2022-08-24 00:00:00,FCON/USDT,0.000491,0.000497,0.000449,0.000475,84835120.5706,40769.6006382545
1661212800,2022-08-23 00:00:00,FCON/USDT,0.000504,0.000512,0.000485,0.000491,74790168.0569,37256.4930745452
1661126400,2022-08-22 00:00:00,FCON/USDT,0.000515,0.000522,0.000486,0.000504,82352548.612,42055.7224842791
1661040000,2022-08-21 00:00:00,FCON/USDT,0.000507,0.000524,0.0005,0.000515,69443213.4434,35506.0507879521
1660953600,2022-08-20 00:00:00,FCON/USDT,0.000512,0.000527,0.0005,0.000507,70106286.9368,35941.2529749525
1660867200,2022-08-19 00:00:00,FCON/USDT,0.000538,0.000542,0.000503,0.000512,116133667.8606,60745.3825217582
1660780800,2022-08-18 00:00:00,FCON/USDT,0.000604,0.000606,0.000537,0.000539,149490829.7459,85119.461766033
1660694400,2022-08-17 00:00:00,FCON/USDT,0.000583,0.000631,0.000561,0.000604,220434596.3477,131110.9930765299
1660608000,2022-08-16 00:00:00,FCON/USDT,0.000613,0.00062,0.00057,0.000583,119929389.6723,71137.0200664898
1660521600,2022-08-15 00:00:00,FCON/USDT,0.000627,0.00077,0.000607,0.000612,422247499.3713,283753.9050563498
1660435200,2022-08-14 00:00:00,FCON/USDT,0.000594,0.00071,0.000585,0.000627,272824134.4957,172371.5868780042
1660348800,2022-08-13 00:00:00,FCON/USDT,0.000585,0.00061,0.000575,0.000595,91760228.6717,54170.9145256334
1660262400,2022-08-12 00:00:00,FCON/USDT,0.000585,0.000603,0.00058,0.000584,71540916.9547,42085.6275023751
