https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAPS,Volume USDT
1663545600000.0,2022-09-19 00:00:00,MAPS/USDT,0.1441,0.1441,0.1441,0.1441,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,MAPS/USDT,0.1464,0.1476,0.1441,0.1441,5068.937543372657,730.4339
1663372800000.0,2022-09-17 00:00:00,MAPS/USDT,0.1465,0.1479,0.1462,0.1467,3018.126107702795,442.7591
1663286400000.0,2022-09-16 00:00:00,MAPS/USDT,0.1471,0.1486,0.1454,0.1465,10495.380887372014,1537.5733
1663200000000.0,2022-09-15 00:00:00,MAPS/USDT,0.1501,0.1522,0.147,0.1471,29472.645139360975,4335.4261
1663113600000.0,2022-09-14 00:00:00,MAPS/USDT,0.1515,0.1528,0.1485,0.1501,7868.281145902731,1181.029
1663027200000.0,2022-09-13 00:00:00,MAPS/USDT,0.1538,0.1559,0.1506,0.1515,32723.193399339933,4957.5638
1662940800000.0,2022-09-12 00:00:00,MAPS/USDT,0.1552,0.1565,0.153,0.1538,10093.414824447334,1552.3672
1662854400000.0,2022-09-11 00:00:00,MAPS/USDT,0.1553,0.158,0.1545,0.1552,10553.894974226803,1637.9645
1662768000000.0,2022-09-10 00:00:00,MAPS/USDT,0.1531,0.157,0.1522,0.1553,11938.538956857696,1854.0551
1662681600000.0,2022-09-09 00:00:00,MAPS/USDT,0.1507,0.1554,0.1502,0.1531,32586.637491835398,4989.0142
1662595200000.0,2022-09-08 00:00:00,MAPS/USDT,0.1522,0.1522,0.1505,0.1507,4203.443928334439,633.459
1662508800000.0,2022-09-07 00:00:00,MAPS/USDT,0.1529,0.154,0.1503,0.1522,15903.160315374505,2420.461
1662422400000.0,2022-09-06 00:00:00,MAPS/USDT,0.1521,0.1602,0.1501,0.1529,55490.049705689984,8484.4286
1662336000000.0,2022-09-05 00:00:00,MAPS/USDT,0.1512,0.1536,0.1496,0.1521,8222.831689677843,1250.6927
1662249600000.0,2022-09-04 00:00:00,MAPS/USDT,0.1489,0.1512,0.1486,0.1512,9923.886243386243,1500.4916
1662163200000.0,2022-09-03 00:00:00,MAPS/USDT,0.1498,0.1498,0.1481,0.1489,2991.562122229684,445.4436
1662076800000.0,2022-09-02 00:00:00,MAPS/USDT,0.1505,0.1519,0.1488,0.1498,4526.515353805074,678.072
1661990400000.0,2022-09-01 00:00:00,MAPS/USDT,0.1499,0.1506,0.1485,0.1505,5232.843853820598,787.543
1661904000000.0,2022-08-31 00:00:00,MAPS/USDT,0.1506,0.1529,0.1496,0.1499,14722.188792528352,2206.8561
1661817600000.0,2022-08-30 00:00:00,MAPS/USDT,0.1525,0.1548,0.1488,0.1506,14346.839973439575,2160.6341
1661731200000.0,2022-08-29 00:00:00,MAPS/USDT,0.1486,0.1527,0.1471,0.1525,14515.382295081969,2213.5958
1661644800000.0,2022-08-28 00:00:00,MAPS/USDT,0.1475,0.1513,0.1474,0.1486,7869.806191117092,1169.4532
1661558400000.0,2022-08-27 00:00:00,MAPS/USDT,0.1504,0.1505,0.1467,0.1475,4713.381694915254,695.2238
1661472000000.0,2022-08-26 00:00:00,MAPS/USDT,0.1547,0.1559,0.1494,0.1504,40903.35970744681,6151.8653
1661385600000.0,2022-08-25 00:00:00,MAPS/USDT,0.1533,0.1942,0.1516,0.1547,236470.47446670977,36581.9824
1661299200000.0,2022-08-24 00:00:00,MAPS/USDT,0.1537,0.1698,0.152,0.1533,67675.7240704501,10374.6885
1661212800000.0,2022-08-23 00:00:00,MAPS/USDT,0.1455,0.1551,0.144,0.1537,20193.56994144437,3103.7517
1661126400000.0,2022-08-22 00:00:00,MAPS/USDT,0.165,0.1655,0.1454,0.1455,82664.38144329897,12027.6675
1661040000000.0,2022-08-21 00:00:00,MAPS/USDT,0.1711,0.1747,0.1648,0.165,19590.74424242424,3232.4728
1660953600000.0,2022-08-20 00:00:00,MAPS/USDT,0.1741,0.1748,0.1707,0.1711,3087.551139684395,528.28
1660867200000.0,2022-08-19 00:00:00,MAPS/USDT,0.1839,0.1839,0.1741,0.1741,14929.501435956347,2599.2262
1660780800000.0,2022-08-18 00:00:00,MAPS/USDT,0.1771,0.1885,0.1771,0.1839,25040.728113104946,4604.9899
1660694400000.0,2022-08-17 00:00:00,MAPS/USDT,0.183,0.1856,0.1769,0.1771,24766.843026538678,4386.2079
1660608000000.0,2022-08-16 00:00:00,MAPS/USDT,0.1776,0.1846,0.1776,0.183,24564.187978142076,4495.2464
1660521600000.0,2022-08-15 00:00:00,MAPS/USDT,0.1795,0.182,0.1775,0.1776,23047.138513513513,4093.1718
1660435200000.0,2022-08-14 00:00:00,MAPS/USDT,0.1817,0.1844,0.1794,0.1795,14330.029526462396,2572.2403
1660348800000.0,2022-08-13 00:00:00,MAPS/USDT,0.1821,0.1855,0.1817,0.1817,7233.533296642819,1314.333
1660262400000.0,2022-08-12 00:00:00,MAPS/USDT,0.1822,0.1841,0.1796,0.1821,15613.979681493684,2843.3057
1660176000000.0,2022-08-11 00:00:00,MAPS/USDT,0.1907,0.1922,0.1818,0.1822,26214.40834248079,4776.2652
1660089600000.0,2022-08-10 00:00:00,MAPS/USDT,0.1896,0.1924,0.1876,0.1907,29421.510749868903,5610.6821
