https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPACA,Volume USDT
1663459200,2022-09-18 00:00:00,ALPACA/USDT,0.2725,0.2725,0.2706,0.2706,31.6207,8.57704993
1663372800,2022-09-17 00:00:00,ALPACA/USDT,0.2686,0.275,0.2676,0.2725,7388.2455,1999.08070847
1663286400,2022-09-16 00:00:00,ALPACA/USDT,0.2751,0.2793,0.2658,0.2658,14686.4107,3959.58028201
1663200000,2022-09-15 00:00:00,ALPACA/USDT,0.2736,0.2855,0.2715,0.2757,36433.6521,10171.02820527
1663113600,2022-09-14 00:00:00,ALPACA/USDT,0.276,0.2825,0.27,0.2738,12257.0123,3354.12956466
1663027200,2022-09-13 00:00:00,ALPACA/USDT,0.2817,0.2911,0.2752,0.276,16249.8093,4557.46069872
1662940800,2022-09-12 00:00:00,ALPACA/USDT,0.2868,0.2912,0.2812,0.2846,11096.8073,3163.24346318
1662854400,2022-09-11 00:00:00,ALPACA/USDT,0.2847,0.2868,0.2804,0.2868,7107.1332,2018.94334801
1662768000,2022-09-10 00:00:00,ALPACA/USDT,0.2843,0.3168,0.2819,0.285,109151.1991,32431.93220971
1662681600,2022-09-09 00:00:00,ALPACA/USDT,0.2796,0.29,0.257,0.2837,60257.866,17005.2790504
1662595200,2022-09-08 00:00:00,ALPACA/USDT,0.2813,0.2849,0.2727,0.2814,4029.6769,1127.31022031
1662508800,2022-09-07 00:00:00,ALPACA/USDT,0.2766,0.2825,0.2629,0.2816,13594.9444,3690.83837792
1662422400,2022-09-06 00:00:00,ALPACA/USDT,0.2865,0.2893,0.2707,0.2766,31040.2312,8762.51962108
1662336000,2022-09-05 00:00:00,ALPACA/USDT,0.2835,0.2998,0.2772,0.288,30811.0326,8890.02730478
1662249600,2022-09-04 00:00:00,ALPACA/USDT,0.2696,0.2986,0.2675,0.2841,45807.6419,13197.56026405
1662163200,2022-09-03 00:00:00,ALPACA/USDT,0.2691,0.2893,0.268,0.27,40826.5855,11200.93901415
1662076800,2022-09-02 00:00:00,ALPACA/USDT,0.2669,0.2736,0.2632,0.2686,10927.6218,2930.07153885
