https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CQT,Volume USDT
1663459200,2022-09-18 00:00:00,CQT/USDT,0.07,0.07,0.0691,0.0691,2764.4122,191.76884413
1663372800,2022-09-17 00:00:00,CQT/USDT,0.0668,0.0703,0.0668,0.0696,185144.6919,12653.70748536
1663286400,2022-09-16 00:00:00,CQT/USDT,0.0688,0.0688,0.0655,0.0669,198122.5062,13245.52044509
1663200000,2022-09-15 00:00:00,CQT/USDT,0.0699,0.0717,0.0681,0.0686,150119.0239,10516.05350404
1663113600,2022-09-14 00:00:00,CQT/USDT,0.0692,0.0702,0.0692,0.0693,57632.4511,3999.53724193
1663027200,2022-09-13 00:00:00,CQT/USDT,0.0733,0.0733,0.0692,0.0692,141673.4322,10056.56130781
1662940800,2022-09-12 00:00:00,CQT/USDT,0.0713,0.0741,0.0705,0.0728,198493.7495,14474.59403821
1662854400,2022-09-11 00:00:00,CQT/USDT,0.0714,0.0719,0.0701,0.0712,47536.7939,3377.33925698
1662768000,2022-09-10 00:00:00,CQT/USDT,0.072,0.072,0.0703,0.0715,116240.2677,8302.84517107
1662681600,2022-09-09 00:00:00,CQT/USDT,0.069,0.0724,0.0681,0.072,225503.0498,15857.96128768
1662595200,2022-09-08 00:00:00,CQT/USDT,0.069,0.0702,0.068,0.0692,206241.937,14259.23272338
1662508800,2022-09-07 00:00:00,CQT/USDT,0.0669,0.0695,0.0657,0.069,151040.6446,10193.74860032
1662422400,2022-09-06 00:00:00,CQT/USDT,0.0683,0.0705,0.0669,0.067,241028.8845,16561.1612039
1662336000,2022-09-05 00:00:00,CQT/USDT,0.0693,0.0704,0.0676,0.0683,167236.2288,11536.45449387
1662249600,2022-09-04 00:00:00,CQT/USDT,0.0668,0.0695,0.0665,0.0693,63159.9766,4334.02431135
1662163200,2022-09-03 00:00:00,CQT/USDT,0.0685,0.0706,0.0661,0.0671,131348.3625,8977.74754738
1662076800,2022-09-02 00:00:00,CQT/USDT,0.0643,0.0687,0.0636,0.0683,254295.4692,16787.04949452
1661990400,2022-09-01 00:00:00,CQT/USDT,0.0649,0.0655,0.0622,0.064,323154.1879,20528.6939177
1661904000,2022-08-31 00:00:00,CQT/USDT,0.066,0.0675,0.0644,0.0647,192160.8068,12577.65149321
1661817600,2022-08-30 00:00:00,CQT/USDT,0.0686,0.0697,0.0647,0.0658,114875.6337,7762.80078772
1661731200,2022-08-29 00:00:00,CQT/USDT,0.069,0.0698,0.0631,0.0694,570567.4435,37872.92478659
1661644800,2022-08-28 00:00:00,CQT/USDT,0.0698,0.0713,0.0686,0.069,255747.788,17930.28443423
1661558400,2022-08-27 00:00:00,CQT/USDT,0.0716,0.0716,0.0692,0.0701,113618.2574,7957.17664503
1661472000,2022-08-26 00:00:00,CQT/USDT,0.0768,0.078,0.0716,0.0716,184867.8767,13936.36448489
1661385600,2022-08-25 00:00:00,CQT/USDT,0.0711,0.0775,0.0711,0.0774,339768.3023,25424.44176287
1661299200,2022-08-24 00:00:00,CQT/USDT,0.0714,0.0735,0.0696,0.0709,298614.2497,21158.83276553
1661212800,2022-08-23 00:00:00,CQT/USDT,0.069,0.0717,0.0678,0.0714,249119.4486,17280.98781139
1661126400,2022-08-22 00:00:00,CQT/USDT,0.0672,0.0688,0.0644,0.0685,533838.6209,35600.8049333
1661040000,2022-08-21 00:00:00,CQT/USDT,0.0663,0.0707,0.066,0.067,428238.8068,29000.09237437
1660953600,2022-08-20 00:00:00,CQT/USDT,0.0688,0.0691,0.0661,0.0663,261544.7312,17677.94508465
1660867200,2022-08-19 00:00:00,CQT/USDT,0.077,0.077,0.0684,0.0686,539553.05627298,38299.35216341562
1660780800,2022-08-18 00:00:00,CQT/USDT,0.0787,0.0799,0.0764,0.0772,359669.0095,28035.8935119
1660694400,2022-08-17 00:00:00,CQT/USDT,0.0829,0.0836,0.0781,0.0785,364613.7894,29547.45701255
1660608000,2022-08-16 00:00:00,CQT/USDT,0.0842,0.0845,0.0816,0.0824,253085.22,20987.26315755
1660521600,2022-08-15 00:00:00,CQT/USDT,0.0857,0.0869,0.0839,0.0842,154052.5331,13133.80901025
1660435200,2022-08-14 00:00:00,CQT/USDT,0.0886,0.0892,0.085,0.0857,515260.588,45061.41311516
1660348800,2022-08-13 00:00:00,CQT/USDT,0.0888,0.0914,0.087,0.0888,345289.77,30744.58915375
1660262400,2022-08-12 00:00:00,CQT/USDT,0.0885,0.0924,0.0879,0.0879,286330.1036,25634.81762036
1660176000,2022-08-11 00:00:00,CQT/USDT,0.089,0.0912,0.087,0.0885,508970.4886,45301.61193517
1660089600,2022-08-10 00:00:00,CQT/USDT,0.0849,0.0899,0.0832,0.0893,333566.6007,29127.85103621
1660003200,2022-08-09 00:00:00,CQT/USDT,0.0884,0.0892,0.0825,0.085,216938.46,18359.06495584
1659916800,2022-08-08 00:00:00,CQT/USDT,0.0835,0.0893,0.0825,0.0884,582655.3805,50812.70828156
1659830400,2022-08-07 00:00:00,CQT/USDT,0.0888,0.0893,0.0818,0.0834,663152.9147,55647.3158968
1659744000,2022-08-06 00:00:00,CQT/USDT,0.0837,0.0913,0.0835,0.0889,368822.2979,32121.87956266
1659657600,2022-08-05 00:00:00,CQT/USDT,0.0831,0.0859,0.0815,0.0837,1041207.481,86952.91469371
1659571200,2022-08-04 00:00:00,CQT/USDT,0.0826,0.0861,0.081,0.0838,1287506.2615,107327.14907253
1659484800,2022-08-03 00:00:00,CQT/USDT,0.089,0.09,0.0823,0.0829,1929329.1353,167878.96232261
1659398400,2022-08-02 00:00:00,CQT/USDT,0.066,0.0924,0.061,0.0895,16886355.4887,1334333.05839573
1659312000,2022-08-01 00:00:00,CQT/USDT,0.1246,0.1246,0.046,0.066,4237692.1111,283251.0438238
1659225600,2022-07-31 00:00:00,CQT/USDT,0.1249,0.1304,0.1234,0.1244,213460.0181,26949.68908555
1659139200,2022-07-30 00:00:00,CQT/USDT,0.1257,0.1294,0.1229,0.1248,352369.7594,44333.96485528
1659052800,2022-07-29 00:00:00,CQT/USDT,0.1186,0.1273,0.1171,0.1258,326956.8758,40561.59488698
1658966400,2022-07-28 00:00:00,CQT/USDT,0.1167,0.1205,0.1153,0.1194,134051.9592,15796.92328988
1658880000,2022-07-27 00:00:00,CQT/USDT,0.1074,0.1166,0.106,0.1164,187052.5995,20746.40767183
1658793600,2022-07-26 00:00:00,CQT/USDT,0.1088,0.1088,0.1055,0.1081,70629.6531,7522.90336235
1658707200,2022-07-25 00:00:00,CQT/USDT,0.1134,0.1135,0.1087,0.109,134519.3899,14858.75339322
1658620800,2022-07-24 00:00:00,CQT/USDT,0.1143,0.1153,0.1126,0.1135,128642.8762,14660.95143868
1658534400,2022-07-23 00:00:00,CQT/USDT,0.1172,0.1187,0.1117,0.1146,201962.8328,23016.2048468
1658448000,2022-07-22 00:00:00,CQT/USDT,0.1179,0.122,0.1172,0.1173,148178.3055,17751.95353886
1658361600,2022-07-21 00:00:00,CQT/USDT,0.116,0.1183,0.1106,0.1179,179243.1579,20524.438962938976
1658275200,2022-07-20 00:00:00,CQT/USDT,0.1171,0.121,0.1159,0.116,217578.51149368,25686.567307188633
1658188800,2022-07-19 00:00:00,CQT/USDT,0.1124,0.12,0.1105,0.1171,246717.27638616,28414.090297485185
1658102400,2022-07-18 00:00:00,CQT/USDT,0.105,0.1128,0.105,0.1124,274456.14383306,29962.216767434843
1658016000,2022-07-17 00:00:00,CQT/USDT,0.1078,0.1088,0.105,0.105,181509.89704371,19171.55789111079
1657929600,2022-07-16 00:00:00,CQT/USDT,0.1048,0.109,0.102,0.1081,138005.2103043,14682.889863076219
1657843200,2022-07-15 00:00:00,CQT/USDT,0.1018,0.106,0.1013,0.1047,184673.33380785,19174.108910598963
1657756800,2022-07-14 00:00:00,CQT/USDT,0.1013,0.1042,0.0988,0.102,29955.50006697,3034.227505130483
1657670400,2022-07-13 00:00:00,CQT/USDT,0.1006,0.1015,0.0968,0.1008,174165.70154949,17321.722033322206
1657584000,2022-07-12 00:00:00,CQT/USDT,0.1053,0.1064,0.1005,0.101,65928.79877241,6884.551183414595
1657497600,2022-07-11 00:00:00,CQT/USDT,0.1112,0.1119,0.1053,0.1053,103110.22985416,11309.523538064284
1657411200,2022-07-10 00:00:00,CQT/USDT,0.1126,0.116,0.11,0.1113,186553.32719832,21025.838347225781
1657324800,2022-07-09 00:00:00,CQT/USDT,0.1137,0.1142,0.1111,0.1127,53605.96813799,6036.437364375281
1657238400,2022-07-08 00:00:00,CQT/USDT,0.1144,0.1155,0.1103,0.1138,97807.8431118,11008.567525755978
1657152000,2022-07-07 00:00:00,CQT/USDT,0.1149,0.1157,0.1079,0.1144,208907.63225535,23426.811206882633
1657065600,2022-07-06 00:00:00,CQT/USDT,0.1087,0.1158,0.1074,0.115,236616.00337812,26459.792995572157
1656979200,2022-07-05 00:00:00,CQT/USDT,0.111,0.1128,0.1051,0.1086,290730.79900102,31459.272643144189
1656892800,2022-07-04 00:00:00,CQT/USDT,0.1123,0.1131,0.1095,0.1108,291817.43322787,32540.620010298556
1656806400,2022-07-03 00:00:00,CQT/USDT,0.1065,0.1196,0.1017,0.1121,588820.41256412,64332.986526096408
1656720000,2022-07-02 00:00:00,CQT/USDT,0.1099,0.1116,0.1064,0.1067,133462.78233003,14507.282840656803
1656633600,2022-07-01 00:00:00,CQT/USDT,0.109,0.1128,0.107,0.1108,436177.8351417,47867.089961891472
1656547200,2022-06-30 00:00:00,CQT/USDT,0.1066,0.1092,0.1031,0.1092,249467.94142595,26413.990709083375
1656460800,2022-06-29 00:00:00,CQT/USDT,0.1115,0.1135,0.104,0.1074,200559.14298684,21661.332187786843
1656374400,2022-06-28 00:00:00,CQT/USDT,0.1188,0.1206,0.1112,0.1119,241189.75838619,27638.783769817268
1656288000,2022-06-27 00:00:00,CQT/USDT,0.1195,0.1248,0.117,0.1195,136527.62455475,16437.878471925716
1656201600,2022-06-26 00:00:00,CQT/USDT,0.12,0.1285,0.1178,0.1196,249560.56410773,30553.134564154969
1656115200,2022-06-25 00:00:00,CQT/USDT,0.1213,0.1221,0.1184,0.1194,109871.17093657,13174.087069923375
1656028800,2022-06-24 00:00:00,CQT/USDT,0.1223,0.1251,0.1201,0.1222,171901.58823096,21040.595229420375
1655942400,2022-06-23 00:00:00,CQT/USDT,0.1122,0.1228,0.1104,0.1223,449201.44486193,53413.704941664974
1655856000,2022-06-22 00:00:00,CQT/USDT,0.1053,0.1152,0.105,0.1122,129077.30380747,14250.170858831779
1655769600,2022-06-21 00:00:00,CQT/USDT,0.108,0.1137,0.1044,0.1052,344284.32975964,36976.989096209725
1655683200,2022-06-20 00:00:00,CQT/USDT,0.1049,0.111,0.1002,0.1079,479786.08064733,51683.522414812202
1655596800,2022-06-19 00:00:00,CQT/USDT,0.0978,0.1068,0.0966,0.1054,94527.05774153,9550.294460139962
1655510400,2022-06-18 00:00:00,CQT/USDT,0.1016,0.1034,0.0938,0.0972,386816.85537381,38168.270229606918
1655424000,2022-06-17 00:00:00,CQT/USDT,0.0987,0.1029,0.0982,0.102,104284.59762496,10483.497305149252
1655337600,2022-06-16 00:00:00,CQT/USDT,0.1069,0.109,0.0966,0.0991,484083.30119735,48223.370679784322
1655251200,2022-06-15 00:00:00,CQT/USDT,0.1172,0.1176,0.0937,0.1069,2635093.46170363,268580.039977837752
1655164800,2022-06-14 00:00:00,CQT/USDT,0.1045,0.1194,0.0993,0.1166,430074.44573612,46732.452364201232
1655078400,2022-06-13 00:00:00,CQT/USDT,0.1033,0.1088,0.0971,0.1045,525508.1052634,53828.118408879499
1654992000,2022-06-12 00:00:00,CQT/USDT,0.1053,0.11,0.0995,0.1034,375531.06881783,38942.503546661073
1654905600,2022-06-11 00:00:00,CQT/USDT,0.1089,0.1102,0.1032,0.1052,257836.18750781,27609.146108177052
1654819200,2022-06-10 00:00:00,CQT/USDT,0.1243,0.1248,0.109,0.1091,1990241.22580248,232814.751822032323
1654732800,2022-06-09 00:00:00,CQT/USDT,0.1249,0.1283,0.1242,0.1242,473849.28916835,59478.704682988594
1654646400,2022-06-08 00:00:00,CQT/USDT,0.1327,0.1344,0.1247,0.1247,210489.56625318,27394.274092593839
1654560000,2022-06-07 00:00:00,CQT/USDT,0.1357,0.1357,0.1283,0.1328,200598.24184585,26395.113015019002
1654473600,2022-06-06 00:00:00,CQT/USDT,0.1341,0.1433,0.1334,0.1356,288240.16945277,39510.399276957706
1654387200,2022-06-05 00:00:00,CQT/USDT,0.1417,0.1439,0.131,0.1344,163418.00540702,22059.805512014083
1654300800,2022-06-04 00:00:00,CQT/USDT,0.138,0.1419,0.1328,0.1419,323054.74815173,43925.780990463259
1654214400,2022-06-03 00:00:00,CQT/USDT,0.1445,0.1462,0.1328,0.1387,214793.87460659,29772.986079066621
1654128000,2022-06-02 00:00:00,CQT/USDT,0.1445,0.154,0.1391,0.1459,378017.70911836,55478.182734059235
1654041600,2022-06-01 00:00:00,CQT/USDT,0.1493,0.1501,0.1432,0.1445,791697.2036306,115996.467058845856
1653955200,2022-05-31 00:00:00,CQT/USDT,0.1502,0.1542,0.1471,0.1497,248064.34897891,37535.661604150517
1653868800,2022-05-30 00:00:00,CQT/USDT,0.1377,0.1505,0.1374,0.1497,478494.85434711,69942.905580614763
1653782400,2022-05-29 00:00:00,CQT/USDT,0.1453,0.1453,0.1354,0.138,413534.61854794,57460.742184732794
1653696000,2022-05-28 00:00:00,CQT/USDT,0.1443,0.1496,0.144,0.1452,208659.08675791,30645.616994910766
1653609600,2022-05-27 00:00:00,CQT/USDT,0.1454,0.1502,0.1406,0.1442,459233.89950517,66510.728503528208
1653523200,2022-05-26 00:00:00,CQT/USDT,0.147,0.1599,0.1412,0.1453,423748.46331333,63219.497678787911
1653436800,2022-05-25 00:00:00,CQT/USDT,0.1564,0.159,0.1474,0.1474,118266.29148331,17858.545160810101
1653350400,2022-05-24 00:00:00,CQT/USDT,0.1607,0.1612,0.1526,0.1563,230737.73818645,36136.248132707939
1653264000,2022-05-23 00:00:00,CQT/USDT,0.1653,0.171,0.1604,0.1607,193229.06833653,32150.577943207539
1653177600,2022-05-22 00:00:00,CQT/USDT,0.1602,0.1665,0.1599,0.1647,155247.68044271,25191.514151535513
1653091200,2022-05-21 00:00:00,CQT/USDT,0.1551,0.1706,0.1512,0.1603,340426.47187048,54869.966033270441
1653004800,2022-05-20 00:00:00,CQT/USDT,0.1614,0.1671,0.151,0.1551,290250.98435449,45587.669166209423
1652918400,2022-05-19 00:00:00,CQT/USDT,0.152,0.1685,0.147,0.1614,533511.62800598,82845.168238747149
