https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FCD,Volume USDT
1663459200,2022-09-18 00:00:00,FCD/USDT,0.05413,0.05418,0.05413,0.05418,25.1433,1.361661119
1663372800,2022-09-17 00:00:00,FCD/USDT,0.05331,0.0545,0.05297,0.05422,1295120.7316,70004.10065093
1663286400,2022-09-16 00:00:00,FCD/USDT,0.05339,0.05391,0.05339,0.05361,23522.2945,1261.864382489
1663200000,2022-09-15 00:00:00,FCD/USDT,0.05401,0.05407,0.05354,0.05374,44563.7695,2404.198743297
1663113600,2022-09-14 00:00:00,FCD/USDT,0.05435,0.05435,0.05379,0.05401,227305.0521,12312.348547779
1663027200,2022-09-13 00:00:00,FCD/USDT,0.05411,0.05439,0.05395,0.05424,424821.6104,23061.238892204
1662940800,2022-09-12 00:00:00,FCD/USDT,0.05412,0.0546,0.05412,0.05417,2028903.4257,110239.96597946
1662854400,2022-09-11 00:00:00,FCD/USDT,0.05369,0.05434,0.05321,0.05423,3707664.4144,200137.590205163
1662768000,2022-09-10 00:00:00,FCD/USDT,0.0529,0.0537,0.0524,0.05367,2103013.86,112231.722600525
1662681600,2022-09-09 00:00:00,FCD/USDT,0.05073,0.0529,0.05061,0.0529,2167923.2734,113493.210671169
1662595200,2022-09-08 00:00:00,FCD/USDT,0.05092,0.05131,0.05056,0.05069,3945804.9461,201019.436852743
1662508800,2022-09-07 00:00:00,FCD/USDT,0.05146,0.05161,0.05062,0.05096,2432634.4557,124385.858202297
1662422400,2022-09-06 00:00:00,FCD/USDT,0.05181,0.05201,0.05132,0.05133,3163330.8803,163772.967828677
1662336000,2022-09-05 00:00:00,FCD/USDT,0.05175,0.05182,0.05153,0.05181,2541461.3554,131416.992313342
1662249600,2022-09-04 00:00:00,FCD/USDT,0.05162,0.05196,0.05141,0.05174,1021015.4315,52827.093184663
1662163200,2022-09-03 00:00:00,FCD/USDT,0.05154,0.05193,0.05055,0.05164,238321.8102,12305.434752316
1662076800,2022-09-02 00:00:00,FCD/USDT,0.05162,0.05186,0.05136,0.05156,2080878.4822,107373.822758112
1661990400,2022-09-01 00:00:00,FCD/USDT,0.05156,0.052,0.05111,0.0516,4563678.7677,236103.670012373
1661904000,2022-08-31 00:00:00,FCD/USDT,0.05133,0.0517,0.05105,0.05158,4110650.3405,212057.949316585
1661817600,2022-08-30 00:00:00,FCD/USDT,0.05119,0.0517,0.05101,0.05134,2965273.7949,152284.617993311
1661731200,2022-08-29 00:00:00,FCD/USDT,0.0503,0.05147,0.05023,0.0512,2948834.1071,149206.217171208
1661644800,2022-08-28 00:00:00,FCD/USDT,0.05144,0.05201,0.04965,0.05043,3891575.0436,198985.095721817
1661558400,2022-08-27 00:00:00,FCD/USDT,0.05107,0.05164,0.05072,0.05159,4442948.911,227157.284028079
1661472000,2022-08-26 00:00:00,FCD/USDT,0.04991,0.0514,0.0498,0.051,4792019.4364,243247.912664099
1661385600,2022-08-25 00:00:00,FCD/USDT,0.04677,0.04999,0.04626,0.04999,2455183.4951,120972.137557105
1661299200,2022-08-24 00:00:00,FCD/USDT,0.04657,0.04681,0.04655,0.04677,4893447.1113,228546.912193398
1661212800,2022-08-23 00:00:00,FCD/USDT,0.04656,0.04661,0.0465,0.04657,4929237.3523,229506.627443317
1661126400,2022-08-22 00:00:00,FCD/USDT,0.04681,0.04682,0.04637,0.04654,3784154.8685,176812.260355751
1661040000,2022-08-21 00:00:00,FCD/USDT,0.04645,0.04702,0.04643,0.04682,2220954.3488,103958.096624975
1660953600,2022-08-20 00:00:00,FCD/USDT,0.04658,0.04662,0.04633,0.04644,3004174.6528,139648.738343098
1660867200,2022-08-19 00:00:00,FCD/USDT,0.04801,0.04801,0.04629,0.04661,3849456.549,181501.967092536
1660780800,2022-08-18 00:00:00,FCD/USDT,0.04816,0.0483,0.04793,0.04801,4046781.2371,194757.447097027
1660694400,2022-08-17 00:00:00,FCD/USDT,0.04804,0.04831,0.04803,0.04816,3304716.3237,159295.832980259
