https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RNDR,Volume USDT
1663459200,2022-09-18 00:00:00,RNDR/USDT,0.4833,0.4845,0.4748,0.4748,30679.6854113,14661.472255175474
1663372800,2022-09-17 00:00:00,RNDR/USDT,0.4639,0.5195,0.4558,0.4833,2036159.17567763,975311.322184681053
1663286400,2022-09-16 00:00:00,RNDR/USDT,0.5,0.5011,0.4165,0.4628,3803735.64137671,1691195.481045127332
1663200000,2022-09-15 00:00:00,RNDR/USDT,0.5133,0.5177,0.4869,0.5001,793680.66537826,399978.564135350181
1663113600,2022-09-14 00:00:00,RNDR/USDT,0.5088,0.5307,0.5038,0.5129,819923.34974215,424433.002305164968
1663027200,2022-09-13 00:00:00,RNDR/USDT,0.5695,0.5695,0.5069,0.5088,933836.04330412,499787.721591348629
1662940800,2022-09-12 00:00:00,RNDR/USDT,0.565,0.599,0.5369,0.5687,1484166.15248043,842525.732780546405
1662854400,2022-09-11 00:00:00,RNDR/USDT,0.5825,0.6041,0.5516,0.5644,1405680.33575965,816099.574799860484
1662768000,2022-09-10 00:00:00,RNDR/USDT,0.5638,0.6394,0.5585,0.5824,2306502.76021482,1353076.266242233286
1662681600,2022-09-09 00:00:00,RNDR/USDT,0.5505,0.5722,0.5337,0.5639,2123659.5914494,1174763.29288136353
1662595200,2022-09-08 00:00:00,RNDR/USDT,0.5061,0.6732,0.4893,0.55,4499420.17887425,2498831.769132653745
1662508800,2022-09-07 00:00:00,RNDR/USDT,0.4708,0.5224,0.458,0.5061,1554726.26659102,772430.00830483313
1662422400,2022-09-06 00:00:00,RNDR/USDT,0.5,0.5083,0.4675,0.4708,1286877.66959522,633864.680363520236
1662336000,2022-09-05 00:00:00,RNDR/USDT,0.5157,0.5227,0.4751,0.4999,1371415.91811273,677605.94967979906
1662249600,2022-09-04 00:00:00,RNDR/USDT,0.5095,0.5203,0.4961,0.5165,629980.47735741,321008.472933768998
1662163200,2022-09-03 00:00:00,RNDR/USDT,0.5203,0.5232,0.4998,0.5095,336386.93802402,171564.222092599194
1662076800,2022-09-02 00:00:00,RNDR/USDT,0.5239,0.5419,0.5076,0.5215,811530.41678347,424859.508291542362
1661990400,2022-09-01 00:00:00,RNDR/USDT,0.5133,0.5264,0.4995,0.5243,953344.34996234,487526.087599251757
1661904000,2022-08-31 00:00:00,RNDR/USDT,0.5241,0.5419,0.5114,0.514,860121.98941145,454613.92466920226
1661817600,2022-08-30 00:00:00,RNDR/USDT,0.5434,0.5493,0.505,0.5237,1348992.73367572,715329.934030240069
1661731200,2022-08-29 00:00:00,RNDR/USDT,0.5072,0.5577,0.5016,0.5446,2367578.02901004,1253364.506358750294
1661644800,2022-08-28 00:00:00,RNDR/USDT,0.5183,0.5728,0.5035,0.5065,3167040.89504148,1682164.679571317425
1661558400,2022-08-27 00:00:00,RNDR/USDT,0.5146,0.5748,0.4945,0.5174,2182466.73958112,1145411.778744261271
1661472000,2022-08-26 00:00:00,RNDR/USDT,0.5729,0.5812,0.502,0.5146,1301051.44812216,703423.03758443831
1661385600,2022-08-25 00:00:00,RNDR/USDT,0.5793,0.6009,0.5694,0.5742,830259.14483571,487508.110536677365
1661299200,2022-08-24 00:00:00,RNDR/USDT,0.6037,0.6156,0.5696,0.5801,1104964.70242311,651208.513194375962
1661212800,2022-08-23 00:00:00,RNDR/USDT,0.6115,0.6185,0.5818,0.6027,1090815.79577864,658082.604591965232
1661126400,2022-08-22 00:00:00,RNDR/USDT,0.6077,0.6461,0.5867,0.6112,1874923.46608481,1138096.702985493102
1661040000,2022-08-21 00:00:00,RNDR/USDT,0.5453,0.6878,0.542,0.6067,3455438.29687198,2167261.453298126506
1660953600,2022-08-20 00:00:00,RNDR/USDT,0.5541,0.5713,0.526,0.5446,557644.57721099,307478.385755044269
1660867200,2022-08-19 00:00:00,RNDR/USDT,0.6126,0.6126,0.5449,0.5527,1588452.91925644,915596.119207128196
1660780800,2022-08-18 00:00:00,RNDR/USDT,0.6441,0.6585,0.6034,0.6117,818473.5219201,522207.482954371368
1660694400,2022-08-17 00:00:00,RNDR/USDT,0.6675,0.7102,0.6201,0.6421,1408545.45115266,922598.233814542294
1660608000,2022-08-16 00:00:00,RNDR/USDT,0.6873,0.6989,0.6559,0.6672,719788.46639075,489570.075463806046
1660521600,2022-08-15 00:00:00,RNDR/USDT,0.722,0.7436,0.676,0.6864,1219084.12870423,855650.015650130181
1660435200,2022-08-14 00:00:00,RNDR/USDT,0.7919,0.7995,0.72,0.7222,1395344.53481216,1058527.274706832158
1660348800,2022-08-13 00:00:00,RNDR/USDT,0.7284,0.7963,0.7176,0.7906,1780496.99985386,1344702.864687758082
1660262400,2022-08-12 00:00:00,RNDR/USDT,0.7066,0.7298,0.6929,0.7284,886361.00720051,633216.859822432477
1660176000,2022-08-11 00:00:00,RNDR/USDT,0.7249,0.758,0.6927,0.7067,1539519.23829522,1119869.731341342022
1660089600,2022-08-10 00:00:00,RNDR/USDT,0.708,0.7839,0.6761,0.725,2390660.45481748,1737807.871625086989
1660003200,2022-08-09 00:00:00,RNDR/USDT,0.7644,0.768,0.695,0.7068,1443375.55660229,1050785.352954625158
1659916800,2022-08-08 00:00:00,RNDR/USDT,0.7435,0.84,0.7413,0.7631,2098467.50731118,1638315.843989536373
