https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLN,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/PLN,91949.84,92000.7,91633.62,91810.07,3259.257485,0.0355
1663545600000,2022-09-19 00:00:00,BTC/PLN,91992.39,92019.04,91540.79,91601.26,10515.824648,0.1148
1663542000000,2022-09-18 23:00:00,BTC/PLN,91969.28,92151.92,91630.4,91661.63,9202.827652,0.1004
1663538400000,2022-09-18 22:00:00,BTC/PLN,92002.2,92245.96,91583.38,91812.42,9328.141872,0.1016
1663534800000,2022-09-18 21:00:00,BTC/PLN,93095.13,93200.15,91889.89,92136.9,12496.055084703,0.13562487
1663531200000,2022-09-18 20:00:00,BTC/PLN,92962.73,93206.89,92798.78,92871.51,11033.135387999999,0.1188
1663527600000,2022-09-18 19:00:00,BTC/PLN,92827.27,93283.11,92426.47,92892.6,10441.12824,0.1124
1663524000000,2022-09-18 18:00:00,BTC/PLN,93050.32,93140.46,92491.27,92831.45,9338.843869999999,0.1006
1663520400000,2022-09-18 17:00:00,BTC/PLN,93257.09,93370.48,92648.79,92808.11,10914.233736,0.1176
1663516800000,2022-09-18 16:00:00,BTC/PLN,93629.4,93878.4,92857.4,93148.99,8573.3547944484,0.09203916
1663513200000,2022-09-18 15:00:00,BTC/PLN,93930.63,93930.63,93606.42,93615.12,12057.627455999998,0.1288
1663509600000,2022-09-18 14:00:00,BTC/PLN,94098.96,94365.68,93636.27,93832.28,10274.63466,0.1095
1663506000000,2022-09-18 13:00:00,BTC/PLN,94143.34,94431.68,93931.85,94054.6,9245.56718,0.0983
1663502400000,2022-09-18 12:00:00,BTC/PLN,94351.43,94454.86,93693.06,94187.07,10388.833821,0.1103
1663498800000,2022-09-18 11:00:00,BTC/PLN,93929.45,94334.42,93842.96,93980.43,10300.255127999999,0.1096
1663495200000,2022-09-18 10:00:00,BTC/PLN,93931.64,94386.74,93640.19,94087.64,10989.436352,0.1168
1663491600000,2022-09-18 09:00:00,BTC/PLN,94553.18,94871.33,93711.95,93822.72,10526.909184,0.1122
1663488000000,2022-09-18 08:00:00,BTC/PLN,94827.4,94914.82,94409.81,94816.52,11008.197972,0.1161
1663484400000,2022-09-18 07:00:00,BTC/PLN,94483.35,94901.21,94397.47,94508.04,10849.522991999998,0.1148
1663480800000,2022-09-18 06:00:00,BTC/PLN,94435.06,94850.61,94387.99,94709.44,11696.61584,0.1235
1663477200000,2022-09-18 05:00:00,BTC/PLN,94421.2,94821.87,94212.68,94792.15,10265.989844999998,0.1083
1663473600000,2022-09-18 04:00:00,BTC/PLN,94562.77,94645.96,94186.5,94415.57,8884.505137,0.0941
1663470000000,2022-09-18 03:00:00,BTC/PLN,94808.95,94821.54,94184.73,94468.56,10873.331256,0.1151
1663466400000,2022-09-18 02:00:00,BTC/PLN,94310.05,94685.09,94310.05,94615.06,10691.50178,0.113
1663462800000,2022-09-18 01:00:00,BTC/PLN,94332.78,94782.37,94242.03,94286.17,9202.330192000001,0.0976
1663459200000,2022-09-18 00:00:00,BTC/PLN,94887.66,94978.71,94088.48,94543.11,11780.071506,0.1246
1663455600000,2022-09-17 23:00:00,BTC/PLN,95007.58,95150.03,94718.35,95114.54,8246.430617999999,0.0867
1663452000000,2022-09-17 22:00:00,BTC/PLN,94567.44,95034.29,94556.8,94879.05,12002.199825,0.1265
1663448400000,2022-09-17 21:00:00,BTC/PLN,94871.94,95030.77,94235.38,94744.15,10554.498309999999,0.1114
1663444800000,2022-09-17 20:00:00,BTC/PLN,94536.73,94919.6,94313.39,94817.92,9870.545472,0.1041
1663441200000,2022-09-17 19:00:00,BTC/PLN,94822.42,94831.91,94444.38,94619.89,9178.12933,0.097
1663437600000,2022-09-17 18:00:00,BTC/PLN,94756.23,95102.3,94486.78,94837.12,11010.589632,0.1161
1663434000000,2022-09-17 17:00:00,BTC/PLN,95119.99,95416.31,94697.99,94879.0,11821.9234,0.1246
1663430400000,2022-09-17 16:00:00,BTC/PLN,94131.31,95477.6,94131.31,95150.26,9071.9654748282,0.09534357
1663426800000,2022-09-17 15:00:00,BTC/PLN,94211.52,94564.84,93944.54,94311.14,10195.034234,0.1081
1663423200000,2022-09-17 14:00:00,BTC/PLN,94171.86,94474.21,93757.31,93910.37,12414.950914000001,0.1322
1663419600000,2022-09-17 13:00:00,BTC/PLN,93794.1,94191.56,93734.22,94069.21,9425.734842,0.1002
1663416000000,2022-09-17 12:00:00,BTC/PLN,93766.45,94123.06,93603.27,93750.09,10931.260493999998,0.1166
1663412400000,2022-09-17 11:00:00,BTC/PLN,93801.22,94135.26,93731.71,93785.98,8581.417169999999,0.0915
1663408800000,2022-09-17 10:00:00,BTC/PLN,93962.76,94546.82,93719.48,93751.54,12001.0999473302,0.12800963
1663405200000,2022-09-17 09:00:00,BTC/PLN,94155.27,94169.89,93800.21,93827.83,9664.26649,0.103
1663401600000,2022-09-17 08:00:00,BTC/PLN,93637.91,94168.02,93637.91,94137.1,10995.21328,0.1168
1663398000000,2022-09-17 07:00:00,BTC/PLN,93965.92,94005.51,93612.59,93734.62,10179.579732,0.1086
1663394400000,2022-09-17 06:00:00,BTC/PLN,93731.16,94082.79,93493.72,93720.96,11218.398912,0.1197
1663390800000,2022-09-17 05:00:00,BTC/PLN,94015.93,94125.43,93573.85,93968.91,10703.058849000001,0.1139
1663387200000,2022-09-17 04:00:00,BTC/PLN,94128.48,94255.47,93871.04,94165.98,9623.763155999999,0.1022
1663383600000,2022-09-17 03:00:00,BTC/PLN,94113.09,94196.45,93870.24,94196.45,9495.00216,0.1008
1663380000000,2022-09-17 02:00:00,BTC/PLN,94242.16,94266.63,93824.79,93928.1,8631.99239,0.0919
1663376400000,2022-09-17 01:00:00,BTC/PLN,94028.34,94369.19,94028.34,94280.51,10512.276865,0.1115
1663372800000,2022-09-17 00:00:00,BTC/PLN,93193.63,94248.81,93125.8,94196.7,10762.914942,0.11426
1663369200000,2022-09-16 23:00:00,BTC/PLN,93043.65,93205.25,92948.05,93161.97,9875.168819999999,0.106
1663365600000,2022-09-16 22:00:00,BTC/PLN,93050.66,93230.88,92991.28,93022.88,10083.680192,0.1084
1663362000000,2022-09-16 21:00:00,BTC/PLN,93143.91,93266.09,92947.49,93101.99,12028.777108000002,0.1292
1663358400000,2022-09-16 20:00:00,BTC/PLN,92759.98,93217.57,92724.16,93128.81,11259.273129,0.1209
1663354800000,2022-09-16 19:00:00,BTC/PLN,92381.25,92907.08,92287.44,92633.8,9902.55322,0.1069
1663351200000,2022-09-16 18:00:00,BTC/PLN,91999.42,92796.57,91873.33,92556.74,12254.512376,0.1324
1663347600000,2022-09-16 17:00:00,BTC/PLN,92724.53,92763.2,91701.39,92177.96,9360.671838,0.10155
1663344000000,2022-09-16 16:00:00,BTC/PLN,92900.86,93408.1,92636.48,92818.7,9190.955939724,0.09902052
1663340400000,2022-09-16 15:00:00,BTC/PLN,93747.39,93747.4,92826.91,93204.8,8992.792428256,0.09648422
1663336800000,2022-09-16 14:00:00,BTC/PLN,92890.11,93736.25,92764.29,93386.32,9618.79096,0.103
1663333200000,2022-09-16 13:00:00,BTC/PLN,93720.02,94003.17,92836.4,93018.92,10380.911472,0.1116
1663329600000,2022-09-16 12:00:00,BTC/PLN,94302.69,94476.45,93521.96,93521.96,9296.082824000001,0.0994
1663326000000,2022-09-16 11:00:00,BTC/PLN,94201.54,94468.19,93690.26,94447.33,9595.848727999999,0.1016
1663322400000,2022-09-16 10:00:00,BTC/PLN,94058.31,94330.72,93753.68,93959.82,10081.888686000002,0.1073
1663318800000,2022-09-16 09:00:00,BTC/PLN,93321.62,93998.85,93321.62,93853.56,8803.463928,0.0938
1663315200000,2022-09-16 08:00:00,BTC/PLN,93834.04,93916.45,93165.8,93368.07,12249.890784000001,0.1312
1663311600000,2022-09-16 07:00:00,BTC/PLN,93954.29,94018.64,93403.63,93496.52,9854.533208,0.1054
1663308000000,2022-09-16 06:00:00,BTC/PLN,93705.54,94118.35,93494.24,93962.89,12036.646208999999,0.1281
1663304400000,2022-09-16 05:00:00,BTC/PLN,94233.65,94265.31,93227.17,94035.94,11321.927176,0.1204
1663300800000,2022-09-16 04:00:00,BTC/PLN,93829.64,94227.5,93603.87,93966.46,12553.919056,0.1336
1663297200000,2022-09-16 03:00:00,BTC/PLN,93940.41,93940.41,93449.15,93775.45,9274.392005,0.0989
1663293600000,2022-09-16 02:00:00,BTC/PLN,93764.76,93940.51,93347.02,93621.78,9839.649078,0.1051
1663290000000,2022-09-16 01:00:00,BTC/PLN,93710.17,93988.28,93408.34,93408.34,10256.235732,0.1098
1663286400000,2022-09-16 00:00:00,BTC/PLN,93733.66,93889.17,93126.53,93782.78,11689.509597365599,0.12464452
1663282800000,2022-09-15 23:00:00,BTC/PLN,93803.73,93831.5,93263.87,93407.41,9191.289144,0.0984
1663279200000,2022-09-15 22:00:00,BTC/PLN,94031.82,94220.85,93107.42,93419.72,10948.791184,0.1172
