https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume XLM
1663545600000,2022-09-19 00:00:00,XLM/BTC,5.52e-06,5.56e-06,5.51e-06,5.54e-06,0.018709933630304,3377.2443376
1663459200000,2022-09-18 00:00:00,XLM/BTC,5.62e-06,5.85e-06,5.51e-06,5.52e-06,1.6886124065615087,305908.04466694
1663372800000,2022-09-17 00:00:00,XLM/BTC,5.42e-06,5.7e-06,5.33e-06,5.64e-06,1.083613188064068,192129.9978837
1663286400000,2022-09-16 00:00:00,XLM/BTC,5.19e-06,5.44e-06,5.15e-06,5.41e-06,1.6163908130512028,298778.33882647
1663200000000,2022-09-15 00:00:00,XLM/BTC,5.19e-06,5.23e-06,5.11e-06,5.18e-06,2.750985889043528,531078.35695821
1663113600000,2022-09-14 00:00:00,XLM/BTC,5.17e-06,5.26e-06,5.12e-06,5.2e-06,1.9491355412475961,374833.75793223
1663027200000,2022-09-13 00:00:00,XLM/BTC,5.08e-06,5.26e-06,4.99e-06,5.18e-06,3.699042401906554,714100.84978891
1662940800000,2022-09-12 00:00:00,XLM/BTC,5.24e-06,5.29e-06,5.07e-06,5.09e-06,1.4221908673592314,279408.81480535
1662854400000,2022-09-11 00:00:00,XLM/BTC,5.3e-06,5.39e-06,5.24e-06,5.25e-06,1.5199508389198872,289514.44550855
1662768000000,2022-09-10 00:00:00,XLM/BTC,5.36e-06,5.41e-06,5.28e-06,5.28e-06,0.8640194681409984,163640.05078428
1662681600000,2022-09-09 00:00:00,XLM/BTC,5.39e-06,5.44e-06,5.17e-06,5.37e-06,1.2151467416500548,226284.30943204
1662595200000,2022-09-08 00:00:00,XLM/BTC,5.33e-06,5.41e-06,5.27e-06,5.4e-06,1.487414714459814,275447.16934441
1662508800000,2022-09-07 00:00:00,XLM/BTC,5.3e-06,5.37e-06,5.2e-06,5.34e-06,7.279549769111047,1363211.56724926
1662422400000,2022-09-06 00:00:00,XLM/BTC,5.32e-06,5.42e-06,5.24e-06,5.3e-06,3.9293501354937037,741386.81801768
1662336000000,2022-09-05 00:00:00,XLM/BTC,5.32e-06,5.35e-06,5.24e-06,5.3e-06,1.937817219211531,365625.89041727
1662249600000,2022-09-04 00:00:00,XLM/BTC,5.31e-06,5.5e-06,5.28e-06,5.32e-06,1.8265434910415335,343335.24267698
1662163200000,2022-09-03 00:00:00,XLM/BTC,5.23e-06,5.33e-06,5.23e-06,5.3e-06,0.995252271020561,187783.44736237
1662076800000,2022-09-02 00:00:00,XLM/BTC,5.22e-06,5.27e-06,5.17e-06,5.24e-06,1.7860957856058424,340857.97435226
1661990400000,2022-09-01 00:00:00,XLM/BTC,5.22e-06,5.25e-06,5.15e-06,5.22e-06,1.8086169332373931,346478.33970065
1661904000000,2022-08-31 00:00:00,XLM/BTC,5.16e-06,5.22e-06,5.11e-06,5.2e-06,1.148735572811892,220910.68707921
1661817600000,2022-08-30 00:00:00,XLM/BTC,5.22e-06,5.23e-06,5.12e-06,5.16e-06,1.9104226029396718,370236.9385542
1661731200000,2022-08-29 00:00:00,XLM/BTC,5.24e-06,5.24e-06,5.11e-06,5.22e-06,1.4370969835772118,275305.93555119
1661644800000,2022-08-28 00:00:00,XLM/BTC,5.26e-06,5.36e-06,5.21e-06,5.24e-06,2.014803129868437,384504.41409703
1661558400000,2022-08-27 00:00:00,XLM/BTC,5.13e-06,5.28e-06,5.13e-06,5.27e-06,0.6335674836222233,120221.53389416
1661472000000,2022-08-26 00:00:00,XLM/BTC,5.12e-06,5.33e-06,5.06e-06,5.12e-06,4.4143795333539835,862183.5026082
1661385600000,2022-08-25 00:00:00,XLM/BTC,5.12e-06,5.14e-06,5.05e-06,5.11e-06,0.5025889147777043,98353.99506413
1661299200000,2022-08-24 00:00:00,XLM/BTC,5.15e-06,5.15e-06,5.05e-06,5.13e-06,0.9854259753370751,192090.83339903998
1661212800000,2022-08-23 00:00:00,XLM/BTC,5.13e-06,5.17e-06,5.07e-06,5.14e-06,0.84393487407024,164189.664216
1661126400000,2022-08-22 00:00:00,XLM/BTC,5.14e-06,5.15e-06,5.04e-06,5.12e-06,1.1966995750664704,233730.38575517
1661040000000,2022-08-21 00:00:00,XLM/BTC,5.17e-06,5.2e-06,5.1e-06,5.15e-06,0.659686579579976,128094.48147184
1660953600000,2022-08-20 00:00:00,XLM/BTC,5.19e-06,5.21e-06,5.1e-06,5.16e-06,0.955365004639596,185148.2567131
1660867200000,2022-08-19 00:00:00,XLM/BTC,4.98e-06,5.18e-06,4.92e-06,5.18e-06,11.576960154499547,2234934.39276053
1660780800000,2022-08-18 00:00:00,XLM/BTC,5.18e-06,5.18e-06,4.97e-06,4.99e-06,2.530685026768254,507151.30796959
1660694400000,2022-08-17 00:00:00,XLM/BTC,5.1e-06,5.28e-06,5.09e-06,5.18e-06,1.103068486737714,212947.5843123
1660608000000,2022-08-16 00:00:00,XLM/BTC,5.13e-06,5.14e-06,5.07e-06,5.1e-06,1.7311360107589653,339438.43348215
1660521600000,2022-08-15 00:00:00,XLM/BTC,5.18e-06,5.19e-06,5.07e-06,5.12e-06,1.5163827916286976,296168.51398998
