https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLK,Volume USDT
1663459200,2022-09-18 00:00:00,MLK/USDT,0.34301,0.34301,0.34133,0.3427,7367.4134,2526.48735769
1663372800,2022-09-17 00:00:00,MLK/USDT,0.33595,0.34376,0.33546,0.34301,217468.1635,73806.701324102
1663286400,2022-09-16 00:00:00,MLK/USDT,0.33403,0.33708,0.3332,0.3361,210483.8932,70480.398191187
1663200000,2022-09-15 00:00:00,MLK/USDT,0.34182,0.34224,0.3332,0.33365,255720.0591,86086.309556018
1663113600,2022-09-14 00:00:00,MLK/USDT,0.34384,0.34639,0.34019,0.34019,272668.2997,93601.961855239
1663027200,2022-09-13 00:00:00,MLK/USDT,0.36703,0.36707,0.34376,0.34393,296000.3674,105566.646351596
1662940800,2022-09-12 00:00:00,MLK/USDT,0.36488,0.37016,0.36272,0.36702,296447.5956,108782.221730857
1662854400,2022-09-11 00:00:00,MLK/USDT,0.36271,0.3675,0.36019,0.36485,247474.7823,89930.814515524
1662768000,2022-09-10 00:00:00,MLK/USDT,0.36118,0.36488,0.36018,0.36241,225642.6381,81790.230291647
1662681600,2022-09-09 00:00:00,MLK/USDT,0.3494,0.36669,0.3494,0.36087,268798.0779,96493.207425172
1662595200,2022-09-08 00:00:00,MLK/USDT,0.34019,0.35432,0.33884,0.35048,277533.7276,95634.445765263
1662508800,2022-09-07 00:00:00,MLK/USDT,0.33804,0.34065,0.32977,0.34007,217812.2569,72724.63139386
1662422400,2022-09-06 00:00:00,MLK/USDT,0.35192,0.3548,0.33757,0.3378,255139.4416,89392.93382716
1662336000,2022-09-05 00:00:00,MLK/USDT,0.35587,0.3569,0.34933,0.35179,215788.0714,76016.27945824
1662249600,2022-09-04 00:00:00,MLK/USDT,0.3585,0.35902,0.35353,0.35562,214288.1046,76194.230588887
1662163200,2022-09-03 00:00:00,MLK/USDT,0.36259,0.36392,0.3569,0.35833,218643.4899,78415.523085128
1662076800,2022-09-02 00:00:00,MLK/USDT,0.35995,0.38,0.35953,0.36117,241076.9975,87960.028715128
1661990400,2022-09-01 00:00:00,MLK/USDT,0.3636,0.36617,0.3575,0.36017,217421.5943,78373.485610004
1661904000,2022-08-31 00:00:00,MLK/USDT,0.3608,0.37,0.35969,0.36324,185954.6056,67792.252370399
1661817600,2022-08-30 00:00:00,MLK/USDT,0.36001,0.3765,0.35776,0.36095,232838.8539,84713.410617804
1661731200,2022-08-29 00:00:00,MLK/USDT,0.35359,0.3608,0.35259,0.36069,229817.2327,82081.191462353
