https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GTC,Volume BTC
1663459200,2022-09-18 00:00:00,GTC/BTC,0.00009829,0.00009842,0.00009795,0.00009795,1.1673,0.000114580462
1663372800,2022-09-17 00:00:00,GTC/BTC,0.00009726,0.00009931,0.00009678,0.0000983,50.457,0.004931034597
1663286400,2022-09-16 00:00:00,GTC/BTC,0.00009782,0.00009828,0.00009547,0.00009721,706.0426,0.068098579797
1663200000,2022-09-15 00:00:00,GTC/BTC,0.00010013,0.00010049,0.00009666,0.00009818,453.3071,0.043931063124
1663113600,2022-09-14 00:00:00,GTC/BTC,0.00010079,0.0001012,0.00009818,0.0001006,896.8338,0.088964623293
1663027200,2022-09-13 00:00:00,GTC/BTC,0.0000971,0.00010162,0.00009276,0.00010064,577.0425,0.055920044427
1662940800,2022-09-12 00:00:00,GTC/BTC,0.00010674,0.00010918,0.00009733,0.00009733,493.5148,0.051714797191
1662854400,2022-09-11 00:00:00,GTC/BTC,0.00010831,0.00011231,0.00010608,0.00010697,164.2752,0.017822238476
1662768000,2022-09-10 00:00:00,GTC/BTC,0.00011158,0.00011324,0.00010645,0.0001075,141.3879,0.015627182542
1662681600,2022-09-09 00:00:00,GTC/BTC,0.00011717,0.00011918,0.00010986,0.00010986,302.2602,0.034793705394
1662595200,2022-09-08 00:00:00,GTC/BTC,0.00012346,0.00012471,0.00011661,0.00011661,715.9903,0.087048074223
1662508800,2022-09-07 00:00:00,GTC/BTC,0.0001122,0.00012547,0.0001122,0.00012297,311.488,0.038178182033
1662422400,2022-09-06 00:00:00,GTC/BTC,0.00011794,0.00012136,0.0001115,0.0001115,1643.2304,0.186315115856
1662336000,2022-09-05 00:00:00,GTC/BTC,0.000116,0.00011747,0.00011428,0.00011747,17.3543,0.00200428442
1662249600,2022-09-04 00:00:00,GTC/BTC,0.00011448,0.00011661,0.00011368,0.00011532,17.622,0.002038785729
1662163200,2022-09-03 00:00:00,GTC/BTC,0.00010983,0.0001159,0.0001098,0.00011433,490.3982,0.056369915734
1662076800,2022-09-02 00:00:00,GTC/BTC,0.00011324,0.00011324,0.00010817,0.00011,529.682,0.057405942683
1661990400,2022-09-01 00:00:00,GTC/BTC,0.00010767,0.00011391,0.0001073,0.00011391,465.4712,0.051688954745
1661904000,2022-08-31 00:00:00,GTC/BTC,0.00010629,0.00011174,0.00010617,0.0001078,545.6844,0.06022751742
1661817600,2022-08-30 00:00:00,GTC/BTC,0.00010644,0.00010644,0.00010249,0.00010495,1047.3307,0.109690683301
1661731200,2022-08-29 00:00:00,GTC/BTC,0.00010139,0.00010582,0.0000998,0.00010504,893.9679,0.091490362411
1661644800,2022-08-28 00:00:00,GTC/BTC,0.0001057,0.0001072,0.00009961,0.0001004,907.5083,0.095187600984
1661558400,2022-08-27 00:00:00,GTC/BTC,0.0001064,0.00010931,0.00010368,0.00010503,496.2363,0.053887782004
1661472000,2022-08-26 00:00:00,GTC/BTC,0.0001135,0.0001143,0.00010568,0.0001062,2191.4816,0.243985273776
