https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ETC
1663545600000,2022-09-19 00:00:00,ETC/BTC,0.0015268,0.0015386,0.0015211,0.0015327,0.059787659493549,39.00806387
1663542000000,2022-09-18 23:00:00,ETC/BTC,0.0015253,0.0015386,0.0015106,0.0015215,0.027474868557305004,18.05775127
1663538400000,2022-09-18 22:00:00,ETC/BTC,0.0015512,0.0015551,0.0015193,0.0015279,0.660988194681144,432.61220936
1663534800000,2022-09-18 21:00:00,ETC/BTC,0.0015951,0.0015951,0.0014992,0.0015509,1.13358885539744,730.9232416
1663531200000,2022-09-18 20:00:00,ETC/BTC,0.0016228,0.0016228,0.0015908,0.0015985,0.040988133166625,25.64162225
1663527600000,2022-09-18 19:00:00,ETC/BTC,0.0016312,0.0016356,0.0016223,0.0016232,0.05829210060337601,35.91184118
1663524000000,2022-09-18 18:00:00,ETC/BTC,0.0016245,0.0016382,0.0016241,0.0016315,0.015053930622964999,9.22704911
1663520400000,2022-09-18 17:00:00,ETC/BTC,0.0016497,0.0016497,0.0016208,0.0016271,0.170528266623482,104.80503141999999
1663516800000,2022-09-18 16:00:00,ETC/BTC,0.0016476,0.0016571,0.001637,0.0016527,0.038753774493945,23.44876535
1663513200000,2022-09-18 15:00:00,ETC/BTC,0.0016539,0.0016548,0.001649,0.0016506,0.008093206074239998,4.9031904
1663509600000,2022-09-18 14:00:00,ETC/BTC,0.0016714,0.0016714,0.001645,0.0016524,0.070576827009732,42.71170843
1663506000000,2022-09-18 13:00:00,ETC/BTC,0.0016728,0.0016752,0.00167,0.0016724,0.0032564304174480005,1.94716002
1663502400000,2022-09-18 12:00:00,ETC/BTC,0.0016726,0.0016754,0.0016679,0.0016735,0.024209112066000002,14.466156
1663498800000,2022-09-18 11:00:00,ETC/BTC,0.0016763,0.0016772,0.001675,0.001675,0.00088014337275,0.52545873
1663495200000,2022-09-18 10:00:00,ETC/BTC,0.0016734,0.0016779,0.0016669,0.0016739,0.025879197958645003,15.46042055
