https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DGB,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,DGB/USDT,0.00922000,0.00932000,0.00919000,0.00920000,2104171.60000000,19442.03562400,125
1663459200000,2022-09-18 00:00:00,DGB/USDT,0.01003000,0.01005000,0.00906000,0.00921000,119301098.00000000,1154427.12704100,6837
1663372800000,2022-09-17 00:00:00,DGB/USDT,0.00980000,0.01010000,0.00980000,0.01003000,47745608.70000000,474986.99715500,3180
1663286400000,2022-09-16 00:00:00,DGB/USDT,0.00964000,0.00989000,0.00951000,0.00980000,89568527.50000000,869655.77323500,5379
1663200000000,2022-09-15 00:00:00,DGB/USDT,0.01015000,0.01016000,0.00957000,0.00964000,150783149.40000000,1489158.96329300,7182
1663113600000,2022-09-14 00:00:00,DGB/USDT,0.00994000,0.01019000,0.00976000,0.01015000,117353382.90000000,1175299.94046100,7015
1663027200000,2022-09-13 00:00:00,DGB/USDT,0.01091000,0.01116000,0.00989000,0.00994000,153402496.10000000,1612506.51586800,10414
1662940800000,2022-09-12 00:00:00,DGB/USDT,0.01081000,0.01122000,0.01052000,0.01090000,137541334.20000000,1504270.20168800,8530
1662854400000,2022-09-11 00:00:00,DGB/USDT,0.01074000,0.01106000,0.01059000,0.01082000,145965495.70000000,1578489.46943200,8369
1662768000000,2022-09-10 00:00:00,DGB/USDT,0.01077000,0.01090000,0.01054000,0.01074000,96819600.90000000,1037134.23952000,5406
1662681600000,2022-09-09 00:00:00,DGB/USDT,0.00999000,0.01089000,0.00999000,0.01077000,128065913.50000000,1351515.76759300,6981
1662595200000,2022-09-08 00:00:00,DGB/USDT,0.00987000,0.01011000,0.00969000,0.00999000,101072795.00000000,1000994.19768100,5470
1662508800000,2022-09-07 00:00:00,DGB/USDT,0.00950000,0.01000000,0.00925000,0.00987000,84896214.50000000,816603.07137300,5258
1662422400000,2022-09-06 00:00:00,DGB/USDT,0.01052000,0.01076000,0.00948000,0.00949000,154382180.90000000,1566592.51901900,9350
1662336000000,2022-09-05 00:00:00,DGB/USDT,0.01073000,0.01083000,0.01031000,0.01051000,78035421.70000000,818817.94801000,4721
