https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALICE,Volume USDT
1663459200,2022-09-18 00:00:00,ALICE/USDT,2.028,2.031,2.015,2.019,163.73880848,330.61160011873
1663372800,2022-09-17 00:00:00,ALICE/USDT,1.997,2.038,1.99,2.032,18944.26441351,38183.65356630463
1663286400,2022-09-16 00:00:00,ALICE/USDT,1.97,2.005,1.936,1.994,26311.90815568,52084.25233986653
1663200000,2022-09-15 00:00:00,ALICE/USDT,2.026,2.029,1.94,1.967,73719.58219696,145933.34711276327
1663113600,2022-09-14 00:00:00,ALICE/USDT,2.028,2.063,1.966,2.03,67772.04456511,136344.99970654302
1663027200,2022-09-13 00:00:00,ALICE/USDT,2.17,2.17,2.015,2.028,60935.96499026,126222.54964582145
1662940800,2022-09-12 00:00:00,ALICE/USDT,2.197,2.246,2.152,2.168,48072.32380766,106070.02461826762
1662854400,2022-09-11 00:00:00,ALICE/USDT,2.216,2.234,2.151,2.201,16129.45711588,35497.51827036328
1662768000,2022-09-10 00:00:00,ALICE/USDT,2.192,2.238,2.162,2.21,29450.69921544,64778.37808542459
1662681600,2022-09-09 00:00:00,ALICE/USDT,2.072,2.215,2.068,2.186,60324.51630365,130313.22003911701
1662595200,2022-09-08 00:00:00,ALICE/USDT,2.039,2.083,2.005,2.071,35992.59509599,73752.56303374665
1662508800,2022-09-07 00:00:00,ALICE/USDT,1.944,2.06,1.893,2.036,75635.36977307,148782.32123673205
1662422400,2022-09-06 00:00:00,ALICE/USDT,2.131,2.18,1.942,1.944,59388.15692133,122925.42156245207
1662336000,2022-09-05 00:00:00,ALICE/USDT,2.125,2.146,2.068,2.127,33925.4023221,71141.13358369698
1662249600,2022-09-04 00:00:00,ALICE/USDT,2.046,2.131,2.041,2.125,27275.78423729,57016.64340590761
1662163200,2022-09-03 00:00:00,ALICE/USDT,2.035,2.052,2.011,2.049,20981.76881146,42666.3841129089
1662076800,2022-09-02 00:00:00,ALICE/USDT,2.048,2.104,1.996,2.035,57712.05436485,119213.65886385239
1661990400,2022-09-01 00:00:00,ALICE/USDT,2.01,2.065,1.95,2.05,38426.87028032,77007.80509941956
1661904000,2022-08-31 00:00:00,ALICE/USDT,2.041,2.106,2.003,2.012,31690.26555481,65263.76867894322
1661817600,2022-08-30 00:00:00,ALICE/USDT,2.086,2.119,1.976,2.04,21674.11873191,44799.29305801685
1661731200,2022-08-29 00:00:00,ALICE/USDT,1.949,2.098,1.911,2.088,30459.38675431,61093.60390136578
1661644800,2022-08-28 00:00:00,ALICE/USDT,2.02,2.061,1.935,1.944,23827.88269028,47743.07750680093
1661558400,2022-08-27 00:00:00,ALICE/USDT,2.042,2.067,1.986,2.019,32192.37783586,65294.48986433409
