https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume EUR
1663545600,2022-09-19 00:00:00,CHZ/EUR,0.22982,0.23088,0.22982,0.23088,1515.62148837,349.9266892348656
1663542000,2022-09-18 23:00:00,CHZ/EUR,0.23218,0.23218,0.23217,0.23217,4456.82983989,1034.742183927261
1663538400,2022-09-18 22:00:00,CHZ/EUR,0.22498,0.22596,0.22498,0.22596,5344.60828714,1207.6676885621544
1663534800,2022-09-18 21:00:00,CHZ/EUR,0.22823,0.22880,0.22665,0.22665,1325.32756717,300.3854930990805
1663531200,2022-09-18 20:00:00,CHZ/EUR,0.22750,0.22750,0.22750,0.22750,5000.00000000,1137.5
1663527600,2022-09-18 19:00:00,CHZ/EUR,0.23005,0.23005,0.23005,0.23005,0.00000000,0.0
1663524000,2022-09-18 18:00:00,CHZ/EUR,0.23000,0.23005,0.22950,0.23005,11820.41563990,2719.286617958995
1663520400,2022-09-18 17:00:00,CHZ/EUR,0.23461,0.23461,0.23461,0.23461,0.00000000,0.0
1663516800,2022-09-18 16:00:00,CHZ/EUR,0.23461,0.23461,0.23461,0.23461,0.00000000,0.0
1663513200,2022-09-18 15:00:00,CHZ/EUR,0.23490,0.23678,0.23461,0.23461,2271.24493585,532.8567743997685
1663509600,2022-09-18 14:00:00,CHZ/EUR,0.24054,0.24054,0.23516,0.23682,15445.83892621,3657.8835745050524
1663506000,2022-09-18 13:00:00,CHZ/EUR,0.24324,0.24324,0.24194,0.24204,4029.95235407,975.4096677791028
1663502400,2022-09-18 12:00:00,CHZ/EUR,0.23880,0.24176,0.23836,0.24176,12298.98025255,2973.401465856488
1663498800,2022-09-18 11:00:00,CHZ/EUR,0.24075,0.24161,0.23857,0.23899,18490.16797787,4418.965245031151
1663495200,2022-09-18 10:00:00,CHZ/EUR,0.23772,0.24049,0.23732,0.24040,43869.70664127,10546.277476561309
1663491600,2022-09-18 09:00:00,CHZ/EUR,0.24201,0.24373,0.23734,0.23745,5629.02231884,1336.611349608558
1663488000,2022-09-18 08:00:00,CHZ/EUR,0.24407,0.24407,0.24223,0.24225,12537.70431473,3037.2588702433422
1663484400,2022-09-18 07:00:00,CHZ/EUR,0.24280,0.24700,0.24191,0.24700,1719.42817065,424.69875815055
1663480800,2022-09-18 06:00:00,CHZ/EUR,0.24000,0.24163,0.24000,0.24163,27072.53890919,6541.53757662758
1663477200,2022-09-18 05:00:00,CHZ/EUR,0.23300,0.23300,0.23300,0.23300,140.21313025,32.66965934825
1663473600,2022-09-18 04:00:00,CHZ/EUR,0.23000,0.23000,0.22940,0.22940,2385.95065919,547.337081218186
1663470000,2022-09-18 03:00:00,CHZ/EUR,0.22781,0.22944,0.22781,0.22944,1929.33073157,442.6656430514208
1663466400,2022-09-18 02:00:00,CHZ/EUR,0.22466,0.22466,0.22466,0.22466,223.56004629,50.2249999995114
1663462800,2022-09-18 01:00:00,CHZ/EUR,0.22854,0.22854,0.22854,0.22854,0.00000000,0.0
1663459200,2022-09-18 00:00:00,CHZ/EUR,0.22800,0.22854,0.22800,0.22854,5652.82983990,1291.897731610746
