https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SPA,Volume USDT
1663459200,2022-09-18 00:00:00,SPA/USDT,0.01352,0.01357,0.01342,0.01347,18950.5215,255.379626681
1663372800,2022-09-17 00:00:00,SPA/USDT,0.0133,0.01376,0.01228,0.01347,6105056.6897,79176.989964916
1663286400,2022-09-16 00:00:00,SPA/USDT,0.01566,0.01579,0.01286,0.0133,7250801.9762,102326.589614026
1663200000,2022-09-15 00:00:00,SPA/USDT,0.01281,0.01675,0.01255,0.0156,11907075.8786,180710.711027034
1663113600,2022-09-14 00:00:00,SPA/USDT,0.0141,0.01506,0.0125,0.0129,7255383.4875,99759.75002924
1663027200,2022-09-13 00:00:00,SPA/USDT,0.01506,0.01598,0.01388,0.01413,6924129.6443,103241.215322569
1662940800,2022-09-12 00:00:00,SPA/USDT,0.01809,0.01809,0.01388,0.01506,13192649.0869,202329.541122764
1662854400,2022-09-11 00:00:00,SPA/USDT,0.0179,0.01852,0.01767,0.01808,2401942.7756,43259.476640927
1662768000,2022-09-10 00:00:00,SPA/USDT,0.01828,0.02013,0.01749,0.01783,3360511.4789,62347.387053401
1662681600,2022-09-09 00:00:00,SPA/USDT,0.0216,0.02198,0.01788,0.01828,10890028.6848,212174.61737342
1662595200,2022-09-08 00:00:00,SPA/USDT,0.01887,0.02203,0.01841,0.0216,10567735.3625,211820.64331482
1662508800,2022-09-07 00:00:00,SPA/USDT,0.01958,0.01975,0.01727,0.01887,12325838.7299,229474.660372892
1662422400,2022-09-06 00:00:00,SPA/USDT,0.02183,0.02449,0.01851,0.01967,25189242.2729,547453.946156841
1662336000,2022-09-05 00:00:00,SPA/USDT,0.0171,0.02293,0.01597,0.02183,37743686.1718,743252.607132859
1662249600,2022-09-04 00:00:00,SPA/USDT,0.01321,0.01775,0.01314,0.01703,17352593.6116,282066.455817631
1662163200,2022-09-03 00:00:00,SPA/USDT,0.01356,0.01467,0.01308,0.0133,5310643.7648,72890.948628976
1662076800,2022-09-02 00:00:00,SPA/USDT,0.01363,0.01455,0.01301,0.01364,3868490.3361,52990.654144808
1661990400,2022-09-01 00:00:00,SPA/USDT,0.01476,0.0155,0.01295,0.01363,9673036.4023,133584.339677005
1661904000,2022-08-31 00:00:00,SPA/USDT,0.01412,0.01548,0.01386,0.01476,8912871.611,128850.438444781
1661817600,2022-08-30 00:00:00,SPA/USDT,0.01441,0.01652,0.0135,0.01413,18635190.7185,278745.228219526
1661731200,2022-08-29 00:00:00,SPA/USDT,0.013,0.01454,0.01205,0.01438,10092505.6822,132306.266946139
1661644800,2022-08-28 00:00:00,SPA/USDT,0.01341,0.01393,0.013,0.013,4882056.83,66011.606488256
1661558400,2022-08-27 00:00:00,SPA/USDT,0.0136,0.01477,0.01331,0.01341,9066144.806,125775.214663106
1661472000,2022-08-26 00:00:00,SPA/USDT,0.01596,0.01712,0.01349,0.01351,18307255.60043282,282059.105968629633
1661385600,2022-08-25 00:00:00,SPA/USDT,0.0178,0.01793,0.0157,0.01596,15960087.51,268934.259680814
1661299200,2022-08-24 00:00:00,SPA/USDT,0.01799,0.0192,0.01642,0.01788,32071615.2272,579333.526565225
1661212800,2022-08-23 00:00:00,SPA/USDT,0.01415,0.01849,0.01396,0.018,47233321.0902,760598.437207803
1661126400,2022-08-22 00:00:00,SPA/USDT,0.01518,0.01518,0.01267,0.01415,37229739.9081,504811.146336075
1661040000,2022-08-21 00:00:00,SPA/USDT,0.01463,0.0168,0.01341,0.01509,24749576.451,375878.818340037
1660953600,2022-08-20 00:00:00,SPA/USDT,0.01429,0.01758,0.01423,0.01456,62781420.3349,1007063.161690381
1660867200,2022-08-19 00:00:00,SPA/USDT,0.01697,0.01702,0.01269,0.01437,72955752.3275,1055778.583952777
1660780800,2022-08-18 00:00:00,SPA/USDT,0.02003,0.02169,0.01653,0.01697,63862652.7428,1176714.222536694
1660694400,2022-08-17 00:00:00,SPA/USDT,0.01938,0.0245,0.01578,0.02001,171555980.9644,3357671.873206886
1660608000,2022-08-16 00:00:00,SPA/USDT,0.01015,0.02134,0.00941,0.01935,264335771.703623,4005556.0583880177966
1660521600,2022-08-15 00:00:00,SPA/USDT,0.00618,0.01149,0.00615,0.01016,144381090.49769102,1170697.8587927438694
1660435200,2022-08-14 00:00:00,SPA/USDT,0.00534,0.00978,0.0053,0.00619,203931023.82872161,1428642.7747730871352
1660348800,2022-08-13 00:00:00,SPA/USDT,0.00526,0.00563,0.00516,0.00533,11673660.156,62442.396166725
1660262400,2022-08-12 00:00:00,SPA/USDT,0.00517,0.0054,0.00503,0.00527,7862308.418,40911.900208857
1660176000,2022-08-11 00:00:00,SPA/USDT,0.00494,0.00576,0.0048,0.00518,21733438.9555,112302.87224935
1660089600,2022-08-10 00:00:00,SPA/USDT,0.00486,0.00506,0.00475,0.00494,7022025.7951,34558.272614857
1660003200,2022-08-09 00:00:00,SPA/USDT,0.00489,0.00509,0.00475,0.00486,8862176.7118,42904.770760713
1659916800,2022-08-08 00:00:00,SPA/USDT,0.00484,0.00531,0.00478,0.00489,13523159.4699,66522.676317392
1659830400,2022-08-07 00:00:00,SPA/USDT,0.00489,0.00529,0.0047,0.00486,19205967.9236,95224.319322798
1659744000,2022-08-06 00:00:00,SPA/USDT,0.00502,0.00511,0.00468,0.00492,12493524.2422,60721.631345201
1659657600,2022-08-05 00:00:00,SPA/USDT,0.0051,0.00527,0.00492,0.00503,9749922.8997,49667.661259171
1659571200,2022-08-04 00:00:00,SPA/USDT,0.00501,0.0059,0.0047,0.00508,26880726.59298842,141517.0759938002285
1659484800,2022-08-03 00:00:00,SPA/USDT,0.00478,0.00578,0.00474,0.00502,33031287.6229,168165.901461529
1659398400,2022-08-02 00:00:00,SPA/USDT,0.00464,0.00519,0.0045,0.00476,29856107.8177,142518.801551065
1659312000,2022-08-01 00:00:00,SPA/USDT,0.00469,0.00479,0.0043,0.00464,14068824.4537,64955.116056442
1659225600,2022-07-31 00:00:00,SPA/USDT,0.00466,0.00491,0.0045,0.00467,11829788.543,55878.947257786
1659139200,2022-07-30 00:00:00,SPA/USDT,0.00495,0.00502,0.00458,0.00465,8064407.2488,38846.474389244
1659052800,2022-07-29 00:00:00,SPA/USDT,0.00492,0.005,0.00453,0.00493,17872003.5412,86173.329827054
