https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/EUT,1332.1,1353.3,1329.3,1345.7,642.09725618,0.4771474
1663542000000,2022-09-18 23:00:00,ETH/EUT,1338.6,1352.8,1328.5,1331.9,689.49919071,0.5176809
1663538400000,2022-09-18 22:00:00,ETH/EUT,1334.3,1342.1,1326.3,1338.6,680.69991918,0.5085163
1663534800000,2022-09-18 21:00:00,ETH/EUT,1369.5,1370.5,1325.4,1333.0,21671.72130152,16.25785544
1663531200000,2022-09-18 20:00:00,ETH/EUT,1381.0,1381.7,1365.9,1370.3,738.4936824409999,0.53892847
1663527600000,2022-09-18 19:00:00,ETH/EUT,1369.9,1386.7,1367.0,1379.3,725.650267927,0.52610039
1663524000000,2022-09-18 18:00:00,ETH/EUT,1374.8,1386.9,1366.0,1373.5,704.8295041150001,0.51316309
1663520400000,2022-09-18 17:00:00,ETH/EUT,1394.0,1397.2,1370.8,1375.1,726.301803108,0.52818108
1663516800000,2022-09-18 16:00:00,ETH/EUT,1415.8,1424.3,1385.9,1394.1,717.842806326,0.51491486
1663513200000,2022-09-18 15:00:00,ETH/EUT,1418.6,1425.6,1410.6,1415.3,2734.737371876,1.93226692
1663509600000,2022-09-18 14:00:00,ETH/EUT,1433.8,1435.6,1409.3,1418.6,690.341106114,0.48663549
1663506000000,2022-09-18 13:00:00,ETH/EUT,1436.7,1438.9,1430.0,1433.9,1754.3090846320001,1.22345288
1663502400000,2022-09-18 12:00:00,ETH/EUT,1432.6,1439.5,1425.3,1438.9,728.0974292750001,0.50600975
1663498800000,2022-09-18 11:00:00,ETH/EUT,1430.2,1435.3,1428.6,1432.4,767.559231988,0.5358553699999999
1663495200000,2022-09-18 10:00:00,ETH/EUT,1421.5,1440.0,1417.9,1431.2,5171.627846904,3.61349067
1663491600000,2022-09-18 09:00:00,ETH/EUT,1454.6,1459.2,1421.4,1421.4,4543.250427762,3.19632083
1663488000000,2022-09-18 08:00:00,ETH/EUT,1454.1,1459.9,1451.6,1454.5,749.253341465,0.51512777
1663484400000,2022-09-18 07:00:00,ETH/EUT,1452.9,1458.2,1451.6,1452.6,718.05315402,0.4943227
1663480800000,2022-09-18 06:00:00,ETH/EUT,1457.1,1459.8,1449.3,1453.1,806.008617634,0.55468214
1663477200000,2022-09-18 05:00:00,ETH/EUT,1452.1,1459.8,1451.1,1458.7,768.9731786450001,0.52716335
1663473600000,2022-09-18 04:00:00,ETH/EUT,1451.6,1457.2,1447.1,1452.3,717.922488132,0.49433484
1663470000000,2022-09-18 03:00:00,ETH/EUT,1454.1,1456.3,1444.6,1449.6,783.2763276479999,0.54033963
1663466400000,2022-09-18 02:00:00,ETH/EUT,1451.5,1457.3,1450.7,1454.3,757.129710979,0.52061453
1663462800000,2022-09-18 01:00:00,ETH/EUT,1450.4,1457.4,1449.2,1451.3,721.405716689,0.49707553
1663459200000,2022-09-18 00:00:00,ETH/EUT,1468.1,1468.3,1448.1,1452.6,860.9172355799999,0.5926733
1663455600000,2022-09-17 23:00:00,ETH/EUT,1464.1,1474.2,1461.8,1468.2,900.842416896,0.61356928
1663452000000,2022-09-17 22:00:00,ETH/EUT,1451.3,1467.1,1449.8,1463.9,714.1608043120001,0.48784808
1663448400000,2022-09-17 21:00:00,ETH/EUT,1461.5,1463.9,1446.7,1451.1,3706.789864323,2.55446893
1663444800000,2022-09-17 20:00:00,ETH/EUT,1464.3,1467.6,1460.6,1461.9,716.529642972,0.49013588
1663441200000,2022-09-17 19:00:00,ETH/EUT,1467.6,1468.8,1458.3,1464.5,735.3164286800001,0.50209384
1663437600000,2022-09-17 18:00:00,ETH/EUT,1468.9,1475.5,1464.8,1468.1,715.938564135,0.48766335
1663434000000,2022-09-17 17:00:00,ETH/EUT,1466.1,1474.5,1461.6,1469.1,3232.1168283810002,2.20006591
1663430400000,2022-09-17 16:00:00,ETH/EUT,1443.9,1469.4,1442.0,1467.7,4103.898141772,2.7961423599999997
