https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMB,Volume BTC
1663459200,2022-09-18 00:00:00,AMB/BTC,0.0000012292,0.0000012292,0.000001181,0.000001199,30707.72,0.03693438936309
1663455600,2022-09-17 23:00:00,AMB/BTC,0.000001226,0.0000012399,0.000001211,0.0000012351,18417.4361,0.0227498757616
1663452000,2022-09-17 22:00:00,AMB/BTC,0.00000119,0.0000012492,0.000001181,0.000001235,62936.9725,0.07668541231653
1663448400,2022-09-17 21:00:00,AMB/BTC,0.0000011899,0.0000012068,0.00000118,0.000001181,10820.0904,0.01289986989228
1663444800,2022-09-17 20:00:00,AMB/BTC,0.0000012299,0.0000012789,0.00000118,0.00000118,86856.5896,0.10454924360581
1663441200,2022-09-17 19:00:00,AMB/BTC,0.0000012171,0.00000123,0.0000012063,0.00000123,9724.0903,0.01185890775716
1663437600,2022-09-17 18:00:00,AMB/BTC,0.0000012765,0.0000012765,0.0000012064,0.0000012193,248353.2907,0.31584926332774
1663434000,2022-09-17 17:00:00,AMB/BTC,0.0000011685,0.000001391,0.0000011685,0.0000012765,649984.791,0.828931369642
1663430400,2022-09-17 16:00:00,AMB/BTC,0.00000116,0.0000011673,0.0000011559,0.0000011664,11949.6817,0.0138279860262
1663426800,2022-09-17 15:00:00,AMB/BTC,0.0000011658,0.0000011711,0.0000011565,0.0000011565,232.2393,0.00027004501194
1663423200,2022-09-17 14:00:00,AMB/BTC,0.0000011724,0.0000011743,0.000001163,0.0000011658,1285.4876,0.00150049953071
1663419600,2022-09-17 13:00:00,AMB/BTC,0.0000011524,0.000001172,0.0000011524,0.0000011699,18726.4398,0.021815973492
1663416000,2022-09-17 12:00:00,AMB/BTC,0.0000011512,0.0000011552,0.00000114,0.00000114,5651.2775,0.00647973972523
1663412400,2022-09-17 11:00:00,AMB/BTC,0.0000011636,0.00000117,0.0000011365,0.0000011509,31999.3251,0.03704678065399
1663408800,2022-09-17 10:00:00,AMB/BTC,0.0000011819,0.0000011819,0.0000011614,0.00000117,33706.4179,0.03921355151091
1663405200,2022-09-17 09:00:00,AMB/BTC,0.0000011617,0.000001194,0.0000011617,0.0000011802,11527.9647,0.01361419684165
1663401600,2022-09-17 08:00:00,AMB/BTC,0.0000011693,0.00000117,0.0000011456,0.0000011567,26138.8486,0.0300159717697
1663398000,2022-09-17 07:00:00,AMB/BTC,0.0000011466,0.0000011658,0.0000011431,0.000001154,27991.8361,0.03225593511346
1663394400,2022-09-17 06:00:00,AMB/BTC,0.0000011765,0.0000011833,0.0000011524,0.0000011617,34003.5331,0.03973059929225
1663390800,2022-09-17 05:00:00,AMB/BTC,0.00000116,0.0000012196,0.00000116,0.0000011752,224491.8088,0.26688805381768
