https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,XMR/BTC,0.00723900,0.00724600,0.00722000,0.00722200,90.85900000,0.65732117,72
1663459200000,2022-09-18 00:00:00,XMR/BTC,0.00734300,0.00755400,0.00711800,0.00724200,30202.76700000,222.39991050,12163
1663372800000,2022-09-17 00:00:00,XMR/BTC,0.00753400,0.00764600,0.00732800,0.00733300,29510.87500000,222.77191733,10389
1663286400000,2022-09-16 00:00:00,XMR/BTC,0.00739800,0.00759800,0.00731300,0.00753600,23627.64100000,176.47078430,9114
1663200000000,2022-09-15 00:00:00,XMR/BTC,0.00740500,0.00750600,0.00729100,0.00739900,36146.99400000,266.91490670,12568
1663113600000,2022-09-14 00:00:00,XMR/BTC,0.00720900,0.00758500,0.00716200,0.00740900,37076.96300000,273.50321033,15330
1663027200000,2022-09-13 00:00:00,XMR/BTC,0.00732600,0.00740700,0.00705600,0.00720400,33257.37700000,241.55274596,14661
1662940800000,2022-09-12 00:00:00,XMR/BTC,0.00729300,0.00745800,0.00715500,0.00732400,37936.02800000,275.98757373,16767
1662854400000,2022-09-11 00:00:00,XMR/BTC,0.00728600,0.00733900,0.00719100,0.00729000,22957.35600000,166.85635281,12318
1662768000000,2022-09-10 00:00:00,XMR/BTC,0.00755600,0.00759800,0.00726400,0.00728700,20795.03300000,154.71681119,13007
1662681600000,2022-09-09 00:00:00,XMR/BTC,0.00787700,0.00792300,0.00729700,0.00755900,35440.82100000,265.42186413,17000
1662595200000,2022-09-08 00:00:00,XMR/BTC,0.00773600,0.00797900,0.00768100,0.00787900,27262.54700000,212.76589021,13370
1662508800000,2022-09-07 00:00:00,XMR/BTC,0.00771500,0.00793000,0.00757300,0.00774600,31913.04200000,247.13261647,16539
1662422400000,2022-09-06 00:00:00,XMR/BTC,0.00796400,0.00801400,0.00766800,0.00772100,37396.32200000,292.80607879,16802
1662336000000,2022-09-05 00:00:00,XMR/BTC,0.00777800,0.00799600,0.00777400,0.00796200,22596.42700000,179.04094461,12335
1662249600000,2022-09-04 00:00:00,XMR/BTC,0.00779100,0.00790700,0.00775000,0.00777600,19584.72800000,153.40652549,10699
1662163200000,2022-09-03 00:00:00,XMR/BTC,0.00767900,0.00783100,0.00763900,0.00778100,17161.09700000,133.04505912,10458
1662076800000,2022-09-02 00:00:00,XMR/BTC,0.00768300,0.00769100,0.00750200,0.00768100,23791.54900000,180.48174941,13139
1661990400000,2022-09-01 00:00:00,XMR/BTC,0.00744300,0.00772000,0.00741000,0.00767700,41559.98800000,316.51759541,20031
1661904000000,2022-08-31 00:00:00,XMR/BTC,0.00751500,0.00755200,0.00735600,0.00743700,28217.06000000,210.70523924,14043
1661817600000,2022-08-30 00:00:00,XMR/BTC,0.00752300,0.00760100,0.00733800,0.00751300,30188.00000000,225.57670702,16007
1661731200000,2022-08-29 00:00:00,XMR/BTC,0.00748900,0.00757500,0.00729800,0.00752100,41478.32000000,308.32793282,19256
1661644800000,2022-08-28 00:00:00,XMR/BTC,0.00723900,0.00749100,0.00719600,0.00748900,55402.71200000,405.47960051,18072
1661558400000,2022-08-27 00:00:00,XMR/BTC,0.00704700,0.00726900,0.00699100,0.00723700,44416.49600000,317.46432360,13752
1661472000000,2022-08-26 00:00:00,XMR/BTC,0.00714200,0.00723000,0.00700200,0.00704600,34779.71000000,247.75980575,16125
1661385600000,2022-08-25 00:00:00,XMR/BTC,0.00704800,0.00719900,0.00702500,0.00713700,28803.69900000,204.52563532,11733
1661299200000,2022-08-24 00:00:00,XMR/BTC,0.00717700,0.00721400,0.00701800,0.00704800,24697.70200000,175.76556001,11461
1661212800000,2022-08-23 00:00:00,XMR/BTC,0.00718700,0.00724400,0.00714000,0.00717300,28015.87600000,201.72678933,10513
1661126400000,2022-08-22 00:00:00,XMR/BTC,0.00717100,0.00726700,0.00705400,0.00718900,38647.68700000,277.22336364,12427
1661040000000,2022-08-21 00:00:00,XMR/BTC,0.00704000,0.00732900,0.00703300,0.00717600,43852.61800000,314.92475089,16965
1660953600000,2022-08-20 00:00:00,XMR/BTC,0.00682600,0.00709200,0.00680800,0.00704000,27408.27000000,189.34968128,12486
1660867200000,2022-08-19 00:00:00,XMR/BTC,0.00694500,0.00724500,0.00677800,0.00683100,55692.96400000,387.95343343,24148
1660780800000,2022-08-18 00:00:00,XMR/BTC,0.00722900,0.00728000,0.00684600,0.00695300,39519.88000000,280.02811823,18536
1660694400000,2022-08-17 00:00:00,XMR/BTC,0.00709200,0.00727800,0.00673300,0.00722800,51542.94500000,361.56974769,25144
1660608000000,2022-08-16 00:00:00,XMR/BTC,0.00676500,0.00724900,0.00674200,0.00709100,35958.44200000,255.03087902,20256
1660521600000,2022-08-15 00:00:00,XMR/BTC,0.00675400,0.00686600,0.00668300,0.00676400,25496.51800000,173.29842285,12980
1660435200000,2022-08-14 00:00:00,XMR/BTC,0.00675400,0.00682400,0.00669000,0.00675300,22942.11200000,155.01517975,7415
1660348800000,2022-08-13 00:00:00,XMR/BTC,0.00676400,0.00683700,0.00662100,0.00674900,19636.08500000,132.52324153,9950
1660262400000,2022-08-12 00:00:00,XMR/BTC,0.00661800,0.00687700,0.00656200,0.00676400,26057.75900000,175.99696674,13376
1660176000000,2022-08-11 00:00:00,XMR/BTC,0.00699000,0.00699500,0.00651400,0.00661700,37002.82400000,249.19036147,15837
1660089600000,2022-08-10 00:00:00,XMR/BTC,0.00681800,0.00710200,0.00677600,0.00698700,38954.44900000,271.54320098,17097
1660003200000,2022-08-09 00:00:00,XMR/BTC,0.00701100,0.00721700,0.00672900,0.00681900,34323.25300000,237.79052216,17747
1659916800000,2022-08-08 00:00:00,XMR/BTC,0.00710600,0.00711600,0.00686400,0.00701500,40773.75100000,284.37046661,17846
1659830400000,2022-08-07 00:00:00,XMR/BTC,0.00699600,0.00741300,0.00691900,0.00710600,47116.80700000,340.78463777,18452
1659744000000,2022-08-06 00:00:00,XMR/BTC,0.00692700,0.00712600,0.00690400,0.00699600,25000.72900000,174.96645400,9852
1659657600000,2022-08-05 00:00:00,XMR/BTC,0.00704600,0.00707000,0.00681900,0.00693100,35075.64500000,242.84718368,14200
1659571200000,2022-08-04 00:00:00,XMR/BTC,0.00686400,0.00709600,0.00680200,0.00705100,38657.17200000,269.60524140,15424
1659484800000,2022-08-03 00:00:00,XMR/BTC,0.00682300,0.00714300,0.00674200,0.00686500,42045.91300000,290.57182579,17419
1659398400000,2022-08-02 00:00:00,XMR/BTC,0.00690400,0.00700000,0.00673700,0.00682300,38525.91400000,264.77813686,16489
1659312000000,2022-08-01 00:00:00,XMR/BTC,0.00664200,0.00692000,0.00657700,0.00690600,42779.38300000,288.00306223,14823
1659225600000,2022-07-31 00:00:00,XMR/BTC,0.00659100,0.00669600,0.00654800,0.00664400,22803.45500000,150.92218647,10559
1659139200000,2022-07-30 00:00:00,XMR/BTC,0.00672500,0.00680700,0.00656200,0.00659200,31729.56100000,211.73258703,13381
1659052800000,2022-07-29 00:00:00,XMR/BTC,0.00680600,0.00690000,0.00670200,0.00673100,39536.71000000,268.75651008,14483
1658966400000,2022-07-28 00:00:00,XMR/BTC,0.00703900,0.00710000,0.00674500,0.00680800,46904.13200000,323.68229735,17642
1658880000000,2022-07-27 00:00:00,XMR/BTC,0.00710600,0.00732100,0.00696700,0.00704000,52600.68500000,375.15033693,22144
1658793600000,2022-07-26 00:00:00,XMR/BTC,0.00672900,0.00713900,0.00655300,0.00710700,67735.31500000,465.70447512,26628
1658707200000,2022-07-25 00:00:00,XMR/BTC,0.00670300,0.00683300,0.00658900,0.00673900,43716.92400000,293.27184144,15371
1658620800000,2022-07-24 00:00:00,XMR/BTC,0.00652300,0.00674100,0.00650400,0.00670200,40574.88300000,269.61065161,14829
1658534400000,2022-07-23 00:00:00,XMR/BTC,0.00657200,0.00659800,0.00640500,0.00652200,36826.60200000,240.55584994,16625
1658448000000,2022-07-22 00:00:00,XMR/BTC,0.00652700,0.00668800,0.00637200,0.00657200,55581.61500000,362.26777189,18766
1658361600000,2022-07-21 00:00:00,XMR/BTC,0.00652300,0.00670400,0.00642500,0.00652600,71335.73400000,468.06964804,26689
1658275200000,2022-07-20 00:00:00,XMR/BTC,0.00625600,0.00654900,0.00610000,0.00652100,75614.51500000,475.44211728,28775
1658188800000,2022-07-19 00:00:00,XMR/BTC,0.00654200,0.00661600,0.00617600,0.00625700,66756.68800000,428.11336372,23724
1658102400000,2022-07-18 00:00:00,XMR/BTC,0.00654000,0.00670600,0.00646700,0.00654000,62776.04800000,413.30425204,19405
1658016000000,2022-07-17 00:00:00,XMR/BTC,0.00655600,0.00666300,0.00637100,0.00654100,40107.14300000,261.70812777,14374
1657929600000,2022-07-16 00:00:00,XMR/BTC,0.00666500,0.00679900,0.00653800,0.00655600,65680.46700000,438.31368217,19857
1657843200000,2022-07-15 00:00:00,XMR/BTC,0.00651000,0.00669200,0.00637800,0.00666400,80081.20900000,522.42506663,24365
1657756800000,2022-07-14 00:00:00,XMR/BTC,0.00614000,0.00654400,0.00609100,0.00650900,48478.83300000,308.59616448,17973
1657670400000,2022-07-13 00:00:00,XMR/BTC,0.00636800,0.00641000,0.00606800,0.00613700,39176.61100000,244.66757681,17486
1657584000000,2022-07-12 00:00:00,XMR/BTC,0.00636300,0.00648500,0.00627500,0.00636800,53276.29800000,340.94064236,20505
1657497600000,2022-07-11 00:00:00,XMR/BTC,0.00621500,0.00646200,0.00614900,0.00636300,104613.73100000,661.81647749,35049
1657411200000,2022-07-10 00:00:00,XMR/BTC,0.00588900,0.00622000,0.00576600,0.00621400,52137.48300000,309.15249234,21071
1657324800000,2022-07-09 00:00:00,XMR/BTC,0.00579900,0.00594700,0.00578200,0.00589100,32061.28600000,188.11491855,15206
1657238400000,2022-07-08 00:00:00,XMR/BTC,0.00602900,0.00607100,0.00577300,0.00579700,51772.03600000,309.25778387,18833
1657152000000,2022-07-07 00:00:00,XMR/BTC,0.00610700,0.00632400,0.00596900,0.00603100,63313.66300000,392.74286434,19231
1657065600000,2022-07-06 00:00:00,XMR/BTC,0.00607200,0.00626800,0.00607000,0.00610800,54560.42300000,336.35895052,21023
1656979200000,2022-07-05 00:00:00,XMR/BTC,0.00613000,0.00623600,0.00600500,0.00607300,43689.54800000,268.29343255,18749
1656892800000,2022-07-04 00:00:00,XMR/BTC,0.00603300,0.00625000,0.00602200,0.00612700,53177.40300000,326.10927109,18165
1656806400000,2022-07-03 00:00:00,XMR/BTC,0.00603100,0.00612500,0.00597900,0.00603500,30348.39900000,183.88877779,12771
1656720000000,2022-07-02 00:00:00,XMR/BTC,0.00598700,0.00621200,0.00589700,0.00603300,43528.14200000,264.29228845,20700
1656633600000,2022-07-01 00:00:00,XMR/BTC,0.00567500,0.00599300,0.00561800,0.00598500,41875.93200000,243.46843298,19502
1656547200000,2022-06-30 00:00:00,XMR/BTC,0.00591100,0.00597700,0.00567000,0.00567000,47241.96600000,274.53102305,23745
1656460800000,2022-06-29 00:00:00,XMR/BTC,0.00580200,0.00619400,0.00578400,0.00590900,55073.02000000,328.89699827,25639
