https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NMR,Volume BTC
1659225600,2022-07-31 00:00:00,NMR/BTC,0.00076103,0.00076103,0.00076103,0.00076103,0.00177283,2.32951409
1659052800,2022-07-29 00:00:00,NMR/BTC,0.0007373,0.00080606,0.0007373,0.00076804,0.00979849,12.83121258
1658966400,2022-07-28 00:00:00,NMR/BTC,0.00074411,0.00074411,0.00072373,0.00074,0.00390022,5.35484387
1658880000,2022-07-27 00:00:00,NMR/BTC,0.00077466,0.00077466,0.00074411,0.00074411,0.0095925,12.7218376
1658793600,2022-07-26 00:00:00,NMR/BTC,0.00085074,0.00090677,0.00075878,0.00075878,0.16152502,183.84514931
1658707200,2022-07-25 00:00:00,NMR/BTC,0.00070546,0.00090421,0.00070546,0.00081599,0.16982991,212.81858031
1658620800,2022-07-24 00:00:00,NMR/BTC,0.00074778,0.00076479,0.00062133,0.00072396,0.10514366,147.36480486
1658534400,2022-07-23 00:00:00,NMR/BTC,0.00078127,0.00078127,0.0007221,0.0007221,0.03545723,47.50370031
1658448000,2022-07-22 00:00:00,NMR/BTC,0.00086622,0.00087799,0.00076721,0.00078127,0.09732104,113.28855654
1658361600,2022-07-21 00:00:00,NMR/BTC,0.00065122,0.0009561,0.00065122,0.00082769,0.8052829,1000.73913805
1658275200,2022-07-20 00:00:00,NMR/BTC,0.00065093,0.000677,0.00062132,0.00062132,0.06914725,109.62475321
1658188800,2022-07-19 00:00:00,NMR/BTC,0.00065,0.00068437,0.0006392,0.0006392,0.01434799,22.31843555
1658102400,2022-07-18 00:00:00,NMR/BTC,0.00067885,0.00070644,0.00065907,0.00067352,0.02547065,38.14382167
1658016000,2022-07-17 00:00:00,NMR/BTC,0.00068231,0.00068232,0.00067885,0.00067885,0.01334664,19.56465934
1657929600,2022-07-16 00:00:00,NMR/BTC,0.00069899,0.00069899,0.00068833,0.00068833,0.00716176,10.36306489
1657843200,2022-07-15 00:00:00,NMR/BTC,0.00073593,0.00073593,0.00069899,0.00069899,0.02232094,31.8533802
1657756800,2022-07-14 00:00:00,NMR/BTC,0.00074695,0.00076144,0.00073593,0.00073593,0.03098697,41.06948649
1657670400,2022-07-13 00:00:00,NMR/BTC,0.00079979,0.00079979,0.000735,0.000735,0.00733222,9.9408616
1657584000,2022-07-12 00:00:00,NMR/BTC,0.00077932,0.00079979,0.00076296,0.00079979,0.00237029,3.02709519
1657497600,2022-07-11 00:00:00,NMR/BTC,0.00076305,0.00087044,0.00075,0.00075308,0.05749061,69.04097698
1657411200,2022-07-10 00:00:00,NMR/BTC,0.00078505,0.00079592,0.00074114,0.00076345,0.02160022,28.2156716
1657324800,2022-07-09 00:00:00,NMR/BTC,0.00077648,0.00095,0.00077648,0.00078988,0.13520583,164.57355674
1657238400,2022-07-08 00:00:00,NMR/BTC,0.00076942,0.00077712,0.00074891,0.00076744,0.13609287,179.42769574
1657152000,2022-07-07 00:00:00,NMR/BTC,0.00083363,0.00083448,0.0007548,0.00075647,0.11311285,146.37565493
1657065600,2022-07-06 00:00:00,NMR/BTC,0.00088077,0.00090961,0.0008605,0.00087039,0.15614663,177.13690536
1656979200,2022-07-05 00:00:00,NMR/BTC,0.00092341,0.00094806,0.00088077,0.00088077,0.13032206,142.08295226
1656892800,2022-07-04 00:00:00,NMR/BTC,0.00089791,0.00115073,0.00089791,0.00097134,0.26582835,261.52262071
1656806400,2022-07-03 00:00:00,NMR/BTC,0.00095272,0.00101084,0.00087617,0.00095415,0.17958989,187.58754701
1656720000,2022-07-02 00:00:00,NMR/BTC,0.0010354,0.00126726,0.00099557,0.00101084,0.23971388,220.49479517
1656633600,2022-07-01 00:00:00,NMR/BTC,0.0012,0.00159071,0.00100437,0.00100518,1.29665795,1072.62488883
1656547200,2022-06-30 00:00:00,NMR/BTC,0.00067003,0.00162642,0.00065,0.00122424,1.40907528,1527.74500415
1656460800,2022-06-29 00:00:00,NMR/BTC,0.00044587,0.000888,0.00043857,0.0006768,1.99108935,2623.19193199
1656374400,2022-06-28 00:00:00,NMR/BTC,0.00043451,0.00056556,0.0004259,0.00043857,0.14801122,304.44711634
1656288000,2022-06-27 00:00:00,NMR/BTC,0.00044546,0.00044546,0.00042748,0.00042798,0.00553975,12.72804182
1656201600,2022-06-26 00:00:00,NMR/BTC,0.00042745,0.00042748,0.00042745,0.00042748,0.00637571,14.91564035
1656028800,2022-06-24 00:00:00,NMR/BTC,0.00041457,0.00041692,0.00040845,0.00040974,0.02314517,56.13264711
1655942400,2022-06-23 00:00:00,NMR/BTC,0.00039597,0.00046497,0.00039597,0.00041213,0.14845183,357.69752232
1655856000,2022-06-22 00:00:00,NMR/BTC,0.0003887,0.0003887,0.0003887,0.0003887,0.00042002,1.080602
1655683200,2022-06-20 00:00:00,NMR/BTC,0.0003887,0.0003887,0.0003887,0.0003887,0.00020199,0.51968098
1655596800,2022-06-19 00:00:00,NMR/BTC,0.00039768,0.00039768,0.0003887,0.0003887,0.04413756,111.02587167
1655510400,2022-06-18 00:00:00,NMR/BTC,0.00039389,0.00039389,0.00039389,0.00039389,0.00027376,0.69501638
1655424000,2022-06-17 00:00:00,NMR/BTC,0.00038728,0.000396,0.00038026,0.00039389,0.00454478,11.53174375
1655337600,2022-06-16 00:00:00,NMR/BTC,0.0004,0.0005,0.0003758,0.00039263,0.20933481,533.04012861
1655251200,2022-06-15 00:00:00,NMR/BTC,0.00039762,0.00039763,0.00039762,0.00039762,0.22445443,564.49336295
1655078400,2022-06-13 00:00:00,NMR/BTC,0.00035001,0.00035001,0.00034095,0.00034095,0.01373814,40.09092025
