https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume BTC
1663545600000.0,2022-09-19 00:00:00,MATIC/BTC,3.879e-05,3.883e-05,3.865e-05,3.865e-05,190.4915912031048,0.0073625
1663459200000.0,2022-09-18 00:00:00,MATIC/BTC,4.119e-05,4.167e-05,3.865e-05,3.879e-05,202293.3281773653,7.8469582
1663372800000.0,2022-09-17 00:00:00,MATIC/BTC,4.075e-05,4.129e-05,4.058e-05,4.119e-05,44903.784899247396,1.8495869
1663286400000.0,2022-09-16 00:00:00,MATIC/BTC,4.184e-05,4.199e-05,4.048e-05,4.075e-05,116111.14355828222,4.7315291
1663200000000.0,2022-09-15 00:00:00,MATIC/BTC,4.272e-05,4.311e-05,4.171e-05,4.184e-05,163804.90917782026,6.8535974
1663113600000.0,2022-09-14 00:00:00,MATIC/BTC,4.197e-05,4.28e-05,4.172e-05,4.272e-05,128832.7036516854,5.5037331
1663027200000.0,2022-09-13 00:00:00,MATIC/BTC,4.155e-05,4.258e-05,4.021e-05,4.197e-05,219622.91398618062,9.2175737
1662940800000.0,2022-09-12 00:00:00,MATIC/BTC,4.093e-05,4.21e-05,4.005e-05,4.155e-05,239511.4729241877,9.9517017
1662854400000.0,2022-09-11 00:00:00,MATIC/BTC,4.18e-05,4.24e-05,4.074e-05,4.093e-05,91717.05350598582,3.753979
1662768000000.0,2022-09-10 00:00:00,MATIC/BTC,4.171e-05,4.23e-05,4.121e-05,4.18e-05,59340.25598086125,2.4804227
1662681600000.0,2022-09-09 00:00:00,MATIC/BTC,4.372e-05,4.414e-05,4.129e-05,4.171e-05,200918.0484296332,8.3802918
1662595200000.0,2022-09-08 00:00:00,MATIC/BTC,4.357e-05,4.401e-05,4.27e-05,4.372e-05,97162.23238792314,4.2479328
1662508800000.0,2022-09-07 00:00:00,MATIC/BTC,4.337e-05,4.417e-05,4.205e-05,4.357e-05,190836.1556116594,8.3147313
1662422400000.0,2022-09-06 00:00:00,MATIC/BTC,4.458e-05,4.595e-05,4.326e-05,4.34e-05,195562.98387096776,8.4874335
1662336000000.0,2022-09-05 00:00:00,MATIC/BTC,4.471e-05,4.505e-05,4.382e-05,4.458e-05,45454.17451772096,2.0263471
1662249600000.0,2022-09-04 00:00:00,MATIC/BTC,4.484e-05,4.521e-05,4.434e-05,4.471e-05,73122.59449787521,3.2693112
1662163200000.0,2022-09-03 00:00:00,MATIC/BTC,4.37e-05,4.491e-05,4.362e-05,4.484e-05,67662.70517395184,3.0339957
1662076800000.0,2022-09-02 00:00:00,MATIC/BTC,4.401e-05,4.488e-05,4.345e-05,4.37e-05,172495.48283752863,7.5380526
1661990400000.0,2022-09-01 00:00:00,MATIC/BTC,4.155e-05,4.465e-05,4.147e-05,4.401e-05,342655.0670302204,15.0802495
1661904000000.0,2022-08-31 00:00:00,MATIC/BTC,4.113e-05,4.194e-05,4.061e-05,4.155e-05,234886.24308062578,9.7595234
1661817600000.0,2022-08-30 00:00:00,MATIC/BTC,4.026e-05,4.142e-05,4.005e-05,4.113e-05,95115.09603695599,3.9120839
1661731200000.0,2022-08-29 00:00:00,MATIC/BTC,4.003e-05,4.043e-05,3.885e-05,4.026e-05,200140.10928961748,8.0576408
1661644800000.0,2022-08-28 00:00:00,MATIC/BTC,4.02e-05,4.165e-05,3.981e-05,4.003e-05,165401.4389208094,6.6210196
1661558400000.0,2022-08-27 00:00:00,MATIC/BTC,3.779e-05,4.052e-05,3.763e-05,4.02e-05,357418.96517412935,14.3682424
1661472000000.0,2022-08-26 00:00:00,MATIC/BTC,3.795e-05,3.882e-05,3.709e-05,3.779e-05,287285.52262503305,10.8565199
1661385600000.0,2022-08-25 00:00:00,MATIC/BTC,3.806e-05,3.853e-05,3.747e-05,3.795e-05,158812.20816864294,6.0269233
1661299200000.0,2022-08-24 00:00:00,MATIC/BTC,3.867e-05,3.873e-05,3.755e-05,3.806e-05,123733.27903310563,4.7092886
1661212800000.0,2022-08-23 00:00:00,MATIC/BTC,3.782e-05,3.924e-05,3.764e-05,3.867e-05,204600.93354021205,7.9119181
1661126400000.0,2022-08-22 00:00:00,MATIC/BTC,3.809e-05,3.822e-05,3.673e-05,3.782e-05,232960.4336329984,8.8105636
1661040000000.0,2022-08-21 00:00:00,MATIC/BTC,3.719e-05,3.837e-05,3.694e-05,3.809e-05,209918.6925702284,7.995803
1660953600000.0,2022-08-20 00:00:00,MATIC/BTC,3.694e-05,3.823e-05,3.623e-05,3.719e-05,313633.8316751815,11.6640422
1660867200000.0,2022-08-19 00:00:00,MATIC/BTC,3.696e-05,3.751e-05,3.581e-05,3.694e-05,493280.9312398483,18.2217976
1660780800000.0,2022-08-18 00:00:00,MATIC/BTC,3.791e-05,3.858e-05,3.693e-05,3.696e-05,161026.00378787878,5.9515211
1660694400000.0,2022-08-17 00:00:00,MATIC/BTC,3.921e-05,3.957e-05,3.769e-05,3.791e-05,293426.9348456871,11.1238151
1660608000000.0,2022-08-16 00:00:00,MATIC/BTC,3.95e-05,4.008e-05,3.898e-05,3.921e-05,169075.493496557,6.6294501
1660521600000.0,2022-08-15 00:00:00,MATIC/BTC,4.115e-05,4.15e-05,3.915e-05,3.95e-05,227756.76202531645,8.9963921
1660435200000.0,2022-08-14 00:00:00,MATIC/BTC,4.197e-05,4.278e-05,4.072e-05,4.115e-05,111892.58809234509,4.60438
1660348800000.0,2022-08-13 00:00:00,MATIC/BTC,3.831e-05,4.218e-05,3.809e-05,4.197e-05,329842.8639504408,13.843505
1660262400000.0,2022-08-12 00:00:00,MATIC/BTC,3.849e-05,3.879e-05,3.81e-05,3.831e-05,150598.87496737143,5.7694429
1660176000000.0,2022-08-11 00:00:00,MATIC/BTC,3.918e-05,3.921e-05,3.792e-05,3.849e-05,205482.3694466095,7.9090164
1660089600000.0,2022-08-10 00:00:00,MATIC/BTC,3.847e-05,3.92e-05,3.79e-05,3.918e-05,213278.26442062276,8.3562424
1660003200000.0,2022-08-09 00:00:00,MATIC/BTC,3.875e-05,3.897e-05,3.8e-05,3.847e-05,133689.37353782167,5.1430302
1659916800000.0,2022-08-08 00:00:00,MATIC/BTC,3.912e-05,3.953e-05,3.837e-05,3.875e-05,200493.20516129033,7.7691117
1659830400000.0,2022-08-07 00:00:00,MATIC/BTC,3.953e-05,3.974e-05,3.892e-05,3.912e-05,104150.02300613499,4.0743489
1659744000000.0,2022-08-06 00:00:00,MATIC/BTC,3.982e-05,4.054e-05,3.924e-05,3.953e-05,127196.64052618264,5.0280832
1659657600000.0,2022-08-05 00:00:00,MATIC/BTC,3.943e-05,4.008e-05,3.907e-05,3.982e-05,164965.3967855349,6.5689221
1659571200000.0,2022-08-04 00:00:00,MATIC/BTC,3.891e-05,3.986e-05,3.846e-05,3.943e-05,163056.13238650773,6.4293033
1659484800000.0,2022-08-03 00:00:00,MATIC/BTC,3.811e-05,3.928e-05,3.767e-05,3.891e-05,254067.6098689283,9.8857707
1659398400000.0,2022-08-02 00:00:00,MATIC/BTC,3.834e-05,3.881e-05,3.726e-05,3.811e-05,419499.0868538442,15.9871102
1659312000000.0,2022-08-01 00:00:00,MATIC/BTC,3.987e-05,4.037e-05,3.805e-05,3.834e-05,435515.8189880021,16.6976765
1659225600000.0,2022-07-31 00:00:00,MATIC/BTC,3.935e-05,4.271e-05,3.914e-05,3.987e-05,384115.58816152497,15.3146885
1659139200000.0,2022-07-30 00:00:00,MATIC/BTC,3.946e-05,4.01e-05,3.868e-05,3.935e-05,385057.14104193135,15.1519985
1659052800000.0,2022-07-29 00:00:00,MATIC/BTC,3.92e-05,4.138e-05,3.847e-05,3.946e-05,661748.9964521034,26.1126154
1658966400000.0,2022-07-28 00:00:00,MATIC/BTC,3.908e-05,4.044e-05,3.751e-05,3.92e-05,642805.1352040817,25.1979613
