https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARKER,Volume USDT
1663459200,2022-09-18 00:00:00,ARKER/USDT,0.001664,0.001665,0.001576,0.00159,6449481.6728,10494.1174093044
1663372800,2022-09-17 00:00:00,ARKER/USDT,0.001549,0.001668,0.001421,0.001664,229191176.9306,342424.0310349677
1663286400,2022-09-16 00:00:00,ARKER/USDT,0.001589,0.001591,0.001454,0.001549,189856106.3857,292017.6805846191
1663200000,2022-09-15 00:00:00,ARKER/USDT,0.00141,0.00184,0.001401,0.001591,274058291.22518042,414211.07987588852308
1663113600,2022-09-14 00:00:00,ARKER/USDT,0.001487,0.001519,0.001396,0.001413,220248175.6635,318149.6149186604
1663027200,2022-09-13 00:00:00,ARKER/USDT,0.001679,0.001707,0.001394,0.001485,219077049.8246,338568.3551743684
1662940800,2022-09-12 00:00:00,ARKER/USDT,0.00165,0.001759,0.001612,0.001682,188551606.8739,314236.8696533944
1662854400,2022-09-11 00:00:00,ARKER/USDT,0.001691,0.001789,0.001607,0.001651,178756406.4547,301597.9524989989
1662768000,2022-09-10 00:00:00,ARKER/USDT,0.001708,0.001741,0.0016,0.001688,185110580.5253,309024.2030294102
1662681600,2022-09-09 00:00:00,ARKER/USDT,0.001715,0.001776,0.001624,0.001711,176838624.8431,302838.4595494101
1662595200,2022-09-08 00:00:00,ARKER/USDT,0.001817,0.001828,0.00169,0.001716,171363455.4933,298355.8348973724
1662508800,2022-09-07 00:00:00,ARKER/USDT,0.001733,0.001907,0.00165,0.00182,209816175.3938,360912.5055373914
1662422400,2022-09-06 00:00:00,ARKER/USDT,0.001968,0.001989,0.001686,0.001736,177192254.2063,322034.1447253016
1662336000,2022-09-05 00:00:00,ARKER/USDT,0.002037,0.002242,0.001967,0.001973,158071945.6013,328145.4907300096
1662249600,2022-09-04 00:00:00,ARKER/USDT,0.001893,0.002072,0.00187,0.002034,173043382.4394,338111.841465847
1662163200,2022-09-03 00:00:00,ARKER/USDT,0.001922,0.001971,0.001855,0.00189,139583855.6646,264956.4284666325
1662076800,2022-09-02 00:00:00,ARKER/USDT,0.001839,0.001949,0.0018,0.001919,190287302.4961,356989.2087137738
1661990400,2022-09-01 00:00:00,ARKER/USDT,0.001964,0.00199,0.001815,0.001841,171011095.3806,327359.9398107765
1661904000,2022-08-31 00:00:00,ARKER/USDT,0.002032,0.002093,0.001941,0.00197,146833291.335,297885.9369142608
1661817600,2022-08-30 00:00:00,ARKER/USDT,0.002052,0.00216,0.001971,0.002035,145942247.2008,301802.7481844311
1661731200,2022-08-29 00:00:00,ARKER/USDT,0.002144,0.002159,0.002011,0.002052,140081522.5281,293386.416698178
1661644800,2022-08-28 00:00:00,ARKER/USDT,0.002148,0.002275,0.002122,0.002147,133833857.7739,291863.423754658
1661558400,2022-08-27 00:00:00,ARKER/USDT,0.002087,0.00221,0.00208,0.002151,144813351.2954,307775.416610139
1661472000,2022-08-26 00:00:00,ARKER/USDT,0.002308,0.002326,0.002069,0.002088,122252369.5827,270980.3096634383
1661385600,2022-08-25 00:00:00,ARKER/USDT,0.00213,0.002439,0.002117,0.002305,158469056.46463578,357219.10698947511418
1661299200,2022-08-24 00:00:00,ARKER/USDT,0.002111,0.002279,0.002057,0.002132,161734157.8479,345526.3878638084
1661212800,2022-08-23 00:00:00,ARKER/USDT,0.002292,0.002321,0.002027,0.002115,161028891.0478,358106.8078422338
1661126400,2022-08-22 00:00:00,ARKER/USDT,0.002435,0.002459,0.00219,0.002291,108186771.57450904,252967.06390115254904
1661040000,2022-08-21 00:00:00,ARKER/USDT,0.002336,0.002463,0.002323,0.002437,126734175.6845,300497.7564815405
1660953600,2022-08-20 00:00:00,ARKER/USDT,0.002366,0.002514,0.002311,0.002333,132617808.0349,320594.4560515887
1660867200,2022-08-19 00:00:00,ARKER/USDT,0.002527,0.002557,0.002305,0.002366,126393143.6992,305587.6652620188
1660780800,2022-08-18 00:00:00,ARKER/USDT,0.002508,0.002645,0.00247,0.002527,120144154.5046,308175.5469770676
1660694400,2022-08-17 00:00:00,ARKER/USDT,0.002656,0.002721,0.0025,0.002509,110369716.5461,287305.1212540271
1660608000,2022-08-16 00:00:00,ARKER/USDT,0.002807,0.002879,0.002613,0.002658,94829759.5238,261751.1821188006
1660521600,2022-08-15 00:00:00,ARKER/USDT,0.002958,0.003069,0.002799,0.002804,101390511.4546,292756.3691909995
1660435200,2022-08-14 00:00:00,ARKER/USDT,0.00304,0.003174,0.002929,0.002957,102482467.0477,312301.2059662999
1660348800,2022-08-13 00:00:00,ARKER/USDT,0.003065,0.00311,0.003001,0.003037,96300942.314,294360.3842528918
1660262400,2022-08-12 00:00:00,ARKER/USDT,0.003073,0.003191,0.00301,0.003064,100917898.281,312852.3298644306
1660176000,2022-08-11 00:00:00,ARKER/USDT,0.003085,0.003367,0.003022,0.003075,100231591.4493,315238.2282999315
1660089600,2022-08-10 00:00:00,ARKER/USDT,0.003046,0.003228,0.002859,0.003082,103769574.7123,319036.9802833145
1660003200,2022-08-09 00:00:00,ARKER/USDT,0.003342,0.003592,0.003021,0.003046,115840741.1392,380473.0093359642
1659916800,2022-08-08 00:00:00,ARKER/USDT,0.003156,0.00364,0.0031,0.003343,104985846.9545,346489.6207222032
1659830400,2022-08-07 00:00:00,ARKER/USDT,0.003162,0.0032,0.003022,0.003157,105895162.3235,330416.9782723338
1659744000,2022-08-06 00:00:00,ARKER/USDT,0.003082,0.003249,0.003043,0.003163,94841399.9707,298529.9347746128
1659657600,2022-08-05 00:00:00,ARKER/USDT,0.003102,0.003331,0.003015,0.003081,96219161.7517,301623.9734375377
1659571200,2022-08-04 00:00:00,ARKER/USDT,0.003031,0.003201,0.00298,0.0031,110092024.2882,336894.1247518423
1659484800,2022-08-03 00:00:00,ARKER/USDT,0.002978,0.003331,0.002877,0.003034,99315990.6852,303376.0466305813
1659398400,2022-08-02 00:00:00,ARKER/USDT,0.003023,0.003573,0.002821,0.002975,139694701.4369,426683.6878996746
1659312000,2022-08-01 00:00:00,ARKER/USDT,0.002812,0.003062,0.002777,0.003024,118848198.3461,342347.1144653945
1659225600,2022-07-31 00:00:00,ARKER/USDT,0.003032,0.00316,0.002777,0.002809,110676934.3144,329185.0638526559
1659139200,2022-07-30 00:00:00,ARKER/USDT,0.002995,0.00335,0.002851,0.003029,122416938.6198,372298.6439419915
1659052800,2022-07-29 00:00:00,ARKER/USDT,0.002806,0.003705,0.002756,0.003018,147772308.10470392,445486.12705211387528
1658966400,2022-07-28 00:00:00,ARKER/USDT,0.002807,0.002994,0.00275,0.002805,100061856.3732,284008.3126808367
1658880000,2022-07-27 00:00:00,ARKER/USDT,0.002742,0.0029,0.002697,0.002806,106208954.503,295409.472556951
1658793600,2022-07-26 00:00:00,ARKER/USDT,0.002594,0.003084,0.002579,0.002743,128566886.3903,352472.0104267847
1658707200,2022-07-25 00:00:00,ARKER/USDT,0.002574,0.0029,0.002483,0.002593,138953826.7248,363474.9820534932
1658620800,2022-07-24 00:00:00,ARKER/USDT,0.002643,0.00267,0.00248,0.002572,121922541.0893,314214.6855834368
1658534400,2022-07-23 00:00:00,ARKER/USDT,0.002614,0.002788,0.002489,0.002641,135576685.5698,349059.3692806499
1658448000,2022-07-22 00:00:00,ARKER/USDT,0.002734,0.00325,0.00248,0.002617,151998975.81266145,421511.34756216995158
1658361600,2022-07-21 00:00:00,ARKER/USDT,0.002552,0.0028,0.002381,0.002735,133633665.7078,340149.7907476111
1658275200,2022-07-20 00:00:00,ARKER/USDT,0.00269,0.002819,0.0025,0.00255,107302866.00309437,282873.76276388513737
1658188800,2022-07-19 00:00:00,ARKER/USDT,0.002586,0.00283,0.002488,0.002691,125906620.46426035,329782.0991807818456
