https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BTC/USDT,19417.0,19457.0,19392.0,19412.0,46.5970352719967,904541.6487
1663459200000.0,2022-09-18 00:00:00,BTC/USDT,20113.0,20119.0,19340.0,19417.0,2127.047637467168,41300883.9767
1663372800000.0,2022-09-17 00:00:00,BTC/USDT,19802.0,20180.0,19751.0,20113.0,1390.497611758564,27967078.4653
1663286400000.0,2022-09-16 00:00:00,BTC/USDT,19702.0,19888.0,19326.0,19802.0,1937.687855807494,38370094.9207
1663200000000.0,2022-09-15 00:00:00,BTC/USDT,20227.0,20332.0,19502.0,19701.0,4872.239892340491,95987998.119
1663113600000.0,2022-09-14 00:00:00,BTC/USDT,20171.0,20537.0,19620.0,20227.0,3091.3137621792653,62528003.4676
1663027200000.0,2022-09-13 00:00:00,BTC/USDT,22400.0,22820.0,19875.0,20171.0,7114.20327651579,143500594.2906
1662940800000.0,2022-09-12 00:00:00,BTC/USDT,21825.0,22482.0,21552.0,22400.0,3512.51110353125,78680248.7191
1662854400000.0,2022-09-11 00:00:00,BTC/USDT,21645.0,21881.0,21350.0,21826.0,1927.6789154448823,42073520.0085
1662768000000.0,2022-09-10 00:00:00,BTC/USDT,21362.0,21850.0,21124.0,21645.0,1614.6713932917535,34949562.3078
1662681600000.0,2022-09-09 00:00:00,BTC/USDT,19316.0,21609.0,19292.0,21362.0,4090.6299652139314,87384037.3169
1662595200000.0,2022-09-08 00:00:00,BTC/USDT,19294.0,19455.0,19019.0,19316.0,2426.2553387554362,46865548.1234
1662508800000.0,2022-09-07 00:00:00,BTC/USDT,18789.0,19467.0,18528.0,19294.0,3793.321495470094,73188344.9336
1662422400000.0,2022-09-06 00:00:00,BTC/USDT,19794.0,20178.0,18657.0,18789.0,4422.44426761403,83093305.3442
1662336000000.0,2022-09-05 00:00:00,BTC/USDT,20004.0,20056.0,19638.0,19794.0,1812.5338936091746,35877295.8901
1662249600000.0,2022-09-04 00:00:00,BTC/USDT,19835.0,20026.0,19589.0,20004.0,1103.2766308638272,22069945.7238
