https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FKX,Volume USDT
1663459200,2022-09-18 00:00:00,FKX/USDT,0.04726,0.04749,0.04683,0.04684,114234.8699,5363.495013409
1663372800,2022-09-17 00:00:00,FKX/USDT,0.04212,0.04899,0.04198,0.04725,2730579.9031,122807.695354605
1663286400,2022-09-16 00:00:00,FKX/USDT,0.04148,0.04316,0.03915,0.04209,2151052.6145,89360.148255761
1663200000,2022-09-15 00:00:00,FKX/USDT,0.04021,0.0475,0.04021,0.04146,5717840.73274739,242302.7820785038732
1663113600,2022-09-14 00:00:00,FKX/USDT,0.04082,0.04205,0.03802,0.04019,5369118.7564,214070.386377603
1663027200,2022-09-13 00:00:00,FKX/USDT,0.04443,0.04535,0.0386,0.04077,4517666.4525,185850.715570132
1662940800,2022-09-12 00:00:00,FKX/USDT,0.03658,0.0448,0.03613,0.04446,4561493.2111,190249.324115859
1662854400,2022-09-11 00:00:00,FKX/USDT,0.03036,0.045,0.0303,0.03654,5349258.5556,202735.270286154
1662768000,2022-09-10 00:00:00,FKX/USDT,0.03137,0.044,0.027,0.03071,5246126.4504436,165394.2294146391281
1662681600,2022-09-09 00:00:00,FKX/USDT,0.03949,0.04,0.03003,0.03092,5145341.3416,177992.950593122
1662595200,2022-09-08 00:00:00,FKX/USDT,0.02844,0.03949,0.02788,0.0392,7025889.91670799,219435.120703838052
1662508800,2022-09-07 00:00:00,FKX/USDT,0.02549,0.029,0.02548,0.02844,7188991.964,198454.211502996
1662422400,2022-09-06 00:00:00,FKX/USDT,0.02612,0.029,0.02501,0.02549,3468572.4024,92914.097002154
1662336000,2022-09-05 00:00:00,FKX/USDT,0.02352,0.02888,0.02201,0.02593,7251119.6957,175056.01109751
1662249600,2022-09-04 00:00:00,FKX/USDT,0.02544,0.0256,0.02316,0.02352,6370513.978,157465.959012183
1662163200,2022-09-03 00:00:00,FKX/USDT,0.02574,0.02591,0.02535,0.02544,7323131.5507,188113.578305922
1662076800,2022-09-02 00:00:00,FKX/USDT,0.02626,0.02653,0.02553,0.02574,6271867.2192,161475.51348976
1661990400,2022-09-01 00:00:00,FKX/USDT,0.02669,0.0274,0.02607,0.02634,3489127.1612,92649.344144748
1661904000,2022-08-31 00:00:00,FKX/USDT,0.02722,0.02898,0.02651,0.02668,3360408.557,92829.802894529
1661817600,2022-08-30 00:00:00,FKX/USDT,0.02793,0.02797,0.02571,0.02722,1959761.4634,51925.580924363
1661731200,2022-08-29 00:00:00,FKX/USDT,0.02503,0.029,0.02448,0.0279,6562727.8575,171362.757717223
1661644800,2022-08-28 00:00:00,FKX/USDT,0.02412,0.02537,0.02394,0.02537,4171602.6937,102476.036655387
1661558400,2022-08-27 00:00:00,FKX/USDT,0.02725,0.02741,0.02412,0.02412,4668771.1787,123002.053926113
1661472000,2022-08-26 00:00:00,FKX/USDT,0.02633,0.02898,0.02511,0.02724,3931287.0203,105346.923621592
1661385600,2022-08-25 00:00:00,FKX/USDT,0.02471,0.02934,0.0247,0.02634,4081174.6675,108576.132491749
1661299200,2022-08-24 00:00:00,FKX/USDT,0.02306,0.031,0.02225,0.02471,5950851.5551,148954.664015016
1661212800,2022-08-23 00:00:00,FKX/USDT,0.02392,0.02475,0.02216,0.02306,5151952.0988,118408.884921346
1661126400,2022-08-22 00:00:00,FKX/USDT,0.02389,0.02469,0.0231,0.02389,3490783.0762,83066.929993554
1661040000,2022-08-21 00:00:00,FKX/USDT,0.02232,0.02799,0.02156,0.02388,3172522.4536,77152.176303516
1660953600,2022-08-20 00:00:00,FKX/USDT,0.02094,0.02545,0.02016,0.02239,5091158.3208,109323.727966505
1660867200,2022-08-19 00:00:00,FKX/USDT,0.02165,0.02174,0.02081,0.02093,5288617.8298,112872.867535278
1660780800,2022-08-18 00:00:00,FKX/USDT,0.02225,0.0264,0.02151,0.0217,4509466.024,104014.617490628
1660694400,2022-08-17 00:00:00,FKX/USDT,0.02595,0.02959,0.02169,0.02232,5037308.8724,128285.362237192
1660608000,2022-08-16 00:00:00,FKX/USDT,0.02342,0.02719,0.02327,0.02621,4699290.5795,115377.619439101
1660521600,2022-08-15 00:00:00,FKX/USDT,0.02417,0.02417,0.02327,0.02342,4848861.7394,114377.235524787
1660435200,2022-08-14 00:00:00,FKX/USDT,0.02481,0.02503,0.02279,0.02416,3663292.7819,87538.977737082
1660348800,2022-08-13 00:00:00,FKX/USDT,0.02223,0.0294,0.02222,0.02481,5979953.5329,152038.788696715
1660262400,2022-08-12 00:00:00,FKX/USDT,0.02099,0.025,0.0199,0.02222,2607111.9159,55763.051414757
1660176000,2022-08-11 00:00:00,FKX/USDT,0.02173,0.0222,0.02046,0.02103,4166436.8277,88803.525348312
1660089600,2022-08-10 00:00:00,FKX/USDT,0.01899,0.02368,0.01888,0.02174,5977860.6797,117922.476153979
1660003200,2022-08-09 00:00:00,FKX/USDT,0.01961,0.01979,0.0181,0.01899,7045281.1902,134276.481759445
1659916800,2022-08-08 00:00:00,FKX/USDT,0.01885,0.02051,0.01885,0.01961,7308311.7929,145044.370267659
1659830400,2022-08-07 00:00:00,FKX/USDT,0.01888,0.01991,0.01882,0.01885,5494845.7626,105356.42753348
1659744000,2022-08-06 00:00:00,FKX/USDT,0.01943,0.02006,0.01871,0.0189,5740968.4975,111312.99417382
1659657600,2022-08-05 00:00:00,FKX/USDT,0.01911,0.02035,0.0187,0.01943,8045603.6844,156092.946917803
1659571200,2022-08-04 00:00:00,FKX/USDT,0.01879,0.01983,0.01871,0.0191,7028656.1146,134547.155508744
1659484800,2022-08-03 00:00:00,FKX/USDT,0.01914,0.0193,0.01856,0.01878,6371276.8107,120235.004711119
1659398400,2022-08-02 00:00:00,FKX/USDT,0.01911,0.01932,0.01848,0.01913,6554565.8215,123353.117718484
1659312000,2022-08-01 00:00:00,FKX/USDT,0.01875,0.02044,0.01875,0.01915,6020273.8657,117766.429095718
1659225600,2022-07-31 00:00:00,FKX/USDT,0.01885,0.0191,0.01809,0.01874,6165379.0082,114427.557309646
