https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1663545600000.0,2022-09-19 00:00:00,KNC/USDT,1.4399,1.4399,1.399,1.4189,5437.696229473535,7715.54718
1663542000000.0,2022-09-18 23:00:00,KNC/USDT,1.3911,1.4407,1.3911,1.4399,8311.762879366623,11968.10737
1663538400000.0,2022-09-18 22:00:00,KNC/USDT,1.3689,1.4033,1.3601,1.3911,24357.669182661204,33883.9536
1663534800000.0,2022-09-18 21:00:00,KNC/USDT,1.3916,1.3962,1.2614,1.3689,94491.6045876251,129349.55752
1663531200000.0,2022-09-18 20:00:00,KNC/USDT,1.4022,1.4022,1.365,1.3916,182099.83107214718,253410.12492
1663527600000.0,2022-09-18 19:00:00,KNC/USDT,1.3967,1.4121,1.37,1.4023,301041.77101904014,422150.8755
1663524000000.0,2022-09-18 18:00:00,KNC/USDT,1.3771,1.3975,1.3549,1.3967,44227.742679172334,61772.8882
1663520400000.0,2022-09-18 17:00:00,KNC/USDT,1.3222,1.4145,1.255,1.3771,1742234.6888751725,2399231.39005
1663516800000.0,2022-09-18 16:00:00,KNC/USDT,1.8684,1.8684,1.3072,1.322,2301685.026406959,3042827.60491
1663513200000.0,2022-09-18 15:00:00,KNC/USDT,1.8737,1.8737,1.8674,1.8684,233.47008135302934,436.2155
1663509600000.0,2022-09-18 14:00:00,KNC/USDT,1.8851,1.8851,1.8612,1.8737,3592.7944121257406,6731.81889
1663506000000.0,2022-09-18 13:00:00,KNC/USDT,1.8828,1.8872,1.8818,1.8851,0.5,0.94255
1663502400000.0,2022-09-18 12:00:00,KNC/USDT,1.8799,1.8844,1.8799,1.8828,200.05654344593157,376.66646
1663498800000.0,2022-09-18 11:00:00,KNC/USDT,1.8798,1.8859,1.8798,1.8799,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,KNC/USDT,1.8935,1.8941,1.8798,1.8798,85.10824023832323,159.98647
1663491600000.0,2022-09-18 09:00:00,KNC/USDT,1.885,1.8958,1.8777,1.8935,1561.6880485872723,2957.05632
1663488000000.0,2022-09-18 08:00:00,KNC/USDT,1.8842,1.8863,1.8821,1.885,1358.1686684350132,2560.14794
1663484400000.0,2022-09-18 07:00:00,KNC/USDT,1.8936,1.899,1.8837,1.8842,5142.377645685171,9689.26796
