https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GLMR,Volume USDT
1663462800,2022-09-18 01:00:00,GLMR/USDT,0.509,0.5104,0.5083,0.5093,4979.16488424,2536.925349460062
1663459200,2022-09-18 00:00:00,GLMR/USDT,0.5164,0.5414,0.5041,0.5089,131630.80209283,67493.500858738935
1663455600,2022-09-17 23:00:00,GLMR/USDT,0.512,0.5424,0.5119,0.5162,68388.82551863,35580.681481204067
1663452000,2022-09-17 22:00:00,GLMR/USDT,0.5116,0.5146,0.5103,0.5119,31950.87378545,16355.739062909704
1663448400,2022-09-17 21:00:00,GLMR/USDT,0.5127,0.525,0.5065,0.5116,126325.05388573,64766.893339559214
1663444800,2022-09-17 20:00:00,GLMR/USDT,0.5124,0.5155,0.5094,0.5127,26709.09370135,13674.39942415602
1663441200,2022-09-17 19:00:00,GLMR/USDT,0.514,0.5153,0.5086,0.5129,52257.69581555,26685.33745269315
1663437600,2022-09-17 18:00:00,GLMR/USDT,0.5168,0.5175,0.5136,0.5148,28024.50088044,14444.493686523545
1663434000,2022-09-17 17:00:00,GLMR/USDT,0.5176,0.5188,0.5153,0.5169,22418.82639069,11587.824767739034
1663430400,2022-09-17 16:00:00,GLMR/USDT,0.5129,0.5188,0.5125,0.5171,52963.13506616,27355.20591858234
1663426800,2022-09-17 15:00:00,GLMR/USDT,0.5167,0.5167,0.5117,0.5127,24020.02039397,12376.26827819215
1663423200,2022-09-17 14:00:00,GLMR/USDT,0.5139,0.5182,0.5134,0.5182,47275.14074197,24366.381651213741
1663419600,2022-09-17 13:00:00,GLMR/USDT,0.5131,0.5197,0.509,0.5137,98018.46327165,50180.051747867161
1663416000,2022-09-17 12:00:00,GLMR/USDT,0.5121,0.5138,0.5091,0.5128,22240.72238041,11393.012908360314
1663412400,2022-09-17 11:00:00,GLMR/USDT,0.5118,0.5132,0.5049,0.5126,66538.02854954,33860.810623926552
1663408800,2022-09-17 10:00:00,GLMR/USDT,0.5223,0.5224,0.5109,0.5127,25129.39893293,12960.873532119825
1663405200,2022-09-17 09:00:00,GLMR/USDT,0.5193,0.53,0.5155,0.5238,54311.75817523,28383.838197728548
1663401600,2022-09-17 08:00:00,GLMR/USDT,0.5142,0.5315,0.5135,0.5197,79609.28057971,41462.517465038032
1663398000,2022-09-17 07:00:00,GLMR/USDT,0.5133,0.5176,0.5108,0.5139,47043.2609087,24193.272064519844
1663394400,2022-09-17 06:00:00,GLMR/USDT,0.5119,0.518,0.5059,0.5134,55907.69073044,28650.098682848112
1663390800,2022-09-17 05:00:00,GLMR/USDT,0.5123,0.5172,0.5101,0.5121,40785.09374387,20956.459926221306
1663387200,2022-09-17 04:00:00,GLMR/USDT,0.5055,0.515,0.5045,0.5125,110706.56292653,56604.508996007056
1663383600,2022-09-17 03:00:00,GLMR/USDT,0.4989,0.5506,0.4989,0.5042,171427.79290794,87947.807718014994
1663380000,2022-09-17 02:00:00,GLMR/USDT,0.5016,0.5049,0.4975,0.4985,64654.5079016,32399.9915907984
1663376400,2022-09-17 01:00:00,GLMR/USDT,0.4943,0.5024,0.4934,0.502,36606.3982739,18202.473733314334
1663372800,2022-09-17 00:00:00,GLMR/USDT,0.4893,0.4972,0.4888,0.4939,42313.04879595,20931.33528983379
1663369200,2022-09-16 23:00:00,GLMR/USDT,0.4868,0.489,0.4863,0.489,5738.30887212,2793.640617418977
1663365600,2022-09-16 22:00:00,GLMR/USDT,0.4937,0.4952,0.486,0.486,47276.62548636,23218.356709529038
1663362000,2022-09-16 21:00:00,GLMR/USDT,0.4913,0.4943,0.4865,0.4929,99925.16280408,48930.294267279149
1663358400,2022-09-16 20:00:00,GLMR/USDT,0.4841,0.4975,0.4841,0.4916,147523.47916646,72335.500939507406
1663354800,2022-09-16 19:00:00,GLMR/USDT,0.4786,0.4869,0.4786,0.4849,41093.30965973,19805.096468798803
1663351200,2022-09-16 18:00:00,GLMR/USDT,0.4789,0.4812,0.4755,0.4784,19093.73225207,9119.823733715496
1663347600,2022-09-16 17:00:00,GLMR/USDT,0.48,0.4808,0.4754,0.4784,46808.42235403,22381.268481436353
1663344000,2022-09-16 16:00:00,GLMR/USDT,0.4822,0.4838,0.4765,0.48,98027.8921623,47212.657828784188
1663340400,2022-09-16 15:00:00,GLMR/USDT,0.482,0.4834,0.4786,0.4826,27755.36287326,13350.483574591435
1663336800,2022-09-16 14:00:00,GLMR/USDT,0.477,0.4893,0.4748,0.4818,91938.40485559,44258.822180756768
1663333200,2022-09-16 13:00:00,GLMR/USDT,0.4837,0.4855,0.4749,0.4751,48445.54226935,23297.167036395003
1663329600,2022-09-16 12:00:00,GLMR/USDT,0.4877,0.4877,0.4826,0.4837,23265.51199799,11293.271463954873
1663326000,2022-09-16 11:00:00,GLMR/USDT,0.4848,0.4886,0.4835,0.4873,36739.87744933,17845.854427457846
1663322400,2022-09-16 10:00:00,GLMR/USDT,0.486,0.49,0.4815,0.4845,56076.98260123,27293.934952669103
1663318800,2022-09-16 09:00:00,GLMR/USDT,0.4779,0.486,0.4779,0.4847,29543.84034426,14241.518025524487
1663315200,2022-09-16 08:00:00,GLMR/USDT,0.4823,0.4825,0.4765,0.4777,36855.76376884,17658.037144393634
1663311600,2022-09-16 07:00:00,GLMR/USDT,0.4851,0.4856,0.4819,0.4822,14180.07789656,6856.600949671133
1663308000,2022-09-16 06:00:00,GLMR/USDT,0.4856,0.4874,0.4836,0.4845,23080.99830907,11222.50496885307
1663304400,2022-09-16 05:00:00,GLMR/USDT,0.4861,0.4868,0.4835,0.4851,17588.85875018,8529.930674490518
1663300800,2022-09-16 04:00:00,GLMR/USDT,0.4857,0.4886,0.4849,0.4867,14743.90436958,7180.391775045596
1663297200,2022-09-16 03:00:00,GLMR/USDT,0.4887,0.4931,0.4828,0.4855,46087.28001441,22452.502611707003
1663293600,2022-09-16 02:00:00,GLMR/USDT,0.4885,0.4917,0.485,0.4889,32104.31991164,15669.830036157684
1663290000,2022-09-16 01:00:00,GLMR/USDT,0.4917,0.492,0.4868,0.4874,15954.2315423,7807.157480261181
1663286400,2022-09-16 00:00:00,GLMR/USDT,0.4851,0.4916,0.4804,0.4916,107407.66884464,52149.710416614756
1663282800,2022-09-15 23:00:00,GLMR/USDT,0.4934,0.4935,0.4827,0.4853,152772.02427398,74369.80183626295
1663279200,2022-09-15 22:00:00,GLMR/USDT,0.4938,0.4938,0.49,0.4925,27408.02067347,13480.987475248364
1663275600,2022-09-15 21:00:00,GLMR/USDT,0.4961,0.4968,0.4904,0.4938,41277.28376933,20388.599999757196
1663272000,2022-09-15 20:00:00,GLMR/USDT,0.4936,0.4975,0.493,0.4962,25622.96254703,12673.397726780902
1663268400,2022-09-15 19:00:00,GLMR/USDT,0.4951,0.4956,0.4896,0.4932,68995.73274223,33965.423672638025
1663264800,2022-09-15 18:00:00,GLMR/USDT,0.4975,0.4975,0.4925,0.4952,54784.13825132,27119.008311903219
1663261200,2022-09-15 17:00:00,GLMR/USDT,0.4983,0.5011,0.4957,0.4975,52591.50322727,26229.376120195676
1663257600,2022-09-15 16:00:00,GLMR/USDT,0.496,0.4985,0.4919,0.4976,18087.96953165,8965.491389520707
