https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LITH,Volume USDT
1663459200,2022-09-18 00:00:00,LITH/USDT,0.00132,0.001338,0.00132,0.001322,1433938.3794,1898.3312042506
1663372800,2022-09-17 00:00:00,LITH/USDT,0.001337,0.001365,0.0013,0.00132,53670200.2841,71231.4827728003
1663286400,2022-09-16 00:00:00,LITH/USDT,0.001374,0.001405,0.00131,0.001338,38518013.6953,52185.3794439927
1663200000,2022-09-15 00:00:00,LITH/USDT,0.001476,0.001525,0.001275,0.001374,74009137.1019,102217.3048375224
1663113600,2022-09-14 00:00:00,LITH/USDT,0.001549,0.001582,0.001461,0.001475,17752010.6383,27119.7574769471
1663027200,2022-09-13 00:00:00,LITH/USDT,0.001736,0.00175,0.00154,0.001549,62440208.6434,100769.7058042921
1662940800,2022-09-12 00:00:00,LITH/USDT,0.001502,0.001975,0.0015,0.001722,138315035.4093,241513.0632724461
1662854400,2022-09-11 00:00:00,LITH/USDT,0.001493,0.001578,0.001455,0.001503,56785502.4388,85994.0055218885
1662768000,2022-09-10 00:00:00,LITH/USDT,0.001466,0.001527,0.001411,0.001493,50355516.1402,74194.1342682959
1662681600,2022-09-09 00:00:00,LITH/USDT,0.001413,0.001499,0.001391,0.001465,39191918.2295,56690.3935527014
1662595200,2022-09-08 00:00:00,LITH/USDT,0.001479,0.001549,0.001389,0.001402,74620592.6789,107573.3379798106
1662508800,2022-09-07 00:00:00,LITH/USDT,0.001385,0.001652,0.00138,0.001479,134719763.9968,204300.5140834704
1662422400,2022-09-06 00:00:00,LITH/USDT,0.001372,0.0016,0.001354,0.001384,25114160.3024,35824.7173540896
1662336000,2022-09-05 00:00:00,LITH/USDT,0.001363,0.001468,0.001353,0.001371,5874344.3067,8209.0685082573
1662249600,2022-09-04 00:00:00,LITH/USDT,0.001374,0.001434,0.001359,0.001363,9404037.4324,13161.408164587
1662163200,2022-09-03 00:00:00,LITH/USDT,0.001354,0.001426,0.001337,0.001374,15749753.0873,21760.7439746797
1662076800,2022-09-02 00:00:00,LITH/USDT,0.001384,0.001428,0.001353,0.001354,7591379.9552,10479.3950877388
1661990400,2022-09-01 00:00:00,LITH/USDT,0.001365,0.00155,0.001337,0.001384,45909890.2542,63970.2208834155
1661904000,2022-08-31 00:00:00,LITH/USDT,0.001365,0.001472,0.001362,0.001365,22159080.7071,31219.1941502596
1661817600,2022-08-30 00:00:00,LITH/USDT,0.001364,0.001449,0.00134,0.001381,13636287.8242,19072.7811419454
1661731200,2022-08-29 00:00:00,LITH/USDT,0.001364,0.001385,0.001317,0.001365,39002608.0237,52475.3136377212
1661644800,2022-08-28 00:00:00,LITH/USDT,0.001403,0.001581,0.001361,0.001364,53650006.4891,76391.39778019
1661558400,2022-08-27 00:00:00,LITH/USDT,0.001403,0.00145,0.001357,0.001403,37485323.5415,52728.8264391961
1661472000,2022-08-26 00:00:00,LITH/USDT,0.001496,0.00153,0.001389,0.001403,48055918.302,70293.4308499528
1661385600,2022-08-25 00:00:00,LITH/USDT,0.001491,0.001546,0.00147,0.001496,43783781.785,65877.315853525
1661299200,2022-08-24 00:00:00,LITH/USDT,0.001493,0.001564,0.001468,0.001485,11940537.7689,18047.3404990897
1661212800,2022-08-23 00:00:00,LITH/USDT,0.001491,0.001566,0.001471,0.001493,36923264.773,56248.8523453794
1661126400,2022-08-22 00:00:00,LITH/USDT,0.001514,0.00171,0.001452,0.001491,41930131.0991,65336.7913965143
1661040000,2022-08-21 00:00:00,LITH/USDT,0.001502,0.001543,0.001444,0.001515,40195941.0026,60077.1694527883
