https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLN,Volume USDT
1663549200000,2022-09-19 01:00:00,USDT/PLN,4.706274,4.706274,4.706274,4.706274,122.36312399999998,26.0
1663545600000,2022-09-19 00:00:00,USDT/PLN,4.712157,4.714093,4.707877,4.707877,1421.778854,302.0
1663542000000,2022-09-18 23:00:00,USDT/PLN,4.711159,4.716108,4.705166,4.714366,2300.610608,488.0
1663538400000,2022-09-18 22:00:00,USDT/PLN,4.709078,4.715521,4.707343,4.715521,2631.260718,558.0
1663534800000,2022-09-18 21:00:00,USDT/PLN,4.705077,4.72,4.703006,4.713153,3899.7969243396738,827.42845911
1663531200000,2022-09-18 20:00:00,USDT/PLN,4.704742,4.712785,4.704399,4.706289,1901.340756,404.0
1663527600000,2022-09-18 19:00:00,USDT/PLN,4.707203,4.712976,4.703741,4.709769,2538.565491,539.0
1663524000000,2022-09-18 18:00:00,USDT/PLN,4.711538,4.712328,4.704464,4.707981,2010.3078870000002,427.0
1663520400000,2022-09-18 17:00:00,USDT/PLN,4.704389,4.72,4.704066,4.704066,2838.984657202825,603.5171822
1663516800000,2022-09-18 16:00:00,USDT/PLN,4.710511,4.72,4.703911,4.704228,2098.576503346126,446.10433494
1663513200000,2022-09-18 15:00:00,USDT/PLN,4.704166,4.712697,4.703895,4.712031,1988.4770819999999,422.0
1663509600000,2022-09-18 14:00:00,USDT/PLN,4.71039,4.713036,4.704573,4.705493,2724.480447,579.0
1663506000000,2022-09-18 13:00:00,USDT/PLN,4.719514,4.726216,4.704244,4.705241,1689.181519,359.0
1663502400000,2022-09-18 12:00:00,USDT/PLN,4.732568,4.734582,4.713399,4.734087,2333.9048909999997,493.0
1663498800000,2022-09-18 11:00:00,USDT/PLN,4.732213,4.734606,4.714841,4.724952,1875.805944,397.0
1663495200000,2022-09-18 10:00:00,USDT/PLN,4.728712,4.732373,4.714248,4.714248,2121.4116000000004,450.0
1663491600000,2022-09-18 09:00:00,USDT/PLN,4.720508,4.732037,4.71407,4.723773,2291.0299050000003,485.0
1663488000000,2022-09-18 08:00:00,USDT/PLN,4.720814,4.733097,4.713276,4.722645,2588.00946,548.0
1663484400000,2022-09-18 07:00:00,USDT/PLN,4.724023,4.734582,4.713752,4.732948,2073.0312240000003,438.0
1663480800000,2022-09-18 06:00:00,USDT/PLN,4.713569,4.734224,4.713569,4.734224,2239.287952,473.0
1663477200000,2022-09-18 05:00:00,USDT/PLN,4.718779,4.73295,4.713988,4.725593,2254.107861,477.0
1663473600000,2022-09-18 04:00:00,USDT/PLN,4.73145,4.733415,4.713561,4.723318,2649.781398,561.0
1663470000000,2022-09-18 03:00:00,USDT/PLN,4.713467,4.733227,4.713467,4.720006,2388.323036,506.0
1663466400000,2022-09-18 02:00:00,USDT/PLN,4.728812,4.728812,4.716313,4.722761,1695.471199,359.0
1663462800000,2022-09-18 01:00:00,USDT/PLN,4.729633,4.75078,4.714865,4.729405,1957.6422551474511,413.92992462
