https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAN,Volume USDT
1663459200,2022-09-18 00:00:00,MAN/USDT,0.006377,0.006377,0.006224,0.006266,156232.1453,986.848761707
1663455600,2022-09-17 23:00:00,MAN/USDT,0.006369,0.00643,0.006369,0.006429,941.8401,6.0502481645
1663452000,2022-09-17 22:00:00,MAN/USDT,0.006329,0.006551,0.006329,0.006369,127016.7801,827.9399353155
1663448400,2022-09-17 21:00:00,MAN/USDT,0.006377,0.006394,0.006329,0.006329,120655.9269,764.0472746563
1663444800,2022-09-17 20:00:00,MAN/USDT,0.006357,0.006397,0.006329,0.006329,33787.3267,213.9471927061
1663441200,2022-09-17 19:00:00,MAN/USDT,0.006362,0.006491,0.00633,0.006357,143307.1898,911.498214942
1663437600,2022-09-17 18:00:00,MAN/USDT,0.0063,0.006377,0.0063,0.006362,38178.868,242.1129725367
1663434000,2022-09-17 17:00:00,MAN/USDT,0.006451,0.006451,0.006205,0.0063,122580.484,772.0261000588
1663430400,2022-09-17 16:00:00,MAN/USDT,0.006451,0.00653,0.006332,0.006467,97146.1093,625.2463301029
1663426800,2022-09-17 15:00:00,MAN/USDT,0.006426,0.006503,0.006401,0.006451,34467.801,222.9989987191
1663423200,2022-09-17 14:00:00,MAN/USDT,0.006503,0.006505,0.006401,0.006437,88717.1603,570.8187412933
1663419600,2022-09-17 13:00:00,MAN/USDT,0.006637,0.006637,0.006466,0.006502,124831.8936,811.9664299703
1663416000,2022-09-17 12:00:00,MAN/USDT,0.006831,0.00688,0.006535,0.006646,832445.91,5557.4403660037
1663412400,2022-09-17 11:00:00,MAN/USDT,0.00658,0.006888,0.006472,0.006843,738527.1827,4983.765672606
1663408800,2022-09-17 10:00:00,MAN/USDT,0.006502,0.006651,0.0065,0.00658,162769.5139,1071.9180783736
1663405200,2022-09-17 09:00:00,MAN/USDT,0.006488,0.006688,0.006417,0.006495,448772.5923,2939.9108141063
1663401600,2022-09-17 08:00:00,MAN/USDT,0.006435,0.006614,0.006397,0.006439,146483.4864,958.2755754597
1663398000,2022-09-17 07:00:00,MAN/USDT,0.006391,0.006591,0.006391,0.006435,151465.553,983.8212760754
1663394400,2022-09-17 06:00:00,MAN/USDT,0.00633,0.006397,0.00633,0.006397,5072172.8518,32288.2229424038
1663390800,2022-09-17 05:00:00,MAN/USDT,0.006414,0.006504,0.00632,0.00632,38641.0484,246.3704711804
1663387200,2022-09-17 04:00:00,MAN/USDT,0.006369,0.006545,0.006288,0.006458,193055.2728,1238.9149002901
