https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFDAI,Volume USDT
1663462800,2022-09-18 01:00:00,YFDAI/USDT,26.35,27.98,26.31,27.98,141.447,3848.877619
1663459200,2022-09-18 00:00:00,YFDAI/USDT,26.1,28.19,25,26.59,456.7935,12001.142571
1663455600,2022-09-17 23:00:00,YFDAI/USDT,29.42,31.95,25.05,26,1741.337,49092.827523
1663452000,2022-09-17 22:00:00,YFDAI/USDT,24,46.36,23.73,29.42,5251.2133,169709.156833
1663448400,2022-09-17 21:00:00,YFDAI/USDT,23.45,24.59,23.33,24,31.996,771.89546
1663444800,2022-09-17 20:00:00,YFDAI/USDT,24.33,24.33,23.16,23.16,13.2293,309.452818
1663441200,2022-09-17 19:00:00,YFDAI/USDT,24.22,25.8,23.5,23.56,171.3621,4208.428319
1663437600,2022-09-17 18:00:00,YFDAI/USDT,24.02,24.54,23.81,24.28,37.9895,910.384258
1663434000,2022-09-17 17:00:00,YFDAI/USDT,23.84,24.06,23.84,23.97,3.4423,82.201571
1663430400,2022-09-17 16:00:00,YFDAI/USDT,23.71,23.71,23.69,23.69,1,23.693746
1663426800,2022-09-17 15:00:00,YFDAI/USDT,23.82,23.82,23.72,23.72,9.2313,219.393852
1663423200,2022-09-17 14:00:00,YFDAI/USDT,23.91,24.42,23.66,24.42,13.1733,315.491564
1663419600,2022-09-17 13:00:00,YFDAI/USDT,23.73,24.05,23.66,23.66,1.4235,33.876047
1663416000,2022-09-17 12:00:00,YFDAI/USDT,24.34,24.35,23.68,23.68,9.3272,225.058696
1663412400,2022-09-17 11:00:00,YFDAI/USDT,23.52,24.88,23.51,24.12,94.6441,2303.056992
1663408800,2022-09-17 10:00:00,YFDAI/USDT,23.41,23.75,23.15,23.43,8.2448,194.269307
1663405200,2022-09-17 09:00:00,YFDAI/USDT,23.95,23.95,23.37,23.42,14.3604,338.918815
1663401600,2022-09-17 08:00:00,YFDAI/USDT,23.77,24,23.37,24,5.5491,131.845179
1663398000,2022-09-17 07:00:00,YFDAI/USDT,23.78,23.78,23.6,23.6,13.6004,321.545435
1663394400,2022-09-17 06:00:00,YFDAI/USDT,24.67,24.71,23.37,23.81,139.7876,3314.199645
1663390800,2022-09-17 05:00:00,YFDAI/USDT,23.97,24.69,23.97,24.69,1.463,35.372828
1663387200,2022-09-17 04:00:00,YFDAI/USDT,24.29,24.74,23.83,24.74,36.4779,900.032981
1663383600,2022-09-17 03:00:00,YFDAI/USDT,24.29,24.29,24.28,24.29,2.9739,72.227956
1663380000,2022-09-17 02:00:00,YFDAI/USDT,23.68,24.09,23.65,23.66,5.2725,125.610877
1663376400,2022-09-17 01:00:00,YFDAI/USDT,23.79,24.09,23.79,24.09,1.0085,24.24004
1663372800,2022-09-17 00:00:00,YFDAI/USDT,23.59,23.85,23.48,23.48,22.0159,524.178185
1663369200,2022-09-16 23:00:00,YFDAI/USDT,23.18,23.18,23.18,23.18,0.027,0.62586
1663365600,2022-09-16 22:00:00,YFDAI/USDT,23.49,23.53,23.35,23.35,3.1024,72.724652
1663362000,2022-09-16 21:00:00,YFDAI/USDT,23.4,23.4,23.4,23.4,0.0284,0.66456
1663358400,2022-09-16 20:00:00,YFDAI/USDT,23.42,24.01,23.2,24.01,15.2157,356.813854
1663354800,2022-09-16 19:00:00,YFDAI/USDT,23.95,24.02,23.1,24.02,56.2869,1328.036344
1663351200,2022-09-16 18:00:00,YFDAI/USDT,23.83,24.09,23.83,24.09,17,406.968291
1663347600,2022-09-16 17:00:00,YFDAI/USDT,22.66,24.3,22.66,23.04,83.9834,2019.511589
1663344000,2022-09-16 16:00:00,YFDAI/USDT,23.08,23.53,22.58,23.07,163.8567,3823.768743
1663340400,2022-09-16 15:00:00,YFDAI/USDT,23.54,23.57,23.01,23.01,26.8911,621.746678
1663336800,2022-09-16 14:00:00,YFDAI/USDT,23.03,24.22,23.01,23.38,37.1812,866.032214
1663333200,2022-09-16 13:00:00,YFDAI/USDT,23.88,23.88,23.15,23.15,2.7982,66.634504
1663329600,2022-09-16 12:00:00,YFDAI/USDT,23.84,24.79,23.58,23.61,24.371,586.910772
1663326000,2022-09-16 11:00:00,YFDAI/USDT,23.39,23.9,23.39,23.9,1.6348,38.867405
1663322400,2022-09-16 10:00:00,YFDAI/USDT,23.33,23.87,23.33,23.87,4.1425,98.576517
1663318800,2022-09-16 09:00:00,YFDAI/USDT,23.68,23.68,23.23,23.48,1.2709,29.947407
1663315200,2022-09-16 08:00:00,YFDAI/USDT,23.16,23.48,23.16,23.48,0.1874,4.381576
1663311600,2022-09-16 07:00:00,YFDAI/USDT,23.17,23.17,23.17,23.17,0.0451,1.044967
1663308000,2022-09-16 06:00:00,YFDAI/USDT,23.66,23.66,23.17,23.17,1.1141,26.317017
1663304400,2022-09-16 05:00:00,YFDAI/USDT,23.56,23.78,23.56,23.78,6.8704,162.324943
1663300800,2022-09-16 04:00:00,YFDAI/USDT,23.67,24.01,23.07,23.11,21.0725,502.020494
1663297200,2022-09-16 03:00:00,YFDAI/USDT,23.86,24,23.09,23.74,53.5059,1252.427587
1663293600,2022-09-16 02:00:00,YFDAI/USDT,23.51,24.18,23.23,23.23,22.6626,531.307728
1663290000,2022-09-16 01:00:00,YFDAI/USDT,23.6,23.6,23.42,23.42,2.9918,70.081213
1663286400,2022-09-16 00:00:00,YFDAI/USDT,23.89,23.97,23.46,23.46,2.1617,51.609787
1663282800,2022-09-15 23:00:00,YFDAI/USDT,23.84,23.84,23.29,23.29,2.6079,61.622908
1663279200,2022-09-15 22:00:00,YFDAI/USDT,24.4,24.4,23.28,23.29,16.2887,385.500669
1663275600,2022-09-15 21:00:00,YFDAI/USDT,23.89,24.72,23.85,24.4,29.0403,709.597112
1663272000,2022-09-15 20:00:00,YFDAI/USDT,23.6,23.94,23.42,23.94,1.5508,36.842732
1663268400,2022-09-15 19:00:00,YFDAI/USDT,23.86,24.67,23.6,23.6,37.2986,895.847878
1663264800,2022-09-15 18:00:00,YFDAI/USDT,24.16,24.16,23.99,23.99,0.2938,7.049962
1663261200,2022-09-15 17:00:00,YFDAI/USDT,23.97,23.97,23.55,23.55,10.9644,261.464291
1663257600,2022-09-15 16:00:00,YFDAI/USDT,23.93,24.71,23.7,23.9,72.7596,1758.578673
1663254000,2022-09-15 15:00:00,YFDAI/USDT,23.74,23.74,23.74,23.74,0.0745,1.76863
1663250400,2022-09-15 14:00:00,YFDAI/USDT,24,24,23.74,23.74,6.9001,164.888292
1663246800,2022-09-15 13:00:00,YFDAI/USDT,24.12,24.13,24.1,24.1,0.7449,17.960734
1663243200,2022-09-15 12:00:00,YFDAI/USDT,24.11,24.21,23.91,23.91,4.9687,119.720885
1663239600,2022-09-15 11:00:00,YFDAI/USDT,23.74,23.74,23.74,23.74,0,0
1663236000,2022-09-15 10:00:00,YFDAI/USDT,23.91,23.91,23.74,23.74,0.9771,23.334935
1663232400,2022-09-15 09:00:00,YFDAI/USDT,23.75,24.2,23.74,23.91,2.017,48.376911
1663228800,2022-09-15 08:00:00,YFDAI/USDT,23.81,24.03,23.71,24.01,4.3934,105.090116
1663225200,2022-09-15 07:00:00,YFDAI/USDT,24.2,24.21,23.8,23.8,2.4334,58.320836
1663221600,2022-09-15 06:00:00,YFDAI/USDT,23.81,24.23,23.6,23.66,5.3421,128.371588
1663218000,2022-09-15 05:00:00,YFDAI/USDT,23.82,23.82,23.81,23.82,5.703,135.836805
1663214400,2022-09-15 04:00:00,YFDAI/USDT,23.93,23.93,23.51,23.82,9.5566,227.999158
1663210800,2022-09-15 03:00:00,YFDAI/USDT,24,24.23,23.4,23.4,65.8084,1558.972488
1663207200,2022-09-15 02:00:00,YFDAI/USDT,24.24,24.25,24,24,10.5406,253.656996
1663203600,2022-09-15 01:00:00,YFDAI/USDT,24.14,24.25,24.14,24.25,4.5301,109.53707
1663200000,2022-09-15 00:00:00,YFDAI/USDT,24.1,24.1,24,24,1.7748,42.6041
1663196400,2022-09-14 23:00:00,YFDAI/USDT,24.11,24.12,24.1,24.1,18.9398,456.472843
1663192800,2022-09-14 22:00:00,YFDAI/USDT,24.24,24.25,24.01,24.15,6.1235,148.427314
1663189200,2022-09-14 21:00:00,YFDAI/USDT,24.53,24.54,24,24,31.0188,746.265852
1663185600,2022-09-14 20:00:00,YFDAI/USDT,24.09,24.25,24.09,24.25,7.73,186.58402
1663182000,2022-09-14 19:00:00,YFDAI/USDT,24.09,24.6,24.08,24.55,4.7247,115.102
1663178400,2022-09-14 18:00:00,YFDAI/USDT,24.6,24.7,24.06,24.08,42.5583,1037.878433
1663174800,2022-09-14 17:00:00,YFDAI/USDT,24.51,25,24.51,24.6,28.7079,715.604705
1663171200,2022-09-14 16:00:00,YFDAI/USDT,24.33,24.98,24.17,24.75,105.7739,2635.688775
1663167600,2022-09-14 15:00:00,YFDAI/USDT,24.74,24.75,24.35,24.74,7.4766,184.967541
