https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NULS,Volume BTC
1663459200,2022-09-18 00:00:00,NULS/BTC,0.00001021,0.00001021,0.00001021,0.00001021,0.167064,0.00000170572344
1663372800,2022-09-17 00:00:00,NULS/BTC,0.00001014,0.0000108,0.00001014,0.0000102,79313.753981,0.81363694777886
1663286400,2022-09-16 00:00:00,NULS/BTC,0.00001005,0.00001018,0.00000999,0.00001014,79664.332077,0.80755535536653
1663200000,2022-09-15 00:00:00,NULS/BTC,0.00001039,0.00001042,0.00001003,0.00001006,10711.044942,0.1087559732783
1663113600,2022-09-14 00:00:00,NULS/BTC,0.00001033,0.00001111,0.00000989,0.00001033,97054.641516,1.01987117980313
1663027200,2022-09-13 00:00:00,NULS/BTC,0.00000947,0.00001043,0.0000094,0.00001036,18132.431946,0.17849351049023
1662940800,2022-09-12 00:00:00,NULS/BTC,0.00001036,0.00001082,0.00000948,0.00000951,26387.973633,0.26665272686951
1662854400,2022-09-11 00:00:00,NULS/BTC,0.00000963,0.00001076,0.00000963,0.00001036,60625.000605,0.62480618136681
1662768000,2022-09-10 00:00:00,NULS/BTC,0.00000994,0.00000999,0.00000963,0.00000968,8482.881049,0.0831008748776
1662681600,2022-09-09 00:00:00,NULS/BTC,0.00001049,0.00001054,0.00000953,0.00000987,37032.635349,0.35865975419145
1662595200,2022-09-08 00:00:00,NULS/BTC,0.00001047,0.00001064,0.00001024,0.00001049,39258.929774,0.40890776911788
1662508800,2022-09-07 00:00:00,NULS/BTC,0.00001042,0.00001089,0.0000103,0.00001047,13361.069793,0.14151335403469
1662422400,2022-09-06 00:00:00,NULS/BTC,0.00001051,0.0000106,0.00001034,0.00001036,17478.242397,0.18298884913928
1662336000,2022-09-05 00:00:00,NULS/BTC,0.00001034,0.0000108,0.00001029,0.00001053,37040.571225,0.38583161272416
1662249600,2022-09-04 00:00:00,NULS/BTC,0.00001034,0.00001042,0.0000102,0.00001034,2022.713848,0.0208373432146
1662163200,2022-09-03 00:00:00,NULS/BTC,0.00001016,0.00001052,0.00001016,0.00001027,6586.050943,0.0680002681334
1662076800,2022-09-02 00:00:00,NULS/BTC,0.00001009,0.00001041,0.00001003,0.00001023,5128.436227,0.05240074601232
1661990400,2022-09-01 00:00:00,NULS/BTC,0.00001024,0.00001024,0.00000994,0.0000101,6023.411362,0.06075334460663
1661904000,2022-08-31 00:00:00,NULS/BTC,0.00001029,0.00001038,0.00001014,0.0000103,8438.064333,0.08674048227701
1661817600,2022-08-30 00:00:00,NULS/BTC,0.00001026,0.00001036,0.00001012,0.0000102,7926.951165,0.08125844597279
1661731200,2022-08-29 00:00:00,NULS/BTC,0.00001015,0.00001029,0.00001004,0.00001023,12426.060604,0.12634297994203
1661644800,2022-08-28 00:00:00,NULS/BTC,0.00001016,0.00001024,0.00001007,0.00001014,2725.228666,0.02770041947325
1661558400,2022-08-27 00:00:00,NULS/BTC,0.00001012,0.00001054,0.00000981,0.00001018,92498.940554,0.94059706476259
