https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROSE,Volume USDT
1663372800,2022-09-17 00:00:00,ROSE/USDT,0.06106,0.06206,0.06105,0.06153,1029857.54590346,63425.1823869981532
1663286400,2022-09-16 00:00:00,ROSE/USDT,0.05912,0.0618,0.05835,0.06107,24243546.44291681,1460153.3769320146672
1663200000,2022-09-15 00:00:00,ROSE/USDT,0.06048,0.06148,0.05814,0.05916,28546435.03137097,1698456.9408777001389
1663113600,2022-09-14 00:00:00,ROSE/USDT,0.05944,0.06106,0.05821,0.06054,21027750.42474421,1258715.4664788480572
1663027200,2022-09-13 00:00:00,ROSE/USDT,0.06461,0.0655,0.05901,0.05949,49648490.11897982,3077137.6627171249006
1662940800,2022-09-12 00:00:00,ROSE/USDT,0.06517,0.06833,0.06295,0.06463,51145537.14095464,3351556.7713785983558
1662854400,2022-09-11 00:00:00,ROSE/USDT,0.06587,0.06789,0.06366,0.06522,39341628.39384644,2583505.3336932244305
1662768000,2022-09-10 00:00:00,ROSE/USDT,0.0697,0.06994,0.06484,0.06584,53895308.85436781,3601375.1409942043872
1662681600,2022-09-09 00:00:00,ROSE/USDT,0.06038,0.07018,0.06034,0.06971,71579069.21356088,4615168.7927507910476
1662595200,2022-09-08 00:00:00,ROSE/USDT,0.06016,0.0609,0.05866,0.06038,43050266.4367072,2581394.5800688803995
1662508800,2022-09-07 00:00:00,ROSE/USDT,0.05773,0.0614,0.05613,0.06018,46431978.34122991,2739277.3094580530788
1662422400,2022-09-06 00:00:00,ROSE/USDT,0.06404,0.06556,0.05756,0.05769,57641316.83096695,3546586.2447919071526
1662336000,2022-09-05 00:00:00,ROSE/USDT,0.06472,0.06551,0.06242,0.06398,38653149.13750788,2458552.3744139180356
1662249600,2022-09-04 00:00:00,ROSE/USDT,0.06278,0.06476,0.06208,0.06466,24396912.60768482,1555863.7073500363799
1662163200,2022-09-03 00:00:00,ROSE/USDT,0.06493,0.06598,0.06168,0.06279,21189020.6930141,1348879.087194834689
1662076800,2022-09-02 00:00:00,ROSE/USDT,0.06421,0.06697,0.06293,0.06493,42275705.77130332,2746706.4849590620886
1661990400,2022-09-01 00:00:00,ROSE/USDT,0.06215,0.06442,0.06031,0.06416,33533551.28588389,2081514.0102260319395
1661904000,2022-08-31 00:00:00,ROSE/USDT,0.06329,0.06594,0.06174,0.06215,29571936.16738351,1895930.1655429088146
1661817600,2022-08-30 00:00:00,ROSE/USDT,0.06644,0.06762,0.0615,0.06319,38937883.47188265,2515938.6963524016409
1661731200,2022-08-29 00:00:00,ROSE/USDT,0.06241,0.06673,0.06005,0.06648,42322315.05141532,2706282.7402654803761
1661644800,2022-08-28 00:00:00,ROSE/USDT,0.06443,0.06632,0.06208,0.06237,26598017.01945783,1716359.1587900865858
1661558400,2022-08-27 00:00:00,ROSE/USDT,0.06317,0.06609,0.06262,0.06443,34453117.12117683,2215524.8763209707832
1661472000,2022-08-26 00:00:00,ROSE/USDT,0.06971,0.07053,0.06231,0.06322,59159711.68649368,3943480.6072545762265
1661385600,2022-08-25 00:00:00,ROSE/USDT,0.07096,0.07342,0.06875,0.06972,43769030.32905547,3117830.8065564618551
1661299200,2022-08-24 00:00:00,ROSE/USDT,0.07302,0.0744,0.06953,0.07093,42660281.75399335,3084076.2924672404496
1661212800,2022-08-23 00:00:00,ROSE/USDT,0.06829,0.0737,0.06686,0.07298,56222571.23398871,3986651.2759536390093
1661126400,2022-08-22 00:00:00,ROSE/USDT,0.0685,0.06868,0.06353,0.06831,39866292.20491587,2646273.1867072203662
1661040000,2022-08-21 00:00:00,ROSE/USDT,0.06827,0.07089,0.06716,0.0685,35586147.57152134,2455976.796060461187
1660953600,2022-08-20 00:00:00,ROSE/USDT,0.07183,0.07364,0.06607,0.06825,65973188.13412299,4582175.6994209973482
1660867200,2022-08-19 00:00:00,ROSE/USDT,0.07685,0.07785,0.06811,0.07182,71968524.1571786,5261311.0716228884845
