https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USDT
1663459200,2022-09-18 00:00:00,MANA/USDT,0.75192,0.7528,0.74713,0.74907,35691.11149947,26741.0170941833102
1663372800,2022-09-17 00:00:00,MANA/USDT,0.74106,0.75407,0.73332,0.75177,1075260.46341251,798656.9897662483329
1663286400,2022-09-16 00:00:00,MANA/USDT,0.71993,0.74597,0.7103,0.74109,1538132.94047463,1123365.1926619222313
1663200000,2022-09-15 00:00:00,MANA/USDT,0.74406,0.7447,0.70831,0.7197,2262951.97855612,1643625.4014851314371
1663113600,2022-09-14 00:00:00,MANA/USDT,0.72969,0.74948,0.71846,0.74464,1917356.56144819,1409623.4433256775047
1663027200,2022-09-13 00:00:00,MANA/USDT,0.79465,0.80255,0.72753,0.73015,2373832.85830273,1819723.5457883550283
1662940800,2022-09-12 00:00:00,MANA/USDT,0.80393,0.82293,0.78269,0.79423,1426471.42559951,1147341.4932741146021
1662854400,2022-09-11 00:00:00,MANA/USDT,0.81457,0.82167,0.79033,0.80401,990358.85924452,798790.7921315587474
1662768000,2022-09-10 00:00:00,MANA/USDT,0.80576,0.83161,0.79888,0.81432,1463619.23101618,1193930.8392178148393
1662681600,2022-09-09 00:00:00,MANA/USDT,0.77384,0.82158,0.77245,0.80665,2111694.16397707,1692582.8082141664352
1662595200,2022-09-08 00:00:00,MANA/USDT,0.7642,0.77597,0.74842,0.77311,1629947.40435265,1244207.5793708362434
1662508800,2022-09-07 00:00:00,MANA/USDT,0.73705,0.77169,0.72143,0.76397,1504615.23363839,1121421.023746367876
1662422400,2022-09-06 00:00:00,MANA/USDT,0.78978,0.81403,0.7267,0.73625,2439482.15055049,1882255.8910193555939
1662336000,2022-09-05 00:00:00,MANA/USDT,0.8083,0.81425,0.77926,0.78946,1041034.083429,824398.138454369429
1662249600,2022-09-04 00:00:00,MANA/USDT,0.78859,0.8225,0.78182,0.8084,1610021.45974375,1290920.8756897491813
1662163200,2022-09-03 00:00:00,MANA/USDT,0.77548,0.78988,0.76226,0.78808,846044.58939634,656961.2251147023988
1662076800,2022-09-02 00:00:00,MANA/USDT,0.781,0.7996,0.76671,0.77557,1059417.72310794,827824.1471287521591
1661990400,2022-09-01 00:00:00,MANA/USDT,0.77184,0.78134,0.74901,0.77988,1384706.63492494,1060564.3594610636647
1661904000,2022-08-31 00:00:00,MANA/USDT,0.77308,0.79851,0.7682,0.77284,1281041.28458181,1004423.7559214855539
1661817600,2022-08-30 00:00:00,MANA/USDT,0.79637,0.80534,0.75133,0.77173,1692871.08482686,1321647.6784371439214
1661731200,2022-08-29 00:00:00,MANA/USDT,0.75064,0.80027,0.73774,0.7964,1687272.81632041,1298868.3217864706097
1661644800,2022-08-28 00:00:00,MANA/USDT,0.77752,0.79204,0.74549,0.7506,1374635.70448171,1063489.7050684740002
1661558400,2022-08-27 00:00:00,MANA/USDT,0.77686,0.78069,0.75514,0.77571,1601665.33945187,1234505.1293709514019
1661472000,2022-08-26 00:00:00,MANA/USDT,0.83754,0.8512,0.76437,0.777,2650855.77157708,2145923.5716173183478
1661385600,2022-08-25 00:00:00,MANA/USDT,0.83179,0.85357,0.82521,0.8387,891693.60433439,749929.0316418118789
1661299200,2022-08-24 00:00:00,MANA/USDT,0.83675,0.85714,0.8115,0.8318,1196011.39466351,998970.2171096746398
1661212800,2022-08-23 00:00:00,MANA/USDT,0.83164,0.83838,0.80381,0.83666,1115499.89172641,923439.2086587169889
1661126400,2022-08-22 00:00:00,MANA/USDT,0.85297,0.85428,0.80239,0.831,1637229.77126969,1343389.9050458544631
1661040000,2022-08-21 00:00:00,MANA/USDT,0.83225,0.86152,0.8254,0.85266,1602137.32007506,1353983.2665381857487
1660953600,2022-08-20 00:00:00,MANA/USDT,0.8425,0.86614,0.81143,0.83267,2055030.95406802,1726489.8978210525427
1660867200,2022-08-19 00:00:00,MANA/USDT,0.92412,0.92733,0.83,0.84158,3042138.57593363,2638008.2977381744454
1660780800,2022-08-18 00:00:00,MANA/USDT,0.96936,0.99193,0.9,0.92385,2428476.50482094,2322230.0090919624942
1660694400,2022-08-17 00:00:00,MANA/USDT,1.02781,1.05814,0.95994,0.96946,2309734.03016096,2310296.4978654755929
1660608000,2022-08-16 00:00:00,MANA/USDT,1.05235,1.06593,1.02233,1.02802,1458227.7247911,1517558.7458463532396
1660521600,2022-08-15 00:00:00,MANA/USDT,1.07123,1.11533,1.03419,1.05221,2979670.02834687,3186284.9338175393437
1660435200,2022-08-14 00:00:00,MANA/USDT,1.06227,1.12874,1.0519,1.07047,4150910.33039919,4519380.3015063916187
1660348800,2022-08-13 00:00:00,MANA/USDT,1.06891,1.0973,1.057,1.06028,1357491.49437549,1460678.2421185285928
1660262400,2022-08-12 00:00:00,MANA/USDT,1.05287,1.06942,1.02797,1.06848,1613303.54017231,1692797.0706622478327
1660176000,2022-08-11 00:00:00,MANA/USDT,1.07225,1.08833,1.04379,1.05251,2086565.69718751,2232725.6924158195986
1660089600,2022-08-10 00:00:00,MANA/USDT,1.01829,1.07621,0.99482,1.07306,2474615.29600516,2592233.6144404371858
1660003200,2022-08-09 00:00:00,MANA/USDT,1.08481,1.10604,0.99656,1.01827,3102983.88742881,3231132.0044099657156
1659916800,2022-08-08 00:00:00,MANA/USDT,1.06032,1.1183,1.05728,1.08478,3462495.05200689,3786343.3002462146007
