https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XED,Volume USDT
1663459200,2022-09-18 00:00:00,XED/USDT,0.06213,0.06229,0.06136,0.06142,40805.0231,2527.728058085
1663372800,2022-09-17 00:00:00,XED/USDT,0.06036,0.0629,0.0602,0.0624,1978104.6162,120645.435422465
1663286400,2022-09-16 00:00:00,XED/USDT,0.06159,0.06289,0.05914,0.0605,2054753.0588,125688.083364019
1663200000,2022-09-15 00:00:00,XED/USDT,0.06424,0.06443,0.0604,0.06159,1874032.8061,117359.493714863
1663113600,2022-09-14 00:00:00,XED/USDT,0.06426,0.0656,0.06202,0.06397,1827225.8576,116698.200988901
1663027200,2022-09-13 00:00:00,XED/USDT,0.06727,0.06889,0.06254,0.06375,1721364.0673,113322.349837014
1662940800,2022-09-12 00:00:00,XED/USDT,0.06792,0.0691,0.06562,0.06688,1892239.1978,127624.742790696
1662854400,2022-09-11 00:00:00,XED/USDT,0.06961,0.0707,0.06674,0.06763,2195213.9718,150440.967915529
1662768000,2022-09-10 00:00:00,XED/USDT,0.07199,0.07356,0.06879,0.06962,2534812.6889,179147.379480908
1662681600,2022-09-09 00:00:00,XED/USDT,0.06462,0.07243,0.0632,0.07194,2004198.2584,138486.160976447
1662595200,2022-09-08 00:00:00,XED/USDT,0.06609,0.06845,0.06371,0.0646,1646400.24,107166.777202845
1662508800,2022-09-07 00:00:00,XED/USDT,0.06511,0.06688,0.06261,0.06591,2067074.7913,132152.454463673
1662422400,2022-09-06 00:00:00,XED/USDT,0.06668,0.07039,0.065,0.06528,1010954.8859,67873.385609333
1662336000,2022-09-05 00:00:00,XED/USDT,0.06725,0.0679,0.0644,0.06671,1650084.9684,109014.083861782
1662249600,2022-09-04 00:00:00,XED/USDT,0.06817,0.0703,0.06479,0.06725,1201776.7921,80924.701265933
1662163200,2022-09-03 00:00:00,XED/USDT,0.06701,0.06979,0.0656,0.0675,1959652.6192,131896.155324599
1662076800,2022-09-02 00:00:00,XED/USDT,0.06722,0.06871,0.06623,0.06675,1783185.3104,119542.174711312
1661990400,2022-09-01 00:00:00,XED/USDT,0.0672,0.0698,0.06601,0.06727,2081142.8155,139398.284712495
1661904000,2022-08-31 00:00:00,XED/USDT,0.06753,0.07189,0.0661,0.06715,1808121.2974,122586.652164067
1661817600,2022-08-30 00:00:00,XED/USDT,0.07133,0.07181,0.06571,0.06756,2246645.7034,154148.509589291
1661731200,2022-08-29 00:00:00,XED/USDT,0.06961,0.0755,0.06747,0.07074,1765839.9599,123533.84002046
1661644800,2022-08-28 00:00:00,XED/USDT,0.06959,0.07219,0.06845,0.06934,1594044.5294,111095.428244086
1661558400,2022-08-27 00:00:00,XED/USDT,0.07221,0.0742,0.06776,0.0696,1585172.6654,111275.047230408
1661472000,2022-08-26 00:00:00,XED/USDT,0.08338,0.08839,0.07177,0.07302,2021060.4867,165347.934334358
1661385600,2022-08-25 00:00:00,XED/USDT,0.07036,0.08982,0.06996,0.08338,3296241.7376,251881.85251629
1661299200,2022-08-24 00:00:00,XED/USDT,0.07064,0.07112,0.06996,0.07034,1206320.155,84860.717566071
1661212800,2022-08-23 00:00:00,XED/USDT,0.06726,0.0713,0.06611,0.07063,898543.3726,61377.707382378
1661126400,2022-08-22 00:00:00,XED/USDT,0.06841,0.069,0.0659,0.06685,1466894.021,98529.920297911
1661040000,2022-08-21 00:00:00,XED/USDT,0.06691,0.06912,0.06683,0.06841,1742589.7394,118506.316558675
1660953600,2022-08-20 00:00:00,XED/USDT,0.06862,0.06933,0.0657,0.06699,1736405.9094,117892.730790081
1660867200,2022-08-19 00:00:00,XED/USDT,0.07713,0.07738,0.06844,0.06894,1613677.9264,118127.899518716
1660780800,2022-08-18 00:00:00,XED/USDT,0.07961,0.08,0.07696,0.07719,1498701.7594,117582.156799083
1660694400,2022-08-17 00:00:00,XED/USDT,0.08095,0.08589,0.07891,0.07953,1407025.2755,114126.895149044
