https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BSW,Volume USDT
1663459200,2022-09-18 00:00:00,BSW/USDT,0.302,0.302,0.3008,0.3009,27.6149,8.3230936
1663372800,2022-09-17 00:00:00,BSW/USDT,0.2948,0.3063,0.2935,0.3031,19220.5672,5754.00491698
1663286400,2022-09-16 00:00:00,BSW/USDT,0.293,0.309,0.291,0.2942,14946.0493,4428.99952383
1663200000,2022-09-15 00:00:00,BSW/USDT,0.2986,0.299,0.2899,0.2954,19029.0571,5612.25936871
1663113600,2022-09-14 00:00:00,BSW/USDT,0.296,0.3034,0.2959,0.2984,92442.6618,27651.16465959
1663027200,2022-09-13 00:00:00,BSW/USDT,0.3234,0.3243,0.2938,0.296,52455.1597,16248.99219725
1662940800,2022-09-12 00:00:00,BSW/USDT,0.3085,0.3496,0.3064,0.3229,211849.517,68905.43714976
1662854400,2022-09-11 00:00:00,BSW/USDT,0.3115,0.3139,0.3055,0.3082,52355.7778,16130.22657596
1662768000,2022-09-10 00:00:00,BSW/USDT,0.3139,0.3196,0.3077,0.3104,191895.972,60009.10834911
1662681600,2022-09-09 00:00:00,BSW/USDT,0.2995,0.3146,0.2988,0.3118,46384.6104,14168.75683602
1662595200,2022-09-08 00:00:00,BSW/USDT,0.3,0.3047,0.2948,0.2988,67862.1167,20210.64811743
1662508800,2022-09-07 00:00:00,BSW/USDT,0.2892,0.3016,0.2856,0.2994,57733.6138,16983.92864598
1662422400,2022-09-06 00:00:00,BSW/USDT,0.3105,0.3167,0.2891,0.2894,30335.0648,9159.17129332
1662336000,2022-09-05 00:00:00,BSW/USDT,0.2939,0.3479,0.2896,0.31,158038.189,49366.43569496
1662249600,2022-09-04 00:00:00,BSW/USDT,0.2917,0.2975,0.29,0.2952,21058.0682,6159.11062199
1662163200,2022-09-03 00:00:00,BSW/USDT,0.2914,0.3085,0.29,0.292,25794.038,7616.31854272
1662076800,2022-09-02 00:00:00,BSW/USDT,0.2955,0.3053,0.2898,0.2908,12613.7081,3728.33756658
1661990400,2022-09-01 00:00:00,BSW/USDT,0.2909,0.3,0.2849,0.2954,22199.0792,6425.33607458
1661904000,2022-08-31 00:00:00,BSW/USDT,0.2961,0.302,0.2884,0.2895,15340.045,4536.13863749
1661817600,2022-08-30 00:00:00,BSW/USDT,0.3026,0.3154,0.291,0.2947,93892.9964,27724.11393093
1661731200,2022-08-29 00:00:00,BSW/USDT,0.296,0.3124,0.2938,0.3048,34733.5332,10456.47174557
1661644800,2022-08-28 00:00:00,BSW/USDT,0.3004,0.304,0.2944,0.296,12033.2172,3609.52522024
1661558400,2022-08-27 00:00:00,BSW/USDT,0.3009,0.3204,0.298,0.3008,33000.4564,10167.75283223
1661472000,2022-08-26 00:00:00,BSW/USDT,0.3247,0.3247,0.3009,0.3018,62509.7611,19666.57561033
1661385600,2022-08-25 00:00:00,BSW/USDT,0.3246,0.3407,0.2914,0.3247,105371.2719,34302.23115749
1661299200,2022-08-24 00:00:00,BSW/USDT,0.3299,0.3387,0.3209,0.3246,37531.0796,12234.33873566
1661212800,2022-08-23 00:00:00,BSW/USDT,0.3259,0.332,0.32,0.3299,9713.3232,3165.85759883
1661126400,2022-08-22 00:00:00,BSW/USDT,0.3384,0.357,0.3122,0.3265,67324.2864,22054.72578128
1661040000,2022-08-21 00:00:00,BSW/USDT,0.3286,0.3444,0.3241,0.3386,32543.6436,10865.81581588
1660953600,2022-08-20 00:00:00,BSW/USDT,0.314,0.3378,0.314,0.3282,136294.2476,45395.0085691
1660867200,2022-08-19 00:00:00,BSW/USDT,0.3405,0.342,0.3113,0.3139,129598.0039,42697.13207412
1660780800,2022-08-18 00:00:00,BSW/USDT,0.3531,0.363,0.34,0.3402,34151.7671,11895.17334795
1660694400,2022-08-17 00:00:00,BSW/USDT,0.364,0.3839,0.3493,0.3525,153137.8581,55425.56901751
1660608000,2022-08-16 00:00:00,BSW/USDT,0.3647,0.3751,0.3566,0.3623,88497.4908,32238.13587204
1660521600,2022-08-15 00:00:00,BSW/USDT,0.3599,0.38,0.355,0.3631,59298.6881,21619.64461531
1660435200,2022-08-14 00:00:00,BSW/USDT,0.3674,0.3727,0.3576,0.3581,86030.8074,31340.70220555
1660348800,2022-08-13 00:00:00,BSW/USDT,0.3714,0.384,0.3644,0.3666,116074.4571,42950.59159189
1660262400,2022-08-12 00:00:00,BSW/USDT,0.3665,0.3795,0.3624,0.3714,67637.8201,24712.39213771
1660176000,2022-08-11 00:00:00,BSW/USDT,0.3707,0.3839,0.3665,0.368,46893.4917,17456.97186587
1660089600,2022-08-10 00:00:00,BSW/USDT,0.3592,0.3799,0.3503,0.3694,52632.5607,19275.80313903
1660003200,2022-08-09 00:00:00,BSW/USDT,0.3729,0.3742,0.3514,0.3607,45947.019,16612.46440576
1659916800,2022-08-08 00:00:00,BSW/USDT,0.3683,0.3854,0.3678,0.373,67532.4816,25304.11350084
1659830400,2022-08-07 00:00:00,BSW/USDT,0.3722,0.3734,0.3578,0.3698,49106.3926,17899.03919054
1659744000,2022-08-06 00:00:00,BSW/USDT,0.3721,0.3809,0.3667,0.3723,57604.3248,21386.1893974
1659657600,2022-08-05 00:00:00,BSW/USDT,0.3643,0.3841,0.3575,0.3721,180982.7049,66880.30949926
1659571200,2022-08-04 00:00:00,BSW/USDT,0.356,0.3699,0.3493,0.3643,75264.7025,27003.54837212
1659484800,2022-08-03 00:00:00,BSW/USDT,0.3439,0.3749,0.3366,0.356,118152.3103,42553.70675795
1659398400,2022-08-02 00:00:00,BSW/USDT,0.3457,0.3596,0.3369,0.3439,23239.6785,8107.11623741
1659312000,2022-08-01 00:00:00,BSW/USDT,0.3513,0.3845,0.33,0.3468,117721.6232,41266.00994373
1659225600,2022-07-31 00:00:00,BSW/USDT,0.3445,0.4213,0.3435,0.3513,95059.7524,34183.41575276
1659139200,2022-07-30 00:00:00,BSW/USDT,0.3529,0.384,0.3282,0.3437,71191.6897,25507.97750675
1659052800,2022-07-29 00:00:00,BSW/USDT,0.352,0.3658,0.3462,0.3529,60196.3146,21461.9487326
1658966400,2022-07-28 00:00:00,BSW/USDT,0.3366,0.3548,0.3318,0.3521,72457.9499,24756.96409125
1658880000,2022-07-27 00:00:00,BSW/USDT,0.3196,0.3497,0.2888,0.3366,98846.368,32151.47651997
1658793600,2022-07-26 00:00:00,BSW/USDT,0.3155,0.3224,0.31,0.3196,40834.6621,12817.88173947
1658707200,2022-07-25 00:00:00,BSW/USDT,0.3399,0.3438,0.2979,0.3169,80095.2757,25781.33297485
1658620800,2022-07-24 00:00:00,BSW/USDT,0.3377,0.3587,0.3318,0.3413,41211.0846,14134.57364059
1658534400,2022-07-23 00:00:00,BSW/USDT,0.3435,0.352,0.3275,0.3369,34992.524,11903.54456737
1658448000,2022-07-22 00:00:00,BSW/USDT,0.3627,0.3766,0.3402,0.3435,38082.588,13759.21855462
1658361600,2022-07-21 00:00:00,BSW/USDT,0.3774,0.42,0.3493,0.362,180588.3112,67834.81496094
1658275200,2022-07-20 00:00:00,BSW/USDT,0.34,0.4633,0.335,0.3774,429321.6002311,169560.22735998966
1658188800,2022-07-19 00:00:00,BSW/USDT,0.3302,0.3529,0.3176,0.3398,94056.71404282,31484.163310836375
1658102400,2022-07-18 00:00:00,BSW/USDT,0.3093,0.3323,0.3093,0.3322,79391.57195418,25645.703932133757
1658016000,2022-07-17 00:00:00,BSW/USDT,0.3147,0.3249,0.3077,0.3094,37365.41970508,11704.873454694989
1657929600,2022-07-16 00:00:00,BSW/USDT,0.3125,0.3178,0.2884,0.314,65734.95145685,20245.68587776148
1657843200,2022-07-15 00:00:00,BSW/USDT,0.3107,0.3179,0.3062,0.3123,47570.54169904,14815.717633007406
1657756800,2022-07-14 00:00:00,BSW/USDT,0.3046,0.3149,0.2948,0.3106,28188.98188054,8531.603638121806
