https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZIL
1663545600000,2022-09-19 00:00:00,ZIL/BTC,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.000419964488136,256.0759074
1663534800000,2022-09-18 21:00:00,ZIL/BTC,1.64e-06,1.64e-06,1.6e-06,1.64e-06,0.17829200540469958,108714.63744189
1663520400000,2022-09-18 17:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,7.01077989728e-05,40.76034824
1663516800000,2022-09-18 16:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.021569354218979996,12613.657437999998
1663513200000,2022-09-18 15:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.02381572780029,13927.326199
1663509600000,2022-09-18 14:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.04877884897083,28525.642673000002
1663498800000,2022-09-18 11:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.71e-06,1.71e-06,0.023152075472355302,13539.225422430001
1663495200000,2022-09-18 10:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.01793750618529,10489.769699
1663480800000,2022-09-18 06:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.0588637860301536,34223.13141288
1663470000000,2022-09-18 03:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.0050519498204008,2937.18012814
1663444800000,2022-09-17 20:00:00,ZIL/BTC,1.73e-06,1.73e-06,1.73e-06,1.73e-06,0.0246693732821098,14259.753342259999
1663441200000,2022-09-17 19:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.14321859885968,83266.627244
1663419600000,2022-09-17 13:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.02281096939548,13262.191509
1663416000000,2022-09-17 12:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.053157514042830006,30905.53142025
1663408800000,2022-09-17 10:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0967657656028662,56588.16701922
1663405200000,2022-09-17 09:00:00,ZIL/BTC,1.73e-06,1.73e-06,1.73e-06,1.73e-06,0.00027334,158.0
1663394400000,2022-09-17 06:00:00,ZIL/BTC,1.71e-06,1.72e-06,1.71e-06,1.72e-06,0.0290882221452812,16911.75706121
1663390800000,2022-09-17 05:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.1573149098947617,91997.02333027
1663380000000,2022-09-17 02:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0032045619762531,1874.01285161
1663362000000,2022-09-16 21:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.015287037218369999,8939.787847
1663358400000,2022-09-16 20:00:00,ZIL/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.09190006029378,53742.725318000004
1663351200000,2022-09-16 18:00:00,ZIL/BTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,7.503480082500001e-05,43.12344875
1663344000000,2022-09-16 16:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.00013150260516000002,76.455003
1663336800000,2022-09-16 14:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.72e-06,1.72e-06,0.0253228999543688,14722.61625254
