https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BSVBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BSVBEAR/USDT,2.22e-06,2.23e-06,2.11e-06,2.14e-06,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,BSVBEAR/USDT,1.84e-06,2.24e-06,1.83e-06,2.22e-06,9469369.369369369,21.022
1663372800000.0,2022-09-17 00:00:00,BSVBEAR/USDT,1.89e-06,1.91e-06,1.81e-06,1.84e-06,500000.00000000006,0.92
1663286400000.0,2022-09-16 00:00:00,BSVBEAR/USDT,1.92e-06,1.98e-06,1.84e-06,1.89e-06,2526455.0264550266,4.775
1663200000000.0,2022-09-15 00:00:00,BSVBEAR/USDT,1.86e-06,1.99e-06,1.68e-06,1.92e-06,68346875.0,131.226
1663113600000.0,2022-09-14 00:00:00,BSVBEAR/USDT,1.98e-06,2.01e-06,1.81e-06,1.86e-06,22253225.80645161,41.391
1663027200000.0,2022-09-13 00:00:00,BSVBEAR/USDT,1.66e-06,1.99e-06,1.63e-06,1.98e-06,54219191.91919192,107.354
1662940800000.0,2022-09-12 00:00:00,BSVBEAR/USDT,1.68e-06,1.74e-06,1.56e-06,1.66e-06,1391566.265060241,2.31
1662854400000.0,2022-09-11 00:00:00,BSVBEAR/USDT,1.65e-06,1.75e-06,1.63e-06,1.68e-06,155426190.47619048,261.116
1662768000000.0,2022-09-10 00:00:00,BSVBEAR/USDT,1.63e-06,1.71e-06,1.58e-06,1.65e-06,3665454.5454545454,6.048
1662681600000.0,2022-09-09 00:00:00,BSVBEAR/USDT,1.87e-06,1.87e-06,1.55e-06,1.63e-06,52873619.63190184,86.184
1662595200000.0,2022-09-08 00:00:00,BSVBEAR/USDT,2.06e-06,2.23e-06,1.81e-06,1.87e-06,105752406.41711229,197.757
1662508800000.0,2022-09-07 00:00:00,BSVBEAR/USDT,2.38e-06,2.42e-06,2.06e-06,2.06e-06,6415533.980582523,13.216
1662422400000.0,2022-09-06 00:00:00,BSVBEAR/USDT,1.98e-06,2.41e-06,1.89e-06,2.38e-06,357078571.4285714,849.847
1662336000000.0,2022-09-05 00:00:00,BSVBEAR/USDT,2.02e-06,2.17e-06,1.95e-06,1.98e-06,1553030.303030303,3.075
1662249600000.0,2022-09-04 00:00:00,BSVBEAR/USDT,2.08e-06,2.14e-06,2.02e-06,2.02e-06,827722.7722772276,1.672
1662163200000.0,2022-09-03 00:00:00,BSVBEAR/USDT,1.94e-06,2.12e-06,1.92e-06,2.08e-06,4500000.0,9.36
1662076800000.0,2022-09-02 00:00:00,BSVBEAR/USDT,2.12e-06,2.13e-06,1.87e-06,1.94e-06,13965463.917525772,27.093
1661990400000.0,2022-09-01 00:00:00,BSVBEAR/USDT,2.17e-06,2.34e-06,2.12e-06,2.12e-06,10036792.452830188,21.278
1661904000000.0,2022-08-31 00:00:00,BSVBEAR/USDT,2.23e-06,2.25e-06,2.07e-06,2.17e-06,1493087.5576036868,3.24
1661817600000.0,2022-08-30 00:00:00,BSVBEAR/USDT,2.01e-06,2.26e-06,1.96e-06,2.23e-06,1459641.2556053812,3.255
1661731200000.0,2022-08-29 00:00:00,BSVBEAR/USDT,2.27e-06,2.34e-06,1.98e-06,2.01e-06,2243781.0945273633,4.51
1661644800000.0,2022-08-28 00:00:00,BSVBEAR/USDT,2.24e-06,2.28e-06,2.01e-06,2.27e-06,248555947.1365639,564.222
1661558400000.0,2022-08-27 00:00:00,BSVBEAR/USDT,2.29e-06,2.38e-06,2.19e-06,2.24e-06,13956696.42857143,31.263
1661472000000.0,2022-08-26 00:00:00,BSVBEAR/USDT,1.94e-06,2.32e-06,1.94e-06,2.29e-06,4207860.262008733,9.636
1661385600000.0,2022-08-25 00:00:00,BSVBEAR/USDT,1.91e-06,2.02e-06,1.83e-06,1.94e-06,143491237.11340204,278.373
1661299200000.0,2022-08-24 00:00:00,BSVBEAR/USDT,1.92e-06,1.99e-06,1.73e-06,1.91e-06,7072774.869109948,13.509
1661212800000.0,2022-08-23 00:00:00,BSVBEAR/USDT,2.02e-06,2.13e-06,1.78e-06,1.92e-06,1818750.0000000002,3.492
1661126400000.0,2022-08-22 00:00:00,BSVBEAR/USDT,2.06e-06,2.31e-06,2e-06,2.02e-06,301485.14851485146,0.609
1661040000000.0,2022-08-21 00:00:00,BSVBEAR/USDT,2.34e-06,2.34e-06,2.03e-06,2.06e-06,2264077.6699029123,4.664
1660953600000.0,2022-08-20 00:00:00,BSVBEAR/USDT,2.59e-06,2.63e-06,2.33e-06,2.34e-06,510683.7606837607,1.195
1660867200000.0,2022-08-19 00:00:00,BSVBEAR/USDT,2.02e-06,2.61e-06,2.01e-06,2.59e-06,19524710.424710423,50.569
1660780800000.0,2022-08-18 00:00:00,BSVBEAR/USDT,1.78e-06,2.03e-06,1.69e-06,2.02e-06,1803465.3465346533,3.643
1660694400000.0,2022-08-17 00:00:00,BSVBEAR/USDT,1.65e-06,1.81e-06,1.46e-06,1.78e-06,91420786.51685394,162.729
1660608000000.0,2022-08-16 00:00:00,BSVBEAR/USDT,1.66e-06,1.73e-06,1.57e-06,1.65e-06,3240000.0,5.346
1660521600000.0,2022-08-15 00:00:00,BSVBEAR/USDT,1.55e-06,1.69e-06,1.44e-06,1.66e-06,18299397.590361446,30.377
1660435200000.0,2022-08-14 00:00:00,BSVBEAR/USDT,1.49e-06,1.61e-06,1.44e-06,1.55e-06,159166451.61290324,246.708
1660348800000.0,2022-08-13 00:00:00,BSVBEAR/USDT,1.5e-06,1.53e-06,1.45e-06,1.49e-06,139385906.04026845,207.685
1660262400000.0,2022-08-12 00:00:00,BSVBEAR/USDT,1.6e-06,1.62e-06,1.49e-06,1.5e-06,102666.66666666666,0.154
1660176000000.0,2022-08-11 00:00:00,BSVBEAR/USDT,1.6e-06,1.62e-06,1.43e-06,1.6e-06,18769375.0,30.031
1660089600000.0,2022-08-10 00:00:00,BSVBEAR/USDT,1.84e-06,1.86e-06,1.57e-06,1.6e-06,43606250.0,69.77
1660003200000.0,2022-08-09 00:00:00,BSVBEAR/USDT,1.63e-06,1.88e-06,1.6e-06,1.84e-06,8186956.521739131,15.064
1659916800000.0,2022-08-08 00:00:00,BSVBEAR/USDT,1.69e-06,1.7e-06,1.52e-06,1.63e-06,109654601.22699386,178.737
1659830400000.0,2022-08-07 00:00:00,BSVBEAR/USDT,1.71e-06,1.76e-06,1.61e-06,1.69e-06,0.0,0.0
1659744000000.0,2022-08-06 00:00:00,BSVBEAR/USDT,1.67e-06,1.76e-06,1.62e-06,1.71e-06,2569590.643274854,4.394
