https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSD,Volume USDT
1663455600,2022-09-17 23:00:00,CUSD/USDT,0.9971,0.9971,0.9961,0.9961,2612.46,2602.55415276
1663452000,2022-09-17 22:00:00,CUSD/USDT,0.9962,0.9962,0.9962,0.9962,0,0
1663448400,2022-09-17 21:00:00,CUSD/USDT,0.997,0.9972,0.9962,0.9962,1925.2922,1919.0966701
1663444800,2022-09-17 20:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,0.1287,0.1283139
1663441200,2022-09-17 19:00:00,CUSD/USDT,0.997,0.997,0.996,0.996,1827.8954,1821.6787055
1663437600,2022-09-17 18:00:00,CUSD/USDT,0.9969,0.9969,0.9969,0.9969,1259.7459,1255.84068771
1663434000,2022-09-17 17:00:00,CUSD/USDT,0.9969,0.997,0.9969,0.997,993.488,990.50751876
1663430400,2022-09-17 16:00:00,CUSD/USDT,0.997,0.997,0.996,0.9968,1075.4195,1071.34697858
1663426800,2022-09-17 15:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,57.5727,57.3999819
1663423200,2022-09-17 14:00:00,CUSD/USDT,0.9969,0.9969,0.9969,0.9969,56.3062,56.13165078
1663419600,2022-09-17 13:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,102.0225,101.7164325
1663416000,2022-09-17 12:00:00,CUSD/USDT,0.9969,0.997,0.9969,0.997,302.2708,301.34879535
1663412400,2022-09-17 11:00:00,CUSD/USDT,0.997,0.997,0.9969,0.9969,57.7083,57.52952855
1663408800,2022-09-17 10:00:00,CUSD/USDT,0.9958,0.9969,0.9945,0.9946,7290.4192,7254.26251546
1663405200,2022-09-17 09:00:00,CUSD/USDT,0.997,0.9973,0.996,0.996,17569.9534,17513.38524909
1663401600,2022-09-17 08:00:00,CUSD/USDT,0.9968,0.9971,0.9963,0.9969,1691.5882,1686.27276117
1663398000,2022-09-17 07:00:00,CUSD/USDT,0.9972,0.9972,0.9961,0.9963,10619.8079,10585.26854034
1663394400,2022-09-17 06:00:00,CUSD/USDT,0.9971,0.9972,0.997,0.9972,1416.6152,1412.58660644
1663390800,2022-09-17 05:00:00,CUSD/USDT,0.9971,0.9971,0.9971,0.9971,794.5621,792.25786991
1663387200,2022-09-17 04:00:00,CUSD/USDT,0.9971,0.9971,0.9969,0.997,540.0529,538.44536198
1663383600,2022-09-17 03:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,0.4611,0.4597167
1663380000,2022-09-17 02:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,0,0
1663376400,2022-09-17 01:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,88.3653,88.1002041
1663372800,2022-09-17 00:00:00,CUSD/USDT,0.997,0.9971,0.997,0.997,527.2298,525.65945736
1663369200,2022-09-16 23:00:00,CUSD/USDT,0.997,0.997,0.997,0.997,0.1489,0.1484533
1663365600,2022-09-16 22:00:00,CUSD/USDT,0.9968,0.9968,0.9968,0.9968,0,0
1663362000,2022-09-16 21:00:00,CUSD/USDT,0.9968,0.9968,0.9968,0.9968,0.1567,0.15619856
1663358400,2022-09-16 20:00:00,CUSD/USDT,0.9968,0.9971,0.9968,0.9971,44.5679,44.43860359
1663354800,2022-09-16 19:00:00,CUSD/USDT,0.9968,0.9968,0.9968,0.9968,0.1737,0.17314416
1663351200,2022-09-16 18:00:00,CUSD/USDT,0.9967,0.9967,0.9965,0.9965,99.9998,99.65017079
1663347600,2022-09-16 17:00:00,CUSD/USDT,0.9966,0.9971,0.9964,0.9971,39.3102,39.16915862
1663344000,2022-09-16 16:00:00,CUSD/USDT,0.9967,0.9967,0.995,0.995,4196.7711,4178.40498749
1663340400,2022-09-16 15:00:00,CUSD/USDT,0.9972,0.9973,0.9953,0.997,15566.3808,15513.08884827
1663336800,2022-09-16 14:00:00,CUSD/USDT,0.997,0.9974,0.9969,0.9972,1089.7432,1086.80879405
1663333200,2022-09-16 13:00:00,CUSD/USDT,0.9971,0.9971,0.9961,0.997,709.4622,706.90544261
1663329600,2022-09-16 12:00:00,CUSD/USDT,0.9972,0.9973,0.996,0.9973,2208.2271,2200.54481578
1663326000,2022-09-16 11:00:00,CUSD/USDT,0.9975,0.9975,0.9945,0.9945,17164.5452,17081.97333523
1663322400,2022-09-16 10:00:00,CUSD/USDT,0.9975,0.9975,0.9974,0.9975,3.8858,3.87584474
1663318800,2022-09-16 09:00:00,CUSD/USDT,0.9977,0.9977,0.9977,0.9977,0.7704,0.76862808
1663315200,2022-09-16 08:00:00,CUSD/USDT,0.9973,0.9973,0.9972,0.9972,27.8366,27.75878289
1663311600,2022-09-16 07:00:00,CUSD/USDT,0.9986,0.9986,0.9953,0.9953,6648.1845,6623.41457057
1663308000,2022-09-16 06:00:00,CUSD/USDT,0.9983,0.9986,0.9983,0.9986,499.5397,498.73854722
1663304400,2022-09-16 05:00:00,CUSD/USDT,0.9976,0.9983,0.9976,0.9983,1609.0949,1605.78041186
1663300800,2022-09-16 04:00:00,CUSD/USDT,0.9973,0.9973,0.9973,0.9973,520.4536,519.04837528
1663297200,2022-09-16 03:00:00,CUSD/USDT,0.9969,0.9969,0.9969,0.9969,0,0
1663293600,2022-09-16 02:00:00,CUSD/USDT,0.9971,0.9971,0.9961,0.9969,538.5842,536.68761627
1663290000,2022-09-16 01:00:00,CUSD/USDT,0.9961,0.9961,0.9961,0.9961,0,0
1663286400,2022-09-16 00:00:00,CUSD/USDT,0.9971,0.9971,0.996,0.9961,1435.0425,1430.35106728
1663282800,2022-09-15 23:00:00,CUSD/USDT,0.9974,0.9974,0.9974,0.9974,56.7341,56.58659134
1663279200,2022-09-15 22:00:00,CUSD/USDT,0.9972,0.9972,0.9967,0.9967,501.7851,500.29846696
1663275600,2022-09-15 21:00:00,CUSD/USDT,0.9967,0.9967,0.9967,0.9967,0,0
1663272000,2022-09-15 20:00:00,CUSD/USDT,0.9974,0.9974,0.9967,0.9967,578.1796,576.41485858
1663268400,2022-09-15 19:00:00,CUSD/USDT,0.9976,0.9976,0.9976,0.9976,27.37,27.304312
1663264800,2022-09-15 18:00:00,CUSD/USDT,0.9971,0.9971,0.9971,0.9971,0,0
1663261200,2022-09-15 17:00:00,CUSD/USDT,0.997,0.9973,0.996,0.9971,1269.0044,1264.47953772
1663257600,2022-09-15 16:00:00,CUSD/USDT,0.9972,0.9972,0.9972,0.9972,211.8642,211.27098024
1663254000,2022-09-15 15:00:00,CUSD/USDT,0.9974,0.9976,0.9967,0.9973,4706.9981,4693.46158237
1663250400,2022-09-15 14:00:00,CUSD/USDT,0.9973,0.998,0.9951,0.9973,15943.3544,15878.74188653
1663246800,2022-09-15 13:00:00,CUSD/USDT,0.9974,0.998,0.9967,0.9967,2086.0679,2080.65474696
1663243200,2022-09-15 12:00:00,CUSD/USDT,0.9977,0.9979,0.9967,0.9967,1918.1258,1913.0998167
1663239600,2022-09-15 11:00:00,CUSD/USDT,0.9975,0.9975,0.9974,0.9974,350,349.11504335
1663236000,2022-09-15 10:00:00,CUSD/USDT,0.9966,0.9979,0.9965,0.9967,4297.6601,4285.17988918
1663232400,2022-09-15 09:00:00,CUSD/USDT,0.9965,0.9965,0.9965,0.9965,0,0
1663228800,2022-09-15 08:00:00,CUSD/USDT,0.9965,0.9965,0.9965,0.9965,0.4113,0.40986045
1663225200,2022-09-15 07:00:00,CUSD/USDT,0.9963,0.9965,0.9963,0.9965,121.9598,121.5141407
1663221600,2022-09-15 06:00:00,CUSD/USDT,0.9964,0.9964,0.9962,0.9962,256.2921,255.34776245
1663218000,2022-09-15 05:00:00,CUSD/USDT,0.9965,0.9966,0.9965,0.9965,223.9763,223.19319961
1663214400,2022-09-15 04:00:00,CUSD/USDT,0.997,0.997,0.9966,0.9966,7.8486,7.82196288
1663210800,2022-09-15 03:00:00,CUSD/USDT,0.9969,0.9969,0.9967,0.9967,310.6195,309.63881459
1663207200,2022-09-15 02:00:00,CUSD/USDT,0.9974,0.9974,0.9974,0.9974,0,0
1663203600,2022-09-15 01:00:00,CUSD/USDT,0.9975,0.9975,0.9974,0.9974,215.7329,215.17212312
1663200000,2022-09-15 00:00:00,CUSD/USDT,0.9976,0.9976,0.9973,0.9973,227.0007,226.43106465
1663196400,2022-09-14 23:00:00,CUSD/USDT,0.9977,0.9981,0.9977,0.9977,26.7719,26.72051883
1663192800,2022-09-14 22:00:00,CUSD/USDT,0.9982,0.9982,0.9968,0.9968,375.9848,374.95378378
1663189200,2022-09-14 21:00:00,CUSD/USDT,0.9982,0.9982,0.9982,0.9982,44.6364,44.55605448
1663185600,2022-09-14 20:00:00,CUSD/USDT,0.9981,0.9984,0.9974,0.9984,907.3546,905.31754489
1663182000,2022-09-14 19:00:00,CUSD/USDT,0.9984,0.9984,0.9981,0.9981,6.679,6.66826332
1663178400,2022-09-14 18:00:00,CUSD/USDT,0.9983,0.9983,0.9967,0.9983,3082.5398,3074.64462461
1663174800,2022-09-14 17:00:00,CUSD/USDT,0.9984,0.9984,0.9983,0.9983,105.3807,105.21207324
1663171200,2022-09-14 16:00:00,CUSD/USDT,0.9986,0.9989,0.9976,0.9976,2878.5314,2873.59084366
1663167600,2022-09-14 15:00:00,CUSD/USDT,0.9982,0.9986,0.9975,0.9985,2028.0587,2024.66070814
1663164000,2022-09-14 14:00:00,CUSD/USDT,0.9979,0.9987,0.9974,0.9974,3312.1431,3305.09040625
1663160400,2022-09-14 13:00:00,CUSD/USDT,0.9981,0.9981,0.9975,0.9975,104.9904,104.72933518
1663156800,2022-09-14 12:00:00,CUSD/USDT,0.9981,0.9981,0.9975,0.9975,10.9792,10.95252168
1663153200,2022-09-14 11:00:00,CUSD/USDT,0.9981,0.9981,0.9975,0.9975,1002.2801,999.87427572
1663149600,2022-09-14 10:00:00,CUSD/USDT,0.9982,0.9982,0.9981,0.9982,8.2505,8.23562955
1663146000,2022-09-14 09:00:00,CUSD/USDT,0.9982,0.9982,0.9976,0.9976,5.9658,5.95225158
1663142400,2022-09-14 08:00:00,CUSD/USDT,0.9977,0.9979,0.9977,0.9979,7.0149,6.99992873
1663138800,2022-09-14 07:00:00,CUSD/USDT,0.9981,0.9982,0.9976,0.9976,304.4705,303.74117033
1663135200,2022-09-14 06:00:00,CUSD/USDT,0.9982,0.9987,0.9976,0.9987,98.7121,98.48736931
1663131600,2022-09-14 05:00:00,CUSD/USDT,0.9985,0.9987,0.9978,0.9979,3968.2017,3962.10240413
1663128000,2022-09-14 04:00:00,CUSD/USDT,0.9976,0.9976,0.9976,0.9976,0,0
1663124400,2022-09-14 03:00:00,CUSD/USDT,0.9983,0.9987,0.9976,0.9976,3699.833,3693.01475661
1663120800,2022-09-14 02:00:00,CUSD/USDT,0.9982,0.9982,0.9982,0.9982,1.2883,1.28598106
1663117200,2022-09-14 01:00:00,CUSD/USDT,0.9981,0.9981,0.9981,0.9981,1.2883,1.28585223
1663113600,2022-09-14 00:00:00,CUSD/USDT,0.9982,0.9982,0.996,0.9982,6580.3632,6564.26231709
1663110000,2022-09-13 23:00:00,CUSD/USDT,0.9982,0.9983,0.9982,0.9983,201.6346,201.28143118
