https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XHV,Volume USDT
1663459200,2022-09-18 00:00:00,XHV/USDT,0.5009,0.5022,0.4978,0.5,536.9286,268.21330753
1663455600,2022-09-17 23:00:00,XHV/USDT,0.503,0.503,0.4821,0.502,16169.2962,7967.91558193
1663452000,2022-09-17 22:00:00,XHV/USDT,0.5014,0.5026,0.4984,0.5026,296.3466,148.18331279
1663448400,2022-09-17 21:00:00,XHV/USDT,0.4986,0.5033,0.498,0.5014,1808.5444,904.89462528
1663444800,2022-09-17 20:00:00,XHV/USDT,0.504,0.508,0.4886,0.4986,16815.9913,8347.3527122
1663441200,2022-09-17 19:00:00,XHV/USDT,0.5094,0.5094,0.5041,0.5056,1376.9451,698.13170386
1663437600,2022-09-17 18:00:00,XHV/USDT,0.5072,0.51,0.5056,0.5094,545.6104,277.12265933
1663434000,2022-09-17 17:00:00,XHV/USDT,0.5087,0.51,0.5069,0.5099,4348.4092,2207.18086576
1663430400,2022-09-17 16:00:00,XHV/USDT,0.5049,0.5087,0.5042,0.5069,2678.2553,1355.62756697
1663426800,2022-09-17 15:00:00,XHV/USDT,0.5048,0.508,0.5017,0.5049,2915.6361,1469.39483375
1663423200,2022-09-17 14:00:00,XHV/USDT,0.5048,0.5048,0.5021,0.5048,1346.6936,679.79809565
1663419600,2022-09-17 13:00:00,XHV/USDT,0.5047,0.5048,0.502,0.503,1625.5315,817.88155804
1663416000,2022-09-17 12:00:00,XHV/USDT,0.5033,0.5068,0.5028,0.5061,38.2499,19.27591304
1663412400,2022-09-17 11:00:00,XHV/USDT,0.5056,0.5078,0.5034,0.5051,817.0736,414.53307903
1663408800,2022-09-17 10:00:00,XHV/USDT,0.5069,0.509,0.5017,0.5062,1592.7012,804.40525236
1663405200,2022-09-17 09:00:00,XHV/USDT,0.5061,0.5069,0.5017,0.5069,1575.8118,796.61935372
1663401600,2022-09-17 08:00:00,XHV/USDT,0.5075,0.508,0.5028,0.5069,715.3347,361.00892853
1663398000,2022-09-17 07:00:00,XHV/USDT,0.5056,0.5075,0.501,0.5075,1262.314,635.14326895
1663394400,2022-09-17 06:00:00,XHV/USDT,0.508,0.51,0.5056,0.5057,1446.4181,736.38838138
1663390800,2022-09-17 05:00:00,XHV/USDT,0.5029,0.509,0.5018,0.508,1527.429,769.72961682
1663387200,2022-09-17 04:00:00,XHV/USDT,0.5069,0.509,0.503,0.503,2402.9756,1215.35973386
1663383600,2022-09-17 03:00:00,XHV/USDT,0.504,0.5059,0.503,0.5048,814.3585,411.10667546
1663380000,2022-09-17 02:00:00,XHV/USDT,0.504,0.5069,0.504,0.5048,3035.7912,1532.47592082
1663376400,2022-09-17 01:00:00,XHV/USDT,0.5049,0.508,0.504,0.504,626.9129,316.52639603
1663372800,2022-09-17 00:00:00,XHV/USDT,0.503,0.5049,0.503,0.5049,283.9751,143.37857161
1663369200,2022-09-16 23:00:00,XHV/USDT,0.5068,0.5079,0.5021,0.5049,1093.5521,550.29415248
1663365600,2022-09-16 22:00:00,XHV/USDT,0.5031,0.5088,0.5015,0.5059,1405.4708,712.47963729
1663362000,2022-09-16 21:00:00,XHV/USDT,0.5049,0.5049,0.501,0.5048,623.7102,312.69401202
1663358400,2022-09-16 20:00:00,XHV/USDT,0.5045,0.5049,0.501,0.5031,1408.9943,709.82449943
1663354800,2022-09-16 19:00:00,XHV/USDT,0.497,0.508,0.497,0.5066,10605.3759,5303.41358201
1663351200,2022-09-16 18:00:00,XHV/USDT,0.4961,0.5017,0.4851,0.497,26159.5838,12850.79102981
1663347600,2022-09-16 17:00:00,XHV/USDT,0.502,0.5051,0.49,0.4961,15576.6212,7760.01188924
