https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AIOZ,Volume USDT
1663459200,2022-09-18 00:00:00,AIOZ/USDT,0.05702,0.05723,0.0566,0.05661,69616.84972125,3961.8448775368713
1663372800,2022-09-17 00:00:00,AIOZ/USDT,0.05531,0.06646,0.0551,0.05677,4248211.14290684,259062.8567502826352
1663286400,2022-09-16 00:00:00,AIOZ/USDT,0.05581,0.05685,0.0544,0.05563,829042.53003726,45916.4052686665146
1663200000,2022-09-15 00:00:00,AIOZ/USDT,0.05808,0.06212,0.05501,0.05557,2168607.82452969,126644.8054957785093
1663113600,2022-09-14 00:00:00,AIOZ/USDT,0.05729,0.059,0.0565,0.05752,707335.979356,40684.7696463373541
1663027200,2022-09-13 00:00:00,AIOZ/USDT,0.06018,0.06066,0.05661,0.05729,1001414.35418916,58596.9776229780066
1662940800,2022-09-12 00:00:00,AIOZ/USDT,0.06147,0.06188,0.056,0.05995,1457251.26026577,86651.1941077394108
1662854400,2022-09-11 00:00:00,AIOZ/USDT,0.06017,0.0635,0.05931,0.06142,1363515.56767265,83086.7752733750679
1662768000,2022-09-10 00:00:00,AIOZ/USDT,0.06,0.072,0.05677,0.05986,6254606.39666241,396908.828618216467
1662681600,2022-09-09 00:00:00,AIOZ/USDT,0.05583,0.06038,0.0551,0.06,2217448.34948979,129386.9386660269988
1662595200,2022-09-08 00:00:00,AIOZ/USDT,0.05627,0.05789,0.0551,0.05566,1309651.60918257,73711.7201767622493
1662508800,2022-09-07 00:00:00,AIOZ/USDT,0.05605,0.05691,0.05438,0.05581,785662.15828807,43682.2629733515437
1662422400,2022-09-06 00:00:00,AIOZ/USDT,0.05712,0.05919,0.054,0.05589,1637314.93223676,93169.4094586506698
1662336000,2022-09-05 00:00:00,AIOZ/USDT,0.05745,0.05778,0.0569,0.05733,380151.76829436,21772.858212047394
1662249600,2022-09-04 00:00:00,AIOZ/USDT,0.05808,0.05885,0.05424,0.05768,1132125.94641835,64046.4831886854669
1662163200,2022-09-03 00:00:00,AIOZ/USDT,0.05696,0.066,0.0565,0.05805,3472635.7021156,211300.3961789736695
1662076800,2022-09-02 00:00:00,AIOZ/USDT,0.05709,0.05887,0.05645,0.05678,846367.13675611,48628.9775822381794
1661990400,2022-09-01 00:00:00,AIOZ/USDT,0.05776,0.05816,0.05646,0.0571,1563607.88226887,89566.9884852900981
1661904000,2022-08-31 00:00:00,AIOZ/USDT,0.05841,0.0626,0.0573,0.05746,2487358.51835287,148147.4186010468816
1661817600,2022-08-30 00:00:00,AIOZ/USDT,0.0607,0.0724,0.0576,0.05809,9319507.52717152,604727.9506873975756
1661731200,2022-08-29 00:00:00,AIOZ/USDT,0.05516,0.06069,0.055,0.06042,973464.18299392,56135.9869189804617
1661644800,2022-08-28 00:00:00,AIOZ/USDT,0.05723,0.05821,0.05504,0.05539,780155.69538751,44361.1059348587826
1661558400,2022-08-27 00:00:00,AIOZ/USDT,0.05739,0.0587,0.057,0.057,826564.59617404,47565.5670160597457
1661472000,2022-08-26 00:00:00,AIOZ/USDT,0.06071,0.06125,0.05701,0.05739,1236480.95998062,73730.7191294747044
1661385600,2022-08-25 00:00:00,AIOZ/USDT,0.06089,0.06248,0.05915,0.06082,843478.47937621,51146.270698747391
1661299200,2022-08-24 00:00:00,AIOZ/USDT,0.06221,0.06306,0.05835,0.06089,1176623.62581507,71422.0944695783364
1661212800,2022-08-23 00:00:00,AIOZ/USDT,0.06035,0.06399,0.0575,0.06197,1804081.00089714,108896.909101126002
