https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume EOS
1663545600000,2022-09-19 00:00:00,EOS/EUR,1.28692,1.305775,1.279113,1.299179,245.1550773,188.7
1663459200000,2022-09-18 00:00:00,EOS/EUR,1.478795,1.479265,1.25,1.291009,5087.3793620090355,3940.6226928
1663372800000,2022-09-17 00:00:00,EOS/EUR,1.41837,1.509991,1.393658,1.472705,5475.2941444832695,3717.84854705
1663286400000,2022-09-16 00:00:00,EOS/EUR,1.385152,1.452738,1.381264,1.418693,6723.8857433514995,4739.49314147
1663200000000,2022-09-15 00:00:00,EOS/EUR,1.476745,1.493847,1.374096,1.389183,4924.125931547671,3544.62006197
1663113600000,2022-09-14 00:00:00,EOS/EUR,1.495582,1.526089,1.433223,1.493827,5005.151485170715,3350.55631286
1663027200000,2022-09-13 00:00:00,EOS/EUR,1.64858,1.730078,1.453457,1.474945,7178.6096933353365,4867.03551206
1662940800000,2022-09-12 00:00:00,EOS/EUR,1.696993,1.769999,1.623493,1.66336,6162.274012733868,3704.71456133
1662854400000,2022-09-11 00:00:00,EOS/EUR,1.742056,1.849373,1.640122,1.700943,7220.629161998601,4245.07415122
1662768000000,2022-09-10 00:00:00,EOS/EUR,1.653376,1.843663,1.621398,1.737678,6561.747647186085,3776.15855595
1662681600000,2022-09-09 00:00:00,EOS/EUR,1.591029,1.71,1.532596,1.699082,7190.163610328909,4231.79317439
1662595200000,2022-09-08 00:00:00,EOS/EUR,1.637372,1.718042,1.544375,1.595789,5961.017741027329,3735.46737133
1662508800000,2022-09-07 00:00:00,EOS/EUR,1.420239,1.695635,1.391989,1.652137,6173.435097181563,3736.6363063
1662422400000,2022-09-06 00:00:00,EOS/EUR,1.5031,1.590477,1.403793,1.404443,5660.266267931141,4030.25702569
1662336000000,2022-09-05 00:00:00,EOS/EUR,1.503627,1.593251,1.437042,1.515633,6137.108956597177,4049.20515494
1662249600000,2022-09-04 00:00:00,EOS/EUR,1.557301,1.58889,1.470047,1.50462,5605.684526605854,3725.64802183
1662163200000,2022-09-03 00:00:00,EOS/EUR,1.538977,2.0,1.493917,1.525972,6850.701024365092,4489.4015253
1662076800000,2022-09-02 00:00:00,EOS/EUR,1.489314,2.0,1.476276,1.540042,6828.116045049658,4433.72066804
1661990400000,2022-09-01 00:00:00,EOS/EUR,1.40388,1.54,1.347,1.484719,5558.40189574207,3743.73999103
1661904000000,2022-08-31 00:00:00,EOS/EUR,1.394341,1.449999,1.361502,1.396504,5119.272024189291,3665.77684288
1661817600000,2022-08-30 00:00:00,EOS/EUR,1.514845,1.526974,1.358872,1.400674,5260.169706346075,3755.4560921
1661731200000,2022-08-29 00:00:00,EOS/EUR,1.50163,1.542495,1.423507,1.49558,5593.6683500867775,3740.1331591
1661644800000,2022-08-28 00:00:00,EOS/EUR,1.557641,1.577292,1.44,1.529248,5990.666216989395,3917.3935274
1661558400000,2022-08-27 00:00:00,EOS/EUR,1.573283,1.5963,1.472091,1.577606,6754.394445886663,4281.42035837
1661472000000,2022-08-26 00:00:00,EOS/EUR,1.734056,1.79303,1.499975,1.557431,5977.815790143707,3838.25401584
1661385600000,2022-08-25 00:00:00,EOS/EUR,1.716097,1.784632,1.66,1.747454,8392.972621562583,4802.97199329
1661299200000,2022-08-24 00:00:00,EOS/EUR,1.798208,1.856989,1.675998,1.753702,7028.632877552216,4007.88325357
1661212800000,2022-08-23 00:00:00,EOS/EUR,1.8826,1.906697,1.728447,1.808942,7795.496996832021,4309.42340707
1661126400000,2022-08-22 00:00:00,EOS/EUR,1.562063,1.577436,1.534095,1.541854,285.85973160000003,185.4
1661040000000,2022-08-21 00:00:00,EOS/EUR,1.446287,1.981999,1.365849,1.560435,6814.207491315852,4366.86404196
1660953600000,2022-08-20 00:00:00,EOS/EUR,1.271242,1.61,1.267623,1.402434,5782.958224167646,4123.51541974
1660867200000,2022-08-19 00:00:00,EOS/EUR,1.521023,1.609997,1.26516,1.274394,4735.685825055629,3716.02959921
