https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REAP,Volume USDT
1663459200,2022-09-18 00:00:00,REAP/USDT,0.017056,0.017321,0.017,0.017296,62979.2407,1074.6713982192
1663372800,2022-09-17 00:00:00,REAP/USDT,0.015866,0.02212,0.015866,0.017095,11668716.7295,208329.6315860512
1663286400,2022-09-16 00:00:00,REAP/USDT,0.015728,0.016497,0.014613,0.015898,9817385.8427,155044.3080789282
1663200000,2022-09-15 00:00:00,REAP/USDT,0.016632,0.0172,0.015354,0.015765,7090958.0528,115579.4875160875
1663113600,2022-09-14 00:00:00,REAP/USDT,0.017941,0.018403,0.015949,0.016602,8506074.9658,145939.0408365377
1663027200,2022-09-13 00:00:00,REAP/USDT,0.020353,0.020612,0.017785,0.017989,8283928.2085,159944.562404228
1662940800,2022-09-12 00:00:00,REAP/USDT,0.021662,0.022817,0.01929,0.020348,6357807.0171,132973.9608721171
1662854400,2022-09-11 00:00:00,REAP/USDT,0.022249,0.028,0.020675,0.021646,5897272.1346,137096.8119428041
1662768000,2022-09-10 00:00:00,REAP/USDT,0.021577,0.0285,0.0199,0.022267,7429512.4019,163349.7512863475
1662681600,2022-09-09 00:00:00,REAP/USDT,0.021391,0.02253,0.018874,0.021546,7221653.1372,150205.3074309289
1662595200,2022-09-08 00:00:00,REAP/USDT,0.020418,0.021923,0.020158,0.021384,6859362.2938,146695.8327508486
1662508800,2022-09-07 00:00:00,REAP/USDT,0.022298,0.023199,0.018916,0.020419,7244747.6788,150586.4040015442
1662422400,2022-09-06 00:00:00,REAP/USDT,0.021738,0.024581,0.0212,0.022282,8131008.5301,182588.400169305
1662336000,2022-09-05 00:00:00,REAP/USDT,0.02187,0.023,0.0211,0.021778,6499076.927,142600.3931904298
1662249600,2022-09-04 00:00:00,REAP/USDT,0.022498,0.02276,0.021682,0.021974,6861923.5712,152474.8627925325
1662163200,2022-09-03 00:00:00,REAP/USDT,0.021853,0.025,0.021358,0.022541,6551696.413,146028.8704987521
1662076800,2022-09-02 00:00:00,REAP/USDT,0.02278,0.022901,0.0216,0.021891,6088766.2729,135256.2348098613
1661990400,2022-09-01 00:00:00,REAP/USDT,0.022676,0.02436,0.0221,0.022818,4517469.5761,102473.8095069954
1661904000,2022-08-31 00:00:00,REAP/USDT,0.024454,0.025324,0.0221,0.022744,5869289.9178,136346.3476241257
1661817600,2022-08-30 00:00:00,REAP/USDT,0.025393,0.0265,0.0236,0.02445,3413449.4894,83441.7347075366
1661731200,2022-08-29 00:00:00,REAP/USDT,0.023504,0.02664,0.022672,0.025377,6224879.1941,150592.6863877886
1661644800,2022-08-28 00:00:00,REAP/USDT,0.0245,0.02618,0.022497,0.023528,6029799.2545,145357.3404796446
1661558400,2022-08-27 00:00:00,REAP/USDT,0.023171,0.028626,0.021321,0.0245,11533198.382,285585.7021306857
1661472000,2022-08-26 00:00:00,REAP/USDT,0.030728,0.030942,0.021408,0.023174,12212369.9092,303568.8519543162
1661385600,2022-08-25 00:00:00,REAP/USDT,0.033336,0.03508,0.02934,0.030699,8632501.0731,271863.1142956603
1661299200,2022-08-24 00:00:00,REAP/USDT,0.04553,0.045571,0.0321,0.033229,14635414.3547,522949.8052226748
1661212800,2022-08-23 00:00:00,REAP/USDT,0.061181,0.06121,0.038,0.045566,9967074.0058,447894.9012525432
1661126400,2022-08-22 00:00:00,REAP/USDT,0.069387,0.072076,0.058783,0.061252,2774606.06,180211.3463679589
1661040000,2022-08-21 00:00:00,REAP/USDT,0.07118,0.073069,0.06627,0.069379,314807.3024,22217.0964441144
1660953600,2022-08-20 00:00:00,REAP/USDT,0.073118,0.085,0.069103,0.071161,2102406.3961,155307.0911954004
1660867200,2022-08-19 00:00:00,REAP/USDT,0.081539,0.082231,0.072749,0.07317,407791.7699,31566.0566575685
