https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SOL
1663549200000,2022-09-19 01:00:00,SOL/USDT,31.604035,31.762596,31.604035,31.762596,39.735007595999996,1.251
1663545600000,2022-09-19 00:00:00,SOL/USDT,31.120959,31.797266,31.032918,31.615191,1107.4104450414407,35.0277955
1663542000000,2022-09-18 23:00:00,SOL/USDT,31.230853,31.437059,30.963061,31.113415,143.215049245,4.603
1663538400000,2022-09-18 22:00:00,SOL/USDT,31.359238,31.376212,30.904209,31.276012,248.98626481312706,7.96093392
1663534800000,2022-09-18 21:00:00,SOL/USDT,32.263402,32.263402,30.952777,31.405451,5939.742902777272,189.13095382
1663531200000,2022-09-18 20:00:00,SOL/USDT,32.419731,32.419731,32.169707,32.300341,165.76768629566453,5.13207233
1663527600000,2022-09-18 19:00:00,SOL/USDT,32.234679,32.471,32.192783,32.407845,162.460526985,5.013
1663524000000,2022-09-18 18:00:00,SOL/USDT,32.421489,32.473968,32.062022,32.26071,547.1484573202017,16.96021127
1663520400000,2022-09-18 17:00:00,SOL/USDT,32.56624,32.611324,32.242394,32.3707,21978.797010852406,678.97194101
1663516800000,2022-09-18 16:00:00,SOL/USDT,32.914565,32.964682,32.417656,32.552701,624.103799652443,19.17210494
1663513200000,2022-09-18 15:00:00,SOL/USDT,32.987708,33.060232,32.867566,32.922,670.2918449378399,20.35999772
1663509600000,2022-09-18 14:00:00,SOL/USDT,33.362799,33.362799,32.805474,32.978182,257.2798646507486,7.80151752
1663506000000,2022-09-18 13:00:00,SOL/USDT,33.434069,33.443173,33.259881,33.36762,154.72565394,4.637
1663502400000,2022-09-18 12:00:00,SOL/USDT,33.332856,33.470442,33.158452,33.429313,161.99041639691356,4.84575966
1663498800000,2022-09-18 11:00:00,SOL/USDT,33.229991,33.430826,33.198259,33.347952,224.73083741809538,6.73896968
1663495200000,2022-09-18 10:00:00,SOL/USDT,33.068463,33.413823,33.018992,33.240299,484.0525828033029,14.56222108
1663491600000,2022-09-18 09:00:00,SOL/USDT,33.795481,33.799271,33.072491,33.072491,361.1427429225607,10.91973214
1663488000000,2022-09-18 08:00:00,SOL/USDT,33.826513,33.98191,33.750345,33.750345,312.8646039638151,9.26996758
1663484400000,2022-09-18 07:00:00,SOL/USDT,33.783392,33.850344,33.719693,33.819578,164.56606654799998,4.866
1663480800000,2022-09-18 06:00:00,SOL/USDT,33.72701,33.833026,33.684702,33.773306,149.18810325116516,4.41733786
