https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAI,Volume BTC
1663459200,2022-09-18 00:00:00,HAI/BTC,0.0000008245,0.0000008309,0.0000008238,0.000000829,12117.5115,0.01004539886637
1663372800,2022-09-17 00:00:00,HAI/BTC,0.000000818,0.0000008356,0.000000809,0.0000008244,395736.4715,0.32622468627006
1663286400,2022-09-16 00:00:00,HAI/BTC,0.00000081,0.0000008338,0.0000008016,0.000000818,303747.2996,0.2482675447211
1663200000,2022-09-15 00:00:00,HAI/BTC,0.0000007794,0.0000008336,0.0000007735,0.000000809,296891.8806,0.23915485670779
1663113600,2022-09-14 00:00:00,HAI/BTC,0.0000008119,0.0000008219,0.000000754,0.0000007799,803877.2391,0.63460279654239
1663027200,2022-09-13 00:00:00,HAI/BTC,0.0000007503,0.000000822,0.0000007403,0.0000008119,606995.7575,0.47382047477189
1662940800,2022-09-12 00:00:00,HAI/BTC,0.0000007656,0.0000007776,0.0000007407,0.000000751,311619.4378,0.23509595693281
1662854400,2022-09-11 00:00:00,HAI/BTC,0.0000007572,0.0000007778,0.0000007479,0.0000007657,366768.2899,0.2788985083007
1662768000,2022-09-10 00:00:00,HAI/BTC,0.000000761,0.0000007757,0.0000007474,0.0000007562,322897.7905,0.24518435081134
1662681600,2022-09-09 00:00:00,HAI/BTC,0.0000008341,0.0000012144,0.0000007608,0.0000007609,974633.0093,0.79347264944826
1662595200,2022-09-08 00:00:00,HAI/BTC,0.0000008234,0.0000008586,0.0000008188,0.000000834,301909.115,0.25304323731541
1662508800,2022-09-07 00:00:00,HAI/BTC,0.0000008449,0.0000008525,0.0000008089,0.0000008235,387772.1743,0.31858443342406
1662422400,2022-09-06 00:00:00,HAI/BTC,0.0000008366,0.0000008551,0.0000008185,0.000000845,320173.1317,0.26800681784051
1662336000,2022-09-05 00:00:00,HAI/BTC,0.000000859,0.0000008825,0.0000008269,0.0000008367,335006.8024,0.28536161913928
1662249600,2022-09-04 00:00:00,HAI/BTC,0.0000008683,0.000000886,0.0000008578,0.0000008589,284735.1867,0.24769392418437
