https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCHBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BCHBULL/USDT,4.17e-06,4.23e-06,4.14e-06,4.15e-06,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,BCHBULL/USDT,5.48e-06,5.5e-06,4.1e-06,4.17e-06,51753285.37170264,215.8112
1663372800000.0,2022-09-17 00:00:00,BCHBULL/USDT,5.17e-06,5.66e-06,5.17e-06,5.48e-06,32949635.03649635,180.564
1663286400000.0,2022-09-16 00:00:00,BCHBULL/USDT,4.91e-06,5.32e-06,4.81e-06,5.17e-06,5111063.829787234,26.4242
1663200000000.0,2022-09-15 00:00:00,BCHBULL/USDT,5.29e-06,5.59e-06,4.78e-06,4.91e-06,19938615.0712831,97.8986
1663113600000.0,2022-09-14 00:00:00,BCHBULL/USDT,5e-06,5.29e-06,4.79e-06,5.29e-06,4318582.230623819,22.8453
1663027200000.0,2022-09-13 00:00:00,BCHBULL/USDT,6.67e-06,7.42e-06,4.8e-06,5e-06,22245120.0,111.2256
1662940800000.0,2022-09-12 00:00:00,BCHBULL/USDT,6.91e-06,7.28e-06,6.34e-06,6.67e-06,16264767.616191905,108.486
1662854400000.0,2022-09-11 00:00:00,BCHBULL/USDT,7.37e-06,7.38e-06,6.51e-06,6.91e-06,4595325.615050651,31.7537
1662768000000.0,2022-09-10 00:00:00,BCHBULL/USDT,7.32e-06,7.64e-06,6.91e-06,7.37e-06,17809362.279511534,131.255
1662681600000.0,2022-09-09 00:00:00,BCHBULL/USDT,6.46e-06,8.16e-06,6.37e-06,7.32e-06,201982650.27322403,1478.513
1662595200000.0,2022-09-08 00:00:00,BCHBULL/USDT,5.41e-06,6.82e-06,5e-06,6.46e-06,78108668.73065016,504.582
1662508800000.0,2022-09-07 00:00:00,BCHBULL/USDT,4.92e-06,5.41e-06,4.71e-06,5.41e-06,27912125.693160817,151.0046
1662422400000.0,2022-09-06 00:00:00,BCHBULL/USDT,7.12e-06,7.5e-06,4.89e-06,4.92e-06,410486788.6178862,2019.595
1662336000000.0,2022-09-05 00:00:00,BCHBULL/USDT,6.02e-06,7.23e-06,5.89e-06,7.12e-06,11294073.033707865,80.4138
1662249600000.0,2022-09-04 00:00:00,BCHBULL/USDT,5.93e-06,6.02e-06,5.72e-06,6.02e-06,6622358.8039867105,39.8666
1662163200000.0,2022-09-03 00:00:00,BCHBULL/USDT,5.72e-06,6.1e-06,5.63e-06,5.93e-06,1018819.5615514334,6.0416
