https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/EUR,0.99947011,1.00253978,0.99846413,1.00035559,2634.804053816104,2633.86747688
1663459200000,2022-09-18 00:00:00,USDT/EUR,1.00022503,1.00610255,0.99833482,0.9995601,97426.18102369441,97469.05766216
1663372800000,2022-09-17 00:00:00,USDT/EUR,0.99913883,1.00093355,0.99876577,1.000221,84926.33970177322,84907.57512767
1663286400000,2022-09-16 00:00:00,USDT/EUR,1.00206676,1.00637697,0.99834812,0.99913268,324376.40141366125,324657.98377615
1663200000000,2022-09-15 00:00:00,USDT/EUR,1.0024,1.0045,1.00000001,1.00203207,267911.41196255764,267368.10126502
1663113600000,2022-09-14 00:00:00,USDT/EUR,1.00305933,1.00599999,0.99873112,1.00201327,256246.78186729903,255731.92445575
1663027200000,2022-09-13 00:00:00,USDT/EUR,0.98792737,1.0053728,0.98252572,1.00225076,252591.66742146545,252024.4209358
1662940800000,2022-09-12 00:00:00,USDT/EUR,0.99286292,0.993395,0.98098681,0.98793258,208410.14073382417,210955.83337663
1662854400000,2022-09-11 00:00:00,USDT/EUR,0.99471713,0.99495343,0.99004087,0.99249769,74398.78312542338,74961.16502339
1662768000000,2022-09-10 00:00:00,USDT/EUR,0.99498806,0.9950153,0.99391818,0.99471777,84434.44895024502,84882.81952603
1662681600000,2022-09-09 00:00:00,USDT/EUR,1.00209743,1.0068368,0.98924421,0.99499005,312640.4251322482,314214.62469122
1662595200000,2022-09-08 00:00:00,USDT/EUR,0.99995063,1.0355327,0.99945336,1.00217572,263300.9433160979,262729.31788459
1662508800000,2022-09-07 00:00:00,USDT/EUR,1.01052928,1.0126255,0.99916168,0.99995045,217790.48301124058,217801.27506442
1662422400000,2022-09-06 00:00:00,USDT/EUR,1.0050232,1.01712835,1.00241509,1.01087822,156837.41329835058,155149.66115142
1662336000000,2022-09-05 00:00:00,USDT/EUR,1.00917295,1.01687389,1.00479789,1.00507969,179790.73542534225,178882.06996337
1662249600000,2022-09-04 00:00:00,USDT/EUR,1.00475672,1.00937633,1.00474001,1.00937633,43120.93264284758,42720.37233412
1662163200000,2022-09-03 00:00:00,USDT/EUR,1.00429736,1.00717068,1.00425072,1.00476215,51217.57920206364,50974.82941815
1662076800000,2022-09-02 00:00:00,USDT/EUR,1.00509141,1.00802829,0.99747286,1.00428941,186939.02245421463,186140.58914971
1661990400000,2022-09-01 00:00:00,USDT/EUR,0.99619083,1.00802284,0.99619083,1.00507089,201225.3563085469,200210.1128494
1661904000000,2022-08-31 00:00:00,USDT/EUR,0.99880099,1.00308633,0.9926977,0.99617418,221145.3224421813,221994.63395265
1661817600000,2022-08-30 00:00:00,USDT/EUR,1.00012461,1.00138118,0.99624873,0.99880098,190182.28519226014,190410.59129944
1661731200000,2022-08-29 00:00:00,USDT/EUR,1.00653526,1.00822765,0.99816022,1.00012461,192450.82653034682,192426.84822079
1661644800000,2022-08-28 00:00:00,USDT/EUR,1.00500135,1.0066734,1.00410104,1.0065741,33616.002988480686,33396.45137748
1661558400000,2022-08-27 00:00:00,USDT/EUR,1.0042384,1.00557521,1.00420143,1.00500135,126944.35438365716,126312.62075783
1661472000000,2022-08-26 00:00:00,USDT/EUR,1.00348109,1.00472721,0.99269111,1.00420143,185336.66186335907,184561.24072972
1661385600000,2022-08-25 00:00:00,USDT/EUR,1.00295011,1.01017153,0.99744485,1.00347842,180288.7189439921,179663.77288312
1661299200000,2022-08-24 00:00:00,USDT/EUR,1.00336111,1.00859735,1.00106496,1.00289424,169221.4699447166,168733.11581161
1661212800000,2022-08-23 00:00:00,USDT/EUR,1.00608265,1.00897914,0.99903903,1.00326298,131115.6392913211,130689.2030356
1661126400000,2022-08-22 00:00:00,USDT/EUR,0.99656392,0.9966,0.99652629,0.99656232,1701.4611761112442,1707.33043179
1661040000000,2022-08-21 00:00:00,USDT/EUR,0.99658002,0.9966,0.99650036,0.99655652,45547.448759244515,45704.83243564
1660953600000,2022-08-20 00:00:00,USDT/EUR,0.99646791,0.99680431,0.99635646,0.99657922,71456.92192577079,71702.19937535
1660867200000,2022-08-19 00:00:00,USDT/EUR,0.99082861,0.99999898,0.99028945,0.99646501,122785.35800708421,123220.9428077
1660780800000,2022-08-18 00:00:00,USDT/EUR,0.98292946,0.99173053,0.98169145,0.99083527,83437.5291169947,84209.28447268
1660694400000,2022-08-17 00:00:00,USDT/EUR,0.98320127,0.98683481,0.98108838,0.98292654,103246.53552123692,105039.9305743
1660608000000,2022-08-16 00:00:00,USDT/EUR,0.9841,0.99148232,0.98208896,0.98319528,65049.371213164886,66161.19151138
1660521600000,2022-08-15 00:00:00,USDT/EUR,0.97590242,0.98417855,0.97546803,0.9841,81776.63008571592,83097.88648076
1660435200000,2022-08-14 00:00:00,USDT/EUR,0.97503344,0.97615212,0.97502084,0.97598433,35212.05596400303,36078.50544486
1660348800000,2022-08-13 00:00:00,USDT/EUR,0.97489658,0.97519779,0.97436191,0.97503344,36464.57499474084,37398.28143201
1660262400000,2022-08-12 00:00:00,USDT/EUR,0.96953695,0.97630622,0.96798945,0.97489658,130137.66575259488,133488.68836179
1660176000000,2022-08-11 00:00:00,USDT/EUR,0.97103435,0.9745,0.9667402,0.96953694,123464.24799300484,127343.5213237
1660089600000,2022-08-10 00:00:00,USDT/EUR,0.98048235,0.98146247,0.96553735,0.97103652,201363.35250105645,207369.49471381
1660003200000,2022-08-09 00:00:00,USDT/EUR,0.98150891,0.98155162,0.98150891,0.98154486,1434.7004673474016,1461.67590073
1659916800000,2022-08-08 00:00:00,USDT/EUR,0.98292928,0.98379921,0.97994866,0.98150891,186109.00088664726,189615.19247609
1659830400000,2022-08-07 00:00:00,USDT/EUR,0.98283856,0.98292929,0.9827403,0.98292928,17918.997095405706,18230.19973055
1659744000000,2022-08-06 00:00:00,USDT/EUR,0.98252069,0.98283919,0.98252069,0.98283856,33900.808583938306,34492.75391061
1659657600000,2022-08-05 00:00:00,USDT/EUR,0.97642969,0.98520275,0.97642968,0.98252069,283374.433583192,288415.74174198
1659571200000,2022-08-04 00:00:00,USDT/EUR,0.98440697,0.98461681,0.976,0.97642661,341449.11782853736,349692.55685129
1659484800000,2022-08-03 00:00:00,USDT/EUR,0.98429021,0.98759999,0.98065714,0.98440698,155962.91371214218,158433.36839418
1659398400000,2022-08-02 00:00:00,USDT/EUR,0.97522906,0.98417237,0.97282407,0.98417237,202635.02388755657,205893.83533248
1659312000000,2022-08-01 00:00:00,USDT/EUR,0.97976834,0.97976834,0.97433355,0.97527134,261284.44073809736,267909.48326042
1659225600000,2022-07-31 00:00:00,USDT/EUR,0.97930393,0.97972767,0.97887078,0.97972767,18972.24534338962,19364.81526891
1659139200000,2022-07-30 00:00:00,USDT/EUR,0.97886703,0.97963807,0.97876917,0.97930392,43500.937538413564,44420.26285202
1659052800000,2022-07-29 00:00:00,USDT/EUR,0.98145983,0.98538984,0.97600001,0.97886703,345382.3024373315,352838.83495119
1658966400000,2022-07-28 00:00:00,USDT/EUR,0.98046599,0.98790947,0.97788829,0.98139,253026.90041532676,257825.02411409
1658880000000,2022-07-27 00:00:00,USDT/EUR,0.98748068,0.998,0.97941515,0.980466,437028.3166734961,445735.3102234
1658793600000,2022-07-26 00:00:00,USDT/EUR,0.978425,0.98896485,0.97647301,0.98748068,296155.8586615441,299910.53461577
1658707200000,2022-07-25 00:00:00,USDT/EUR,0.97992747,0.98251173,0.9757499,0.978425,218718.03579926252,223540.93139409
1658620800000,2022-07-24 00:00:00,USDT/EUR,0.97978417,0.97988216,0.97964389,0.97988216,9040.6729036245,9226.28584607
1658534400000,2022-07-23 00:00:00,USDT/EUR,0.98005544,0.98015346,0.97949862,0.97978417,35062.91587996465,35786.36699138
1658448000000,2022-07-22 00:00:00,USDT/EUR,0.97923022,0.98676012,0.97622294,0.98005544,115735.86063206711,118091.13638721
1658361600000,2022-07-21 00:00:00,USDT/EUR,0.98323333,0.98539786,0.97431267,0.97923023,101658.50184962098,103814.70948831
1658275200000,2022-07-20 00:00:00,USDT/EUR,0.97796878,0.98499999,0.97466135,0.98323333,142254.81287849662,144680.62517622
1658188800000,2022-07-19 00:00:00,USDT/EUR,0.98609729,0.98757143,0.97417488,0.9777843,239394.16779783365,244833.31118922
1658102400000,2022-07-18 00:00:00,USDT/EUR,0.99086287,0.99098021,0.98079062,0.98609006,91390.20379038769,92679.36824187
1658016000000,2022-07-17 00:00:00,USDT/EUR,0.9922197,0.99231892,0.99093139,0.99093139,14420.242817845075,14552.21114536
1657929600000,2022-07-16 00:00:00,USDT/EUR,0.99168317,0.99255299,0.99168317,0.9922197,26261.77424299667,26467.70089628
1657843200000,2022-07-15 00:00:00,USDT/EUR,0.99703275,0.99780381,0.98980003,0.99168316,166983.38979940466,168383.8110142
1657756800000,2022-07-14 00:00:00,USDT/EUR,0.99551618,1.00335155,0.99540911,0.99748933,115361.47715738794,115651.84076444
