https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume BMN
1657843200000,2022-07-15 00:00:00,BMN/BTC,7.0001,7.0001,7.0001,7.0001,0.070001,0.01
1656633600000,2022-07-01 00:00:00,BMN/BTC,7.1999,7.1999,7.1999,7.1999,0.14399800000000001,0.02
1656201600000,2022-06-26 00:00:00,BMN/BTC,6.9,6.9,6.3,6.3,0.441,0.07
1648425600000,2022-03-28 00:00:00,BMN/BTC,6.7,6.7,6.7,6.7,0.2077,0.031
1648339200000,2022-03-27 00:00:00,BMN/BTC,6.77,6.77,6.75,6.75,1.8508499999999999,0.2742
1647475200000,2022-03-17 00:00:00,BMN/BTC,6.95,6.95,6.95,6.95,0.0069500000000000004,0.001
