https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX3L,Volume USDT
1663459200,2022-09-18 00:00:00,AVAX3L/USDT,0.000552,0.000556,0.000535,0.000535,9777788.8506,5311.7064931369
1663372800,2022-09-17 00:00:00,AVAX3L/USDT,0.000509,0.000556,0.000507,0.000551,284515243.954,152338.0017905457
1663286400,2022-09-16 00:00:00,AVAX3L/USDT,0.000523,0.000533,0.000473,0.000509,347714919.6242,174389.1441692422
1663200000,2022-09-15 00:00:00,AVAX3L/USDT,0.000614,0.00063,0.000514,0.000523,390862020.52824101,223620.62420445571732
1663113600,2022-09-14 00:00:00,AVAX3L/USDT,0.000584,0.00064,0.000551,0.000616,477011961.0611,286820.3958058768
1663027200,2022-09-13 00:00:00,AVAX3L/USDT,0.0009,0.000948,0.000584,0.000584,663007514.18112115,505732.3294930011087
1662940800,2022-09-12 00:00:00,AVAX3L/USDT,0.000817,0.000964,0.000748,0.000898,464637128.7808,399652.2423034546
1662854400,2022-09-11 00:00:00,AVAX3L/USDT,0.000797,0.00085,0.000735,0.000817,221572843.0218,176041.5955332681
1662768000,2022-09-10 00:00:00,AVAX3L/USDT,0.000787,0.000875,0.000742,0.000793,352725874.7499,281713.3703979046
1662681600,2022-09-09 00:00:00,AVAX3L/USDT,0.00066,0.000829,0.000656,0.000791,548473956.6107,413557.4195970015
1662595200,2022-09-08 00:00:00,AVAX3L/USDT,0.000646,0.000663,0.000585,0.000657,420073764.3349,265315.5948036347
1662508800,2022-09-07 00:00:00,AVAX3L/USDT,0.00057,0.000684,0.000542,0.000646,415459506.413,253488.4270294639
1662422400,2022-09-06 00:00:00,AVAX3L/USDT,0.000701,0.000814,0.000567,0.000572,692598335.51147173,485117.30355663744678
1662336000,2022-09-05 00:00:00,AVAX3L/USDT,0.000656,0.000705,0.000596,0.000699,256896654.5485,164643.870687002
1662249600,2022-09-04 00:00:00,AVAX3L/USDT,0.00064,0.000666,0.000629,0.000656,145770619.542,94342.7424546349
1662163200,2022-09-03 00:00:00,AVAX3L/USDT,0.000642,0.00068,0.000614,0.00064,180487137.04557568,115024.71438720598656
1662076800,2022-09-02 00:00:00,AVAX3L/USDT,0.000691,0.000755,0.000624,0.000642,477874236.8878,324716.4097907248
1661990400,2022-09-01 00:00:00,AVAX3L/USDT,0.000672,0.000712,0.0006,0.000692,341318543.35345039,223451.7480078577574
1661904000,2022-08-31 00:00:00,AVAX3L/USDT,0.000701,0.000773,0.000655,0.000675,177809350.67916087,128291.43995876133298
1661817600,2022-08-30 00:00:00,AVAX3L/USDT,0.000697,0.00083,0.000645,0.000698,674868025.19629444,494020.74415384834343
1661731200,2022-08-29 00:00:00,AVAX3L/USDT,0.000613,0.000717,0.000519,0.000694,725700680.68347593,453162.29265186400081
1661644800,2022-08-28 00:00:00,AVAX3L/USDT,0.000801,0.000846,0.000564,0.000618,331302301.7267845,243439.81210360629757
1661558400,2022-08-27 00:00:00,AVAX3L/USDT,0.00088,0.000917,0.00077,0.000804,196745603.63099292,165887.57502139965714
1661472000,2022-08-26 00:00:00,AVAX3L/USDT,0.001269,0.001299,0.000837,0.000881,507612193.80806175,551450.41054644884652
1661385600,2022-08-25 00:00:00,AVAX3L/USDT,0.001276,0.001376,0.001217,0.001276,171296528.32486786,220961.54204944160169
1661299200,2022-08-24 00:00:00,AVAX3L/USDT,0.001361,0.00138,0.001239,0.001271,215745720.96598398,281972.63538418302231
1661212800,2022-08-23 00:00:00,AVAX3L/USDT,0.001217,0.001389,0.001095,0.001369,274513817.96942442,351641.69768147177797
1661126400,2022-08-22 00:00:00,AVAX3L/USDT,0.001281,0.001294,0.001054,0.001226,169470155.40398827,196569.15090038590886
1661040000,2022-08-21 00:00:00,AVAX3L/USDT,0.00117,0.001359,0.001152,0.001282,156857440.17507187,200633.39370905564512
1660953600,2022-08-20 00:00:00,AVAX3L/USDT,0.001207,0.001322,0.001069,0.001183,189713387.65681521,230067.01959057481264
1660867200,2022-08-19 00:00:00,AVAX3L/USDT,0.001611,0.001641,0.001,0.001203,564721156.63661023,727547.5186422651132
1660780800,2022-08-18 00:00:00,AVAX3L/USDT,0.001843,0.002012,0.001533,0.001615,179570353.38694149,329656.13343949934039
1660694400,2022-08-17 00:00:00,AVAX3L/USDT,0.002246,0.0025,0.001788,0.001851,249902580.55729808,531122.65725026570576
1660608000,2022-08-16 00:00:00,AVAX3L/USDT,0.002433,0.002566,0.00219,0.002246,140521210.45986506,330761.83158106737478
1660521600,2022-08-15 00:00:00,AVAX3L/USDT,0.002512,0.002807,0.002241,0.002428,171280400.65675929,423076.38565705399968
1660435200,2022-08-14 00:00:00,AVAX3L/USDT,0.002788,0.002997,0.00241,0.002512,162882082.57369613,442478.83770304934755
1660348800,2022-08-13 00:00:00,AVAX3L/USDT,0.002843,0.00313,0.002719,0.002788,148060340.12510669,430726.54521214315915
1660262400,2022-08-12 00:00:00,AVAX3L/USDT,0.00264,0.002921,0.002511,0.00285,145443928.7253193,394880.55076865600433
1660176000,2022-08-11 00:00:00,AVAX3L/USDT,0.002822,0.00306,0.002593,0.00264,213619551.76637506,609553.21521424782071
1660089600,2022-08-10 00:00:00,AVAX3L/USDT,0.002376,0.003081,0.00219,0.002824,322298925.29184715,859406.43119091204342
1660003200,2022-08-09 00:00:00,AVAX3L/USDT,0.002504,0.002742,0.002262,0.002379,386176139.03191038,945207.82376227638318
1659916800,2022-08-08 00:00:00,AVAX3L/USDT,0.002485,0.0032,0.002404,0.002505,358139385.93311098,999451.57975286474908
1659830400,2022-08-07 00:00:00,AVAX3L/USDT,0.00218,0.002632,0.001988,0.002488,326569292.60670719,753174.49364633584459
1659744000,2022-08-06 00:00:00,AVAX3L/USDT,0.001823,0.002251,0.001772,0.002185,302493027.28984421,608741.7677005192257
1659657600,2022-08-05 00:00:00,AVAX3L/USDT,0.001535,0.001829,0.001483,0.001828,373878611.75518076,632417.3569848976459
1659571200,2022-08-04 00:00:00,AVAX3L/USDT,0.001469,0.001649,0.001439,0.001539,331774437.58531413,509247.66793613767007
