https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETN,Volume USDT
1663459200,2022-09-18 00:00:00,ETN/USDT,0.0030654,0.0030679,0.0030422,0.0030679,26032.4554,79.68215036836
1663372800,2022-09-17 00:00:00,ETN/USDT,0.0032319,0.00327,0.002998,0.0030652,22929384.01405919,71065.300745360520839
1663286400,2022-09-16 00:00:00,ETN/USDT,0.003016,0.0032576,0.0029783,0.0032269,15454743.3204,47887.26341086614
1663200000,2022-09-15 00:00:00,ETN/USDT,0.0029224,0.003064,0.0027741,0.003016,19073805.6629,55164.178600955
1663113600,2022-09-14 00:00:00,ETN/USDT,0.0027118,0.0034394,0.002615,0.0029223,49790221.36787087,150963.11046374844712
1663027200,2022-09-13 00:00:00,ETN/USDT,0.0028504,0.002953,0.0026985,0.0027169,17970559.2966,51041.18758126005
1662940800,2022-09-12 00:00:00,ETN/USDT,0.0028581,0.0029799,0.002825,0.00285,14888096.7278,43114.95819029949
1662854400,2022-09-11 00:00:00,ETN/USDT,0.0029239,0.0029499,0.0028,0.0028716,14367358.3291,41056.17946367228
1662768000,2022-09-10 00:00:00,ETN/USDT,0.003018,0.0030248,0.00285,0.0029239,12536072.7131,36465.12839708947
1662681600,2022-09-09 00:00:00,ETN/USDT,0.0028521,0.00318,0.0028521,0.003018,22724958.51148105,69058.163784704989644
1662595200,2022-09-08 00:00:00,ETN/USDT,0.0028375,0.00289,0.0027,0.0028521,26995860.3865,75034.21348456552
1662508800,2022-09-07 00:00:00,ETN/USDT,0.0023416,0.002895,0.0023,0.0028375,34819016.0924,89493.68936156901
1662422400,2022-09-06 00:00:00,ETN/USDT,0.0025601,0.0026699,0.0023,0.0023416,24098712.6913,59630.17392872161
1662336000,2022-09-05 00:00:00,ETN/USDT,0.0024794,0.0027854,0.002476,0.0025709,9655304.7617,24867.27236789167
1662249600,2022-09-04 00:00:00,ETN/USDT,0.0023419,0.0025563,0.0023012,0.0024778,16549778.967,39750.49008961299
1662163200,2022-09-03 00:00:00,ETN/USDT,0.0023997,0.0023997,0.0022916,0.0023403,8698076.8007,20482.22707867843
1662076800,2022-09-02 00:00:00,ETN/USDT,0.0025525,0.0025525,0.0022825,0.0023985,21377980.9189,51508.47278044254
1661990400,2022-09-01 00:00:00,ETN/USDT,0.0025229,0.002672,0.0024374,0.002561,17330539.095,43664.1750666245
1661904000,2022-08-31 00:00:00,ETN/USDT,0.0023905,0.002618,0.002373,0.0025217,6308201.3415258,15837.941347004761801
1661817600,2022-08-30 00:00:00,ETN/USDT,0.0024924,0.00263,0.0023451,0.0023714,12897441.17750809,31920.625949908584039
