https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume PAX
1655078400,2022-06-13 00:00:00,USDT/PAX,0.9987,0.9992,0.998,0.9992,28374.72950229,28338.81067148661
1655074800,2022-06-12 23:00:00,USDT/PAX,0.9982,0.9989,0.998,0.9987,15420.299574,15394.0561504442
1655071200,2022-06-12 22:00:00,USDT/PAX,0.9987,0.999,0.9981,0.9982,9942.3823953,9928.34254059794
1655067600,2022-06-12 21:00:00,USDT/PAX,0.9992,0.9992,0.9982,0.9987,4961.34557351,4953.677491889363
1655064000,2022-06-12 20:00:00,USDT/PAX,0.9988,0.9992,0.9988,0.9992,3307.5238,3303.854651584
1655060400,2022-06-12 19:00:00,USDT/PAX,0.9992,0.9993,0.9988,0.999,4673.76365849,4669.025408204759
1655056800,2022-06-12 18:00:00,USDT/PAX,0.999,0.9992,0.9988,0.9992,1227.132816,1225.9404841166
1655053200,2022-06-12 17:00:00,USDT/PAX,0.9988,0.999,0.9987,0.9988,2148.035606,2145.4645568648
1655049600,2022-06-12 16:00:00,USDT/PAX,0.9988,0.9993,0.9986,0.9993,4643.73294437,4639.234319553304
1655046000,2022-06-12 15:00:00,USDT/PAX,0.9992,1,0.998,0.9988,50367.78984113,50317.872563560996
1655042400,2022-06-12 14:00:00,USDT/PAX,0.9991,0.9993,0.9987,0.9989,4668.39797772,4663.352672199621
1655038800,2022-06-12 13:00:00,USDT/PAX,0.9987,0.9994,0.9987,0.9991,743.34107244,742.477477335348
1655035200,2022-06-12 12:00:00,USDT/PAX,0.999,0.999,0.9987,0.9987,100.58907798,100.48688379042
1655031600,2022-06-12 11:00:00,USDT/PAX,0.9989,0.9991,0.9987,0.999,137.090129,136.9207933897
1655028000,2022-06-12 10:00:00,USDT/PAX,0.9995,0.9995,0.9988,0.9989,667.91408783,667.211136175653
1655024400,2022-06-12 09:00:00,USDT/PAX,0.9986,0.9994,0.9986,0.9989,9088.82305926,9080.334876297044
1655020800,2022-06-12 08:00:00,USDT/PAX,0.9989,0.9989,0.9986,0.9986,809.998477,808.9218132275
1655017200,2022-06-12 07:00:00,USDT/PAX,0.999,0.999,0.9987,0.9987,1990.606759,1988.2771206336
1655013600,2022-06-12 06:00:00,USDT/PAX,0.9986,0.9995,0.9985,0.9989,10654.66512859,10644.270874572205
1655010000,2022-06-12 05:00:00,USDT/PAX,0.9989,0.9995,0.9891,0.9985,40386.74555541,40280.146356428195
1655006400,2022-06-12 04:00:00,USDT/PAX,0.9988,0.9989,0.9984,0.9989,4977.956132,4971.6918598381
1655002800,2022-06-12 03:00:00,USDT/PAX,0.9988,0.9993,0.9988,0.9988,3193.39650838,3190.302915035934
1654999200,2022-06-12 02:00:00,USDT/PAX,0.999,0.9993,0.9986,0.9986,5371.06450899,5365.638881079008
1654995600,2022-06-12 01:00:00,USDT/PAX,0.999,0.9993,0.9989,0.9993,8582.491351,8574.6571440957
1654992000,2022-06-12 00:00:00,USDT/PAX,0.9985,0.999,0.9985,0.9985,40655.980146,40595.4114477705
1654988400,2022-06-11 23:00:00,USDT/PAX,0.9989,0.999,0.9986,0.9986,1190.135494,1188.6890454122
1654984800,2022-06-11 22:00:00,USDT/PAX,0.9988,0.9988,0.9986,0.9986,1217.504132,1215.9700724729
1654981200,2022-06-11 21:00:00,USDT/PAX,0.9987,0.9988,0.9987,0.9988,422.19103951,421.679392142837
1654977600,2022-06-11 20:00:00,USDT/PAX,0.9987,0.9987,0.9983,0.9983,3606.65271149,3601.631495069863
1654974000,2022-06-11 19:00:00,USDT/PAX,0.998,0.9987,0.9975,0.9987,25274.990091,25213.5221178579
1654970400,2022-06-11 18:00:00,USDT/PAX,0.9988,0.9988,0.9982,0.9988,2193.73579892,2190.756157119796
1654966800,2022-06-11 17:00:00,USDT/PAX,0.9984,0.9988,0.9984,0.9988,39.55382808,39.501259838204
1654963200,2022-06-11 16:00:00,USDT/PAX,0.9985,0.9988,0.9978,0.9988,6031.938931,6022.5866931215
1654959600,2022-06-11 15:00:00,USDT/PAX,0.9991,0.9992,0.9984,0.999,4650.34948034,4645.332424104039
1654956000,2022-06-11 14:00:00,USDT/PAX,0.999,0.9994,0.9982,0.9987,11650.873938,11636.5151653538
1654952400,2022-06-11 13:00:00,USDT/PAX,0.9988,0.999,0.9985,0.9986,10025.372736,10013.3839148705
1654948800,2022-06-11 12:00:00,USDT/PAX,0.9982,0.9991,0.998,0.9987,3999.864677,3994.2792605593
1654945200,2022-06-11 11:00:00,USDT/PAX,0.9993,0.9993,0.998,0.9991,22523.11603,22488.5238830382
1654941600,2022-06-11 10:00:00,USDT/PAX,0.9992,0.9994,0.9991,0.9991,1141.37311,1140.3761506595
1654938000,2022-06-11 09:00:00,USDT/PAX,0.9994,0.9994,0.9991,0.9993,5061.530435,5057.4225379927
1654934400,2022-06-11 08:00:00,USDT/PAX,0.9994,0.9994,0.9991,0.9993,1729.487371,1728.1066833765
1654930800,2022-06-11 07:00:00,USDT/PAX,0.9991,0.9992,0.999,0.9991,481.33196144,480.919510363448
1654927200,2022-06-11 06:00:00,USDT/PAX,0.9992,0.9992,0.9992,0.9992,239.876197,239.6842960424
1654923600,2022-06-11 05:00:00,USDT/PAX,0.9993,0.9993,0.9991,0.9993,1465.28111527,1464.053701709311
1654920000,2022-06-11 04:00:00,USDT/PAX,0.9993,0.9993,0.9993,0.9993,0,0
1654916400,2022-06-11 03:00:00,USDT/PAX,0.9991,0.9993,0.9991,0.9993,645.759113,645.26503259372
1654912800,2022-06-11 02:00:00,USDT/PAX,0.9993,0.9993,0.9991,0.9992,632.7316112,632.20428962474
1654909200,2022-06-11 01:00:00,USDT/PAX,0.999,0.999,0.999,0.999,0,0
1654905600,2022-06-11 00:00:00,USDT/PAX,0.9988,0.9992,0.9988,0.999,81.43877534,81.348583343528
1654902000,2022-06-10 23:00:00,USDT/PAX,0.9993,0.9994,0.9987,0.9993,1949.80251624,1948.487434855656
1654898400,2022-06-10 22:00:00,USDT/PAX,0.9993,0.9993,0.9987,0.9993,984.629286,983.363874618
1654894800,2022-06-10 21:00:00,USDT/PAX,0.999,0.9993,0.9987,0.9987,1982.127822,1980.676364592
1654891200,2022-06-10 20:00:00,USDT/PAX,0.9994,0.9994,0.9987,0.9987,310.11884,309.8626854576
1654887600,2022-06-10 19:00:00,USDT/PAX,0.9994,0.9994,0.9987,0.9987,200.90922952,200.788606961988
1654884000,2022-06-10 18:00:00,USDT/PAX,0.9992,0.9994,0.9987,0.9994,5240.41529443,5235.937648771742
1654880400,2022-06-10 17:00:00,USDT/PAX,0.9995,0.9996,0.9992,0.9992,664.032539,663.5043936084
1654876800,2022-06-10 16:00:00,USDT/PAX,0.9991,1.0005,0.999,0.9992,41147.589489,41133.2393352175
1654873200,2022-06-10 15:00:00,USDT/PAX,0.9991,0.9993,0.9989,0.9993,5391.373661,5385.9348954447
1654869600,2022-06-10 14:00:00,USDT/PAX,0.9995,0.9995,0.9989,0.9989,1462.90354501,1461.79118238325
1654866000,2022-06-10 13:00:00,USDT/PAX,0.9992,0.9996,0.9992,0.9993,1905.48035313,1904.292341923248
1654862400,2022-06-10 12:00:00,USDT/PAX,0.9995,1,0.9992,0.9992,11149.002368,11143.7859332069
1654858800,2022-06-10 11:00:00,USDT/PAX,0.9996,0.9996,0.9996,0.9996,0,0
1654855200,2022-06-10 10:00:00,USDT/PAX,0.9995,0.9996,0.9994,0.9996,969.613419,969.0806022825
1654851600,2022-06-10 09:00:00,USDT/PAX,0.9993,0.9996,0.9992,0.9996,3845.681741,3843.1513948319
1654848000,2022-06-10 08:00:00,USDT/PAX,0.9995,0.9998,0.9992,0.9996,2342.15075048,2341.241064336356
1654844400,2022-06-10 07:00:00,USDT/PAX,0.9995,1.0004,0.9994,0.9994,1753.368093,1752.5681829304
1654840800,2022-06-10 06:00:00,USDT/PAX,1,1,0.9993,0.9997,6654.921979,6651.8886662467
1654837200,2022-06-10 05:00:00,USDT/PAX,0.9993,0.9998,0.9992,0.9998,1787.28232933,1786.250991008068
1654833600,2022-06-10 04:00:00,USDT/PAX,0.9993,0.9994,0.9993,0.9994,420.025513,419.7524964185
1654830000,2022-06-10 03:00:00,USDT/PAX,0.9992,0.9995,0.9992,0.9992,636.01932182,635.57607412099
1654826400,2022-06-10 02:00:00,USDT/PAX,0.9995,0.9995,0.9995,0.9995,1.505765,1.5050121175
1654822800,2022-06-10 01:00:00,USDT/PAX,0.9995,0.9995,0.9992,0.9995,663.2484455,662.85810978265
1654819200,2022-06-10 00:00:00,USDT/PAX,0.9991,0.9998,0.9988,0.9995,5729.18311462,5725.921213881003
1654815600,2022-06-09 23:00:00,USDT/PAX,0.9995,0.9995,0.9991,0.9993,5.91000589,5.904884051055
1654812000,2022-06-09 22:00:00,USDT/PAX,0.9995,0.9995,0.9991,0.9991,469.25206436,468.95437062072
1654808400,2022-06-09 21:00:00,USDT/PAX,0.9993,0.9994,0.9991,0.9994,1932.499849,1931.218539953
1654804800,2022-06-09 20:00:00,USDT/PAX,0.9993,0.9993,0.999,0.9993,777.785271,777.1261012878
1654801200,2022-06-09 19:00:00,USDT/PAX,0.9991,0.9994,0.9991,0.9993,310.18738154,309.990511201476
1654797600,2022-06-09 18:00:00,USDT/PAX,0.9991,0.9995,0.999,0.999,5119.4065531,5115.68271214985
1654794000,2022-06-09 17:00:00,USDT/PAX,0.9991,0.9995,0.9991,0.9995,248.27898855,248.100632017325
1654790400,2022-06-09 16:00:00,USDT/PAX,0.9993,0.9995,0.999,0.9991,4050.57046893,4046.752404006235
1654786800,2022-06-09 15:00:00,USDT/PAX,0.9991,0.9994,0.9991,0.9993,217.133136,216.966764745
1654783200,2022-06-09 14:00:00,USDT/PAX,0.9996,1.0005,0.9994,0.9994,6227.389768,6224.6129089661
1654779600,2022-06-09 13:00:00,USDT/PAX,0.9994,1.0005,0.9994,0.9995,73031.51803707,73027.400863796407
