https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERSDL,Volume USDT
1663462800,2022-09-18 01:00:00,ERSDL/USDT,0.00625,0.00645,0.00625,0.00645,100000,637.731968742
1663459200,2022-09-18 00:00:00,ERSDL/USDT,0.00631,0.0065,0.00621,0.00621,471695.2133,2990.129214136
1663455600,2022-09-17 23:00:00,ERSDL/USDT,0.00621,0.0082,0.00621,0.00631,10247578.2489,70534.654370065
1663452000,2022-09-17 22:00:00,ERSDL/USDT,0.00614,0.00614,0.00614,0.00614,0,0
1663448400,2022-09-17 21:00:00,ERSDL/USDT,0.00614,0.00614,0.00614,0.00614,0,0
1663444800,2022-09-17 20:00:00,ERSDL/USDT,0.00615,0.00622,0.00614,0.00614,12820.8768,78.775178101
1663441200,2022-09-17 19:00:00,ERSDL/USDT,0.00621,0.00621,0.00616,0.00616,28748.9229,177.848149009
1663437600,2022-09-17 18:00:00,ERSDL/USDT,0.00621,0.00621,0.00621,0.00621,0,0
1663434000,2022-09-17 17:00:00,ERSDL/USDT,0.00621,0.00621,0.00621,0.00621,514.9646,3.197930166
1663430400,2022-09-17 16:00:00,ERSDL/USDT,0.00625,0.00626,0.00621,0.00625,6878.7687,42.908518769
1663426800,2022-09-17 15:00:00,ERSDL/USDT,0.00621,0.00621,0.00621,0.00621,3288.8707,20.423887047
1663423200,2022-09-17 14:00:00,ERSDL/USDT,0.0062,0.0063,0.0062,0.00621,89475.0854,558.450706365
1663419600,2022-09-17 13:00:00,ERSDL/USDT,0.00619,0.00619,0.00619,0.00619,610.1873,3.777059387
1663416000,2022-09-17 12:00:00,ERSDL/USDT,0.00619,0.00619,0.00619,0.00619,0,0
1663412400,2022-09-17 11:00:00,ERSDL/USDT,0.00614,0.00619,0.00609,0.00619,18978.6835,115.766109723
1663408800,2022-09-17 10:00:00,ERSDL/USDT,0.0061,0.0062,0.0061,0.0062,50490.7978,311.51515896
1663405200,2022-09-17 09:00:00,ERSDL/USDT,0.00603,0.0062,0.00583,0.00606,427768.246,2568.800901769
1663401600,2022-09-17 08:00:00,ERSDL/USDT,0.00603,0.00603,0.00603,0.00603,165.5721,0.998399763
1663398000,2022-09-17 07:00:00,ERSDL/USDT,0.00585,0.00603,0.00585,0.00603,221979.9623,1322.857809177
1663394400,2022-09-17 06:00:00,ERSDL/USDT,0.00579,0.00579,0.00579,0.00579,0,0
1663390800,2022-09-17 05:00:00,ERSDL/USDT,0.00579,0.00579,0.00579,0.00579,0,0
1663387200,2022-09-17 04:00:00,ERSDL/USDT,0.00579,0.00579,0.00579,0.00579,2812.2783,16.283091357
1663383600,2022-09-17 03:00:00,ERSDL/USDT,0.00579,0.00579,0.00579,0.00579,0,0
1663380000,2022-09-17 02:00:00,ERSDL/USDT,0.00585,0.00585,0.00579,0.00579,3153.4982,18.387499096
1663376400,2022-09-17 01:00:00,ERSDL/USDT,0.00585,0.00585,0.00585,0.00585,50.0014,0.29250819
1663372800,2022-09-17 00:00:00,ERSDL/USDT,0.00582,0.00585,0.00582,0.00585,854.6914,4.993255711
1663369200,2022-09-16 23:00:00,ERSDL/USDT,0.00583,0.00584,0.00578,0.00579,1120.0511,6.504186131
1663365600,2022-09-16 22:00:00,ERSDL/USDT,0.00582,0.00582,0.00582,0.00582,8328.8785,48.47407287
1663362000,2022-09-16 21:00:00,ERSDL/USDT,0.00577,0.00577,0.00577,0.00577,423.344,2.44269488
