https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATTER,Volume USDT
1663459200,2022-09-18 00:00:00,MATTER/USDT,0.1728,0.1728,0.1728,0.1728,1.254,0.2166912
1663372800,2022-09-17 00:00:00,MATTER/USDT,0.1699,0.1743,0.1699,0.1729,73110.3235,12581.67238566
1663286400,2022-09-16 00:00:00,MATTER/USDT,0.1703,0.1708,0.168,0.1686,16815.0838,2838.45544637
1663200000,2022-09-15 00:00:00,MATTER/USDT,0.1771,0.1771,0.1693,0.1696,36377.086,6253.10052775
1663113600,2022-09-14 00:00:00,MATTER/USDT,0.1763,0.1778,0.1747,0.1771,5940.5029,1048.11105691
1663027200,2022-09-13 00:00:00,MATTER/USDT,0.186,0.1878,0.1749,0.1759,65757.2521,11903.60810951
1662940800,2022-09-12 00:00:00,MATTER/USDT,0.1896,0.1905,0.1854,0.186,19004.05703505,3567.7197481493
1662854400,2022-09-11 00:00:00,MATTER/USDT,0.1878,0.1902,0.1865,0.1878,18932.89,3573.47756532
1662768000,2022-09-10 00:00:00,MATTER/USDT,0.1846,0.1889,0.1846,0.1889,4566.6554,856.74447061
1662681600,2022-09-09 00:00:00,MATTER/USDT,0.1829,0.187,0.1809,0.1849,24014.3221,4435.91218976
1662595200,2022-09-08 00:00:00,MATTER/USDT,0.1811,0.1835,0.1804,0.181,22825.6101,4161.6839547
1662508800,2022-09-07 00:00:00,MATTER/USDT,0.1794,0.1832,0.177,0.1804,25122.5269,4518.96002418
1662422400,2022-09-06 00:00:00,MATTER/USDT,0.1794,0.1847,0.179,0.1794,51406.491,9320.02267203
1662336000,2022-09-05 00:00:00,MATTER/USDT,0.1771,0.1797,0.177,0.1795,13215.454,2361.26113124
1662249600,2022-09-04 00:00:00,MATTER/USDT,0.1757,0.1783,0.1756,0.1781,3039.1532,539.09003732
1662163200,2022-09-03 00:00:00,MATTER/USDT,0.1811,0.1813,0.1757,0.176,901.3415,160.78865916
1662076800,2022-09-02 00:00:00,MATTER/USDT,0.1834,0.1845,0.1789,0.1811,28699.1806,5208.6326775
1661990400,2022-09-01 00:00:00,MATTER/USDT,0.1924,0.1924,0.1818,0.1849,102477.2659,18983.6025289
1661904000,2022-08-31 00:00:00,MATTER/USDT,0.1949,0.1979,0.1919,0.1919,13335.5483,2611.16817612
1661817600,2022-08-30 00:00:00,MATTER/USDT,0.2017,0.203,0.1918,0.1932,75637.7892,14932.01328069
1661731200,2022-08-29 00:00:00,MATTER/USDT,0.1986,0.2026,0.1984,0.2025,33599.4697,6729.5945386
1661644800,2022-08-28 00:00:00,MATTER/USDT,0.2046,0.2054,0.1989,0.199,26288.506,5334.39206018
1661558400,2022-08-27 00:00:00,MATTER/USDT,0.2093,0.2097,0.2038,0.2039,33199.2809,6846.16329066
1661472000,2022-08-26 00:00:00,MATTER/USDT,0.2217,0.2217,0.2092,0.2092,68083.679,14647.47668073
1661385600,2022-08-25 00:00:00,MATTER/USDT,0.2175,0.2222,0.2154,0.2217,8057.1131,1775.8501761
1661299200,2022-08-24 00:00:00,MATTER/USDT,0.2207,0.2207,0.2158,0.2158,11211.9182,2454.08456676
1661212800,2022-08-23 00:00:00,MATTER/USDT,0.2185,0.2215,0.2162,0.2208,14229.9847,3114.2068512
1661126400,2022-08-22 00:00:00,MATTER/USDT,0.2178,0.2179,0.2143,0.2178,20912.4216,4513.04444107
1661040000,2022-08-21 00:00:00,MATTER/USDT,0.224,0.224,0.2048,0.2187,35089.221,7660.29061942
1660953600,2022-08-20 00:00:00,MATTER/USDT,0.2322,0.2326,0.2203,0.223,55405.6182,12465.82968358
1660867200,2022-08-19 00:00:00,MATTER/USDT,0.2442,0.2449,0.23,0.2317,43064.3936,10190.38343988
1660780800,2022-08-18 00:00:00,MATTER/USDT,0.2543,0.2543,0.2442,0.2442,56887.202,14161.56721729
1660694400,2022-08-17 00:00:00,MATTER/USDT,0.2723,0.2752,0.252,0.2543,142685.2688,37282.53857629
1660608000,2022-08-16 00:00:00,MATTER/USDT,0.2759,0.2759,0.2723,0.2723,429.8749,117.60485525
1660521600,2022-08-15 00:00:00,MATTER/USDT,0.2809,0.2844,0.2761,0.2761,17338.1497,4883.4000562
1660435200,2022-08-14 00:00:00,MATTER/USDT,0.2857,0.2882,0.2803,0.281,177837.1473,50923.3633609
1660348800,2022-08-13 00:00:00,MATTER/USDT,0.2859,0.2914,0.2831,0.2858,560159.3433,160813.73797888
1660262400,2022-08-12 00:00:00,MATTER/USDT,0.2839,0.2874,0.2809,0.2869,376456.1406,106555.16516475
1660176000,2022-08-11 00:00:00,MATTER/USDT,0.2867,0.2917,0.2829,0.2836,385023.1663,111128.12276231
1660089600,2022-08-10 00:00:00,MATTER/USDT,0.2807,0.2887,0.2779,0.2858,575399.6788,162712.74861133
1660003200,2022-08-09 00:00:00,MATTER/USDT,0.2874,0.2882,0.28,0.2814,422373.5184,119232.81979542
