https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USDT
1663459200,2022-09-18 00:00:00,APE/USDT,5.6315,5.7219,5.5044,5.5103,141420.76621459,794238.441533786458
1663372800,2022-09-17 00:00:00,APE/USDT,4.6628,5.8033,4.6609,5.6274,1435637.58583229,7381610.390009734059
1663286400,2022-09-16 00:00:00,APE/USDT,4.9137,4.9794,4.5614,4.6629,961006.34103037,4568348.63083845776
1663200000,2022-09-15 00:00:00,APE/USDT,5.0993,5.3619,4.8589,4.9131,1930923.95414892,9843033.897337150889
1663113600,2022-09-14 00:00:00,APE/USDT,5.1363,5.2625,4.8148,5.101,1511299.32833033,7641139.367234282064
1663027200,2022-09-13 00:00:00,APE/USDT,5.488,5.896,5.0217,5.1384,2909361.90403784,16004547.435604636735
1662940800,2022-09-12 00:00:00,APE/USDT,5.6772,5.6772,5.2249,5.4891,1726437.55578378,9460688.097801584341
1662854400,2022-09-11 00:00:00,APE/USDT,5.0495,5.8257,4.9573,5.6777,2507301.84130324,13785114.849634673172
1662768000,2022-09-10 00:00:00,APE/USDT,5.0493,5.1218,4.916,5.0505,926981.67983626,4656182.981719215598
1662681600,2022-09-09 00:00:00,APE/USDT,4.501,5.2975,4.4931,5.0437,1905763.69063633,9646152.412982147487
1662595200,2022-09-08 00:00:00,APE/USDT,4.4229,4.5495,4.3521,4.4999,831929.66355011,3713343.075856595352
1662508800,2022-09-07 00:00:00,APE/USDT,4.3039,4.4748,4.1683,4.4209,763767.18162014,3304248.031628578378
1662422400,2022-09-06 00:00:00,APE/USDT,4.752,4.8136,4.28,4.3044,1283912.08778407,5861972.186241863466
1662336000,2022-09-05 00:00:00,APE/USDT,4.7997,4.8474,4.6283,4.7478,647887.83290123,3058499.459768819615
1662249600,2022-09-04 00:00:00,APE/USDT,4.7606,4.8166,4.7082,4.7982,688091.45808125,3282406.58484280194
1662163200,2022-09-03 00:00:00,APE/USDT,4.7017,4.7909,4.6699,4.7596,575328.34593373,2723268.391534993235
1662076800,2022-09-02 00:00:00,APE/USDT,4.7726,4.8695,4.6395,4.7043,1426157.81276255,6802154.233553815622
1661990400,2022-09-01 00:00:00,APE/USDT,4.7606,4.8103,4.598,4.7652,576276.77855398,2715511.133743688236
1661904000,2022-08-31 00:00:00,APE/USDT,4.8103,4.999,4.7231,4.7623,782440.97634082,3813680.599837331315
1661817600,2022-08-30 00:00:00,APE/USDT,4.9805,5.083,4.6715,4.8068,1202832.82772506,5860265.891184018813
1661731200,2022-08-29 00:00:00,APE/USDT,4.6482,5.0289,4.5896,4.9864,1264138.9104848,6107110.976089697972
1661644800,2022-08-28 00:00:00,APE/USDT,4.7562,5.073,4.6143,4.647,1332736.09730884,6437319.75758790343
1661558400,2022-08-27 00:00:00,APE/USDT,4.774,4.84,4.6603,4.7552,1492167.35253055,7100454.144541173888
1661472000,2022-08-26 00:00:00,APE/USDT,5.3777,5.3823,4.6882,4.7755,1904709.78237808,9643584.302775260515
1661385600,2022-08-25 00:00:00,APE/USDT,5.3114,5.4947,5.1774,5.3764,900522.03910831,4812493.131453457359
1661299200,2022-08-24 00:00:00,APE/USDT,5.2537,5.5916,5.0633,5.314,1440598.78011612,7738346.050616223867
1661212800,2022-08-23 00:00:00,APE/USDT,5.2079,5.304,5.008,5.2522,1074203.26978022,5585682.596063553638
1661126400,2022-08-22 00:00:00,APE/USDT,5.1927,5.2179,4.9014,5.2052,1400587.33105856,7081381.599580144622
1661040000,2022-08-21 00:00:00,APE/USDT,5.0327,5.3362,4.865,5.1944,1456364.00450336,7479495.822144762661
1660953600,2022-08-20 00:00:00,APE/USDT,5.1071,5.3359,4.845,5.0327,1611384.6639561,8264410.138311564722
1660867200,2022-08-19 00:00:00,APE/USDT,5.7701,5.801,5.0743,5.1079,2836996.66564526,15402819.786129414477
1660780800,2022-08-18 00:00:00,APE/USDT,6.1079,6.4261,5.5045,5.7701,1739000.92265513,10535574.932949133906
1660694400,2022-08-17 00:00:00,APE/USDT,6.1949,6.4358,5.94,6.1025,1247504.04399776,7711552.700269790702
1660608000,2022-08-16 00:00:00,APE/USDT,6.2113,6.3597,6.1066,6.1929,661307.48651616,4117739.099443458798
1660521600,2022-08-15 00:00:00,APE/USDT,6.3699,6.8039,6.0577,6.2138,1357580.68999395,8714929.136443832054
1660435200,2022-08-14 00:00:00,APE/USDT,6.6541,6.892,6.3392,6.3679,1082790.68324357,7151030.929311235561
1660348800,2022-08-13 00:00:00,APE/USDT,7.0292,7.15,6.5558,6.6555,1042552.13977138,7213979.521124459506
1660262400,2022-08-12 00:00:00,APE/USDT,6.92,7.1017,6.7329,7.03,987612.0480497,6814874.467697839659
1660176000,2022-08-11 00:00:00,APE/USDT,7.1184,7.2812,6.7938,6.9116,1705886.95786778,12012036.833616866922
1660089600,2022-08-10 00:00:00,APE/USDT,7.0239,7.3207,6.6529,7.1171,2520984.41069594,17634657.274173738899
1660003200,2022-08-09 00:00:00,APE/USDT,7.3142,7.4814,6.8091,7.0234,1608404.39365977,11472069.764093891247
1659916800,2022-08-08 00:00:00,APE/USDT,7.2092,7.5627,7.178,7.3192,1015857.48106759,7483154.261754915641
1659830400,2022-08-07 00:00:00,APE/USDT,7.2643,7.3727,7.1049,7.2106,806665.5452477,5856333.169126609901
1659744000,2022-08-06 00:00:00,APE/USDT,7.5762,7.59,7.2167,7.2551,1050417.4551899,7786089.370781957379
1659657600,2022-08-05 00:00:00,APE/USDT,7.4349,7.7097,7.3334,7.5767,1570783.46877176,11783168.615721238986
1659571200,2022-08-04 00:00:00,APE/USDT,7.1665,7.7281,7.1104,7.4279,2743913.62305861,20333835.11554572912
1659484800,2022-08-03 00:00:00,APE/USDT,6.6391,7.495,6.5619,7.1682,2773206.85008475,19852443.487188366856
1659398400,2022-08-02 00:00:00,APE/USDT,6.6373,6.9987,6.2094,6.6381,2559535.72191609,16848009.811784008423
1659312000,2022-08-01 00:00:00,APE/USDT,6.7162,7.275,6.4645,6.6405,2597681.45848946,17866853.426981239816
1659225600,2022-07-31 00:00:00,APE/USDT,6.6923,7.3037,6.6042,6.72,1830488.28965034,12622689.464479392966
1659139200,2022-07-30 00:00:00,APE/USDT,6.6716,7.1296,6.5856,6.6919,2390047.27274847,16248675.614681427496
1659052800,2022-07-29 00:00:00,APE/USDT,6.9245,7.163,6.5199,6.6679,2715458.60420252,18542244.878024983335
1658966400,2022-07-28 00:00:00,APE/USDT,6.8262,7.215,6.3153,6.9231,4481871.09124789,30458115.088293926889
1658880000,2022-07-27 00:00:00,APE/USDT,5.7594,6.9135,5.6323,6.8239,3359731.34695747,20708250.330964149868
1658793600,2022-07-26 00:00:00,APE/USDT,5.9983,6.057,5.4282,5.756,2264461.04405915,13026634.250902988563
1658707200,2022-07-25 00:00:00,APE/USDT,6.4437,6.6562,5.98,5.9981,2645427.06986068,16628188.742432433928
1658620800,2022-07-24 00:00:00,APE/USDT,6.646,6.9384,6.427,6.4422,1786214.42108493,11766638.071973073515
1658534400,2022-07-23 00:00:00,APE/USDT,6.1929,6.8936,6.1284,6.6441,2758175.05035158,17854293.574939359488
1658448000,2022-07-22 00:00:00,APE/USDT,6.4194,6.935,6.1744,6.1929,3787365.9934943,25108609.413787525166
1658361600,2022-07-21 00:00:00,APE/USDT,5.8707,6.5482,5.633,6.4212,2726330.42088624,16331803.911741173882
1658275200,2022-07-20 00:00:00,APE/USDT,6.0756,6.5085,5.8125,5.8708,3417912.92441242,21059589.803149392126
1658188800,2022-07-19 00:00:00,APE/USDT,5.9879,6.349,5.6265,6.0772,4364838.23683119,26214932.790729649342
1658102400,2022-07-18 00:00:00,APE/USDT,4.9745,6.2955,4.9729,5.988,5270387.95675603,29955316.98058973783
1658016000,2022-07-17 00:00:00,APE/USDT,4.7692,5.17,4.64,4.9742,2395470.19828209,11886663.241779599391
1657929600,2022-07-16 00:00:00,APE/USDT,4.6013,4.8864,4.4489,4.7713,1551364.95367484,7262126.483876065963
1657843200,2022-07-15 00:00:00,APE/USDT,4.6868,4.825,4.5266,4.6035,1897789.60527877,8869978.557772516056
1657756800,2022-07-14 00:00:00,APE/USDT,4.5804,4.8851,4.3342,4.6864,2371784.39399407,10809123.81451207282
1657670400,2022-07-13 00:00:00,APE/USDT,4.2428,4.5986,4.1825,4.5882,3346954.41987952,14717347.906147024637
1657584000,2022-07-12 00:00:00,APE/USDT,4.336,4.3974,4.1787,4.2435,1540538.7241327,6608955.521214247673
1657497600,2022-07-11 00:00:00,APE/USDT,4.7825,4.7833,4.28,4.3393,1943556.96076341,8830505.620101993434
1657411200,2022-07-10 00:00:00,APE/USDT,5.0137,5.0472,4.7021,4.7817,1323260.87466729,6426807.213531873154
1657324800,2022-07-09 00:00:00,APE/USDT,4.9455,5.0966,4.9455,5.0121,806693.20401439,4050583.574018763343
1657238400,2022-07-08 00:00:00,APE/USDT,5.1107,5.3012,4.912,4.9461,2102576.64163397,10658589.033360717719
1657152000,2022-07-07 00:00:00,APE/USDT,5.0218,5.2493,4.886,5.1065,2338793.52088732,11882957.604658464139
1657065600,2022-07-06 00:00:00,APE/USDT,4.9152,5.1651,4.7567,5.0221,3140724.71541853,15573741.570784686092
1656979200,2022-07-05 00:00:00,APE/USDT,4.9241,5.0996,4.6148,4.9158,3610075.63731042,17645340.105900133755
1656892800,2022-07-04 00:00:00,APE/USDT,4.5711,4.9507,4.4113,4.9224,2593616.517397,12016437.734501990807
1656806400,2022-07-03 00:00:00,APE/USDT,4.5216,4.7179,4.4697,4.5712,2184399.26626912,10019531.223472622407
1656720000,2022-07-02 00:00:00,APE/USDT,4.5344,4.6388,4.363,4.5183,2603202.08959278,11638439.421031208231
1656633600,2022-07-01 00:00:00,APE/USDT,4.6363,4.8244,4.353,4.5325,4112196.23885635,18674973.12221857487
1656547200,2022-06-30 00:00:00,APE/USDT,4.6991,4.7571,4.2157,4.6296,3729911.21972396,16475157.988001998419
1656460800,2022-06-29 00:00:00,APE/USDT,4.9013,5.137,4.6035,4.6935,4368030.84713244,21062590.305988734959
1656374400,2022-06-28 00:00:00,APE/USDT,5.1207,5.6,4.7942,4.9025,6880661.84256776,35823902.370480073417
1656288000,2022-06-27 00:00:00,APE/USDT,4.694,5.2598,4.6572,5.1177,3784243.58913007,18623465.335099141187
1656201600,2022-06-26 00:00:00,APE/USDT,4.5579,5.303,4.5128,4.6955,4885524.33606058,24412464.262098811074
1656115200,2022-06-25 00:00:00,APE/USDT,4.4871,4.6787,4.2841,4.5562,2841662.45533517,12723316.918028006895
1656028800,2022-06-24 00:00:00,APE/USDT,4.3906,4.7297,4.3508,4.4857,2958657.8353381,13299799.806969051433
1655942400,2022-06-23 00:00:00,APE/USDT,3.9783,4.487,3.9591,4.3922,2901268.361922,12459478.371209453022
1655856000,2022-06-22 00:00:00,APE/USDT,4.3982,4.4053,3.95,3.9727,3348955.6715111,13951705.642535769132
1655769600,2022-06-21 00:00:00,APE/USDT,4.4892,4.8598,4.3222,4.397,5299348.24233423,24358222.022523992173
1655683200,2022-06-20 00:00:00,APE/USDT,4.1305,4.8404,3.8542,4.4903,5978167.65279195,26175453.161742472005
1655596800,2022-06-19 00:00:00,APE/USDT,3.6226,4.524,3.3686,4.1354,5887226.67230221,22880359.975820728
1655510400,2022-06-18 00:00:00,APE/USDT,3.7451,3.867,3.1184,3.6201,5853546.95749797,20282847.279739660468
1655424000,2022-06-17 00:00:00,APE/USDT,3.3773,3.8482,3.3447,3.7469,3786238.22667753,13620134.369489264791
1655337600,2022-06-16 00:00:00,APE/USDT,4.162,4.3025,3.2955,3.377,5135823.26293054,18939051.663589048237
1655251200,2022-06-15 00:00:00,APE/USDT,3.616,4.2826,3.0662,4.1602,5854865.36565438,20510611.379360234347
1655164800,2022-06-14 00:00:00,APE/USDT,3.4865,4.1,3.25,3.6113,4685560.95954107,16920028.991673187311
1655078400,2022-06-13 00:00:00,APE/USDT,3.8866,3.99,3.2081,3.4854,7702141.96113877,27517204.591265471498
1654992000,2022-06-12 00:00:00,APE/USDT,4.7463,4.7979,3.8726,3.8884,3802528.45130722,16373592.091464473759
1654905600,2022-06-11 00:00:00,APE/USDT,5.1727,5.5968,4.6794,4.7458,2700435.47912063,13457891.980123160241
1654819200,2022-06-10 00:00:00,APE/USDT,5.7198,5.7412,5.1218,5.1732,2165775.19490917,11800507.70872159969
1654732800,2022-06-09 00:00:00,APE/USDT,5.7092,5.9208,5.6534,5.7219,1166500.18525191,6751279.431829908251
