https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WIN,Volume USDT
1663459200,2022-09-18 00:00:00,WIN/USDT,0.00010469,0.00010472,0.000104,0.00010417,388374951.58754754,40485.409447472692652
1663372800,2022-09-17 00:00:00,WIN/USDT,0.0001004,0.00010531,0.00010036,0.00010469,11874998179.83520392,1218704.9477430625721432
1663286400,2022-09-16 00:00:00,WIN/USDT,0.00010058,0.00010182,0.00009934,0.00010042,12355404623.48833753,1245706.8890423410621788
1663200000,2022-09-15 00:00:00,WIN/USDT,0.00010401,0.00010557,0.00010011,0.00010061,11288782798.77543258,1160481.4650099020213574
1663113600,2022-09-14 00:00:00,WIN/USDT,0.00010349,0.00010567,0.0001028,0.00010403,10503537228.78001272,1094130.2910177494014372
1663027200,2022-09-13 00:00:00,WIN/USDT,0.00010915,0.00010993,0.00010243,0.00010346,12082902614.23207412,1286736.3923165642942263
1662940800,2022-09-12 00:00:00,WIN/USDT,0.00010987,0.000112,0.00010834,0.00010929,14240679995.97613363,1568027.7172039142879654
1662854400,2022-09-11 00:00:00,WIN/USDT,0.00011026,0.00011153,0.00010866,0.00010993,13348346860.70025706,1468575.3502312271143566
1662768000,2022-09-10 00:00:00,WIN/USDT,0.00011033,0.00011135,0.00010784,0.00011028,13452631108.85221662,1478971.224722785963438
1662681600,2022-09-09 00:00:00,WIN/USDT,0.00010556,0.00011078,0.00010514,0.00011031,14490376911.63649675,1565048.0787554086662186
1662595200,2022-09-08 00:00:00,WIN/USDT,0.0001048,0.00010565,0.00010313,0.00010555,13842528873.40151892,1446966.4099191728543032
1662508800,2022-09-07 00:00:00,WIN/USDT,0.00010172,0.00010567,0.00010051,0.00010479,12932249601.81193155,1337006.7968047462766079
1662422400,2022-09-06 00:00:00,WIN/USDT,0.00010796,0.00011039,0.00010112,0.00010173,14923131214.82589677,1587851.6034628521057921
1662336000,2022-09-05 00:00:00,WIN/USDT,0.00011097,0.00011141,0.00010705,0.000108,8459148682.09537549,915792.4825905519237595
1662249600,2022-09-04 00:00:00,WIN/USDT,0.00010647,0.00011456,0.00010606,0.00011098,12583230566.52295848,1366630.7521128168244191
1662163200,2022-09-03 00:00:00,WIN/USDT,0.00010566,0.00010793,0.00010475,0.00010649,8608334555.3873399,913569.9148103480002946
1662076800,2022-09-02 00:00:00,WIN/USDT,0.00010904,0.0001101,0.00010527,0.00010567,8873588499.99438316,960348.4973419730927474
1661990400,2022-09-01 00:00:00,WIN/USDT,0.00011298,0.00011431,0.0001071,0.00010905,12520514644.29029879,1373911.1915159149195985
1661904000,2022-08-31 00:00:00,WIN/USDT,0.00011974,0.0001217,0.0001121,0.00011308,9415850721.68666645,1110508.3771603762751442
1661817600,2022-08-30 00:00:00,WIN/USDT,0.00012065,0.00012359,0.00011657,0.00011975,9700018595.20158158,1165562.5039852393801318
1661731200,2022-08-29 00:00:00,WIN/USDT,0.00011814,0.00012141,0.00011641,0.00012064,7301416128.98937529,869246.7149198688444148
1661644800,2022-08-28 00:00:00,WIN/USDT,0.00012267,0.000123,0.00011801,0.00011801,4926701391.53873427,597361.6377283240430305
1661558400,2022-08-27 00:00:00,WIN/USDT,0.00011933,0.00012318,0.00011869,0.00012264,6133116753.50122417,740289.5176731377495581
1661472000,2022-08-26 00:00:00,WIN/USDT,0.00012912,0.00012915,0.00011865,0.00011921,8292798511.61005673,1035177.5295159983432692
