https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DATA,Volume USDT
1663459200,2022-09-18 00:00:00,DATA/USDT,0.0318,0.0318,0.0317,0.03173,2509.6341,79.633114192
1663372800,2022-09-17 00:00:00,DATA/USDT,0.03105,0.03415,0.0308,0.03192,1396138.4791,45231.289557133
1663286400,2022-09-16 00:00:00,DATA/USDT,0.02969,0.0316,0.0295,0.03091,680375.265,20951.010612467
1663200000,2022-09-15 00:00:00,DATA/USDT,0.03027,0.03049,0.0291,0.02969,342910.7471,10282.320000993
1663113600,2022-09-14 00:00:00,DATA/USDT,0.03051,0.0312,0.0297,0.0303,502885.1699,15455.06856293
1663027200,2022-09-13 00:00:00,DATA/USDT,0.03411,0.03411,0.03051,0.03051,301909.7416,9947.332923832
1662940800,2022-09-12 00:00:00,DATA/USDT,0.03254,0.03654,0.03228,0.03391,1024724.1702,35340.894130277
1662854400,2022-09-11 00:00:00,DATA/USDT,0.03235,0.03314,0.03168,0.03269,655236.4825,21281.895138522
1662768000,2022-09-10 00:00:00,DATA/USDT,0.03206,0.0323,0.03163,0.0323,150543.6007,4824.337084166
1662681600,2022-09-09 00:00:00,DATA/USDT,0.03129,0.03256,0.03124,0.032,167815.1364,5389.678942749
1662595200,2022-09-08 00:00:00,DATA/USDT,0.02983,0.0342,0.02887,0.03123,1003264.6495,30727.942621112
1662508800,2022-09-07 00:00:00,DATA/USDT,0.02904,0.0313,0.02833,0.0299,811970.1551,24148.858988425
1662422400,2022-09-06 00:00:00,DATA/USDT,0.0311,0.03159,0.029,0.02905,473531.2145,14528.726360867
1662336000,2022-09-05 00:00:00,DATA/USDT,0.0308,0.03168,0.02931,0.031,359908.1437,10973.607144568
1662249600,2022-09-04 00:00:00,DATA/USDT,0.03059,0.03091,0.0299,0.0309,251720.8132,7646.304133283
1662163200,2022-09-03 00:00:00,DATA/USDT,0.0304,0.03074,0.0302,0.03067,166575.7838,5065.199344334
1662076800,2022-09-02 00:00:00,DATA/USDT,0.03069,0.03108,0.03001,0.03048,111557.0429,3393.140195964
1661990400,2022-09-01 00:00:00,DATA/USDT,0.03072,0.0309,0.0296,0.0306,113959.271,3426.55135538
1661904000,2022-08-31 00:00:00,DATA/USDT,0.0302,0.03119,0.0302,0.0307,39699.4148,1223.202036292
1661817600,2022-08-30 00:00:00,DATA/USDT,0.03136,0.03178,0.0298,0.0301,276351.8498,8526.235519274
1661731200,2022-08-29 00:00:00,DATA/USDT,0.02926,0.03143,0.02917,0.03138,181807.1649,5547.789748804
1661644800,2022-08-28 00:00:00,DATA/USDT,0.0308,0.03131,0.02917,0.02924,234659.9694,7248.990881204
1661558400,2022-08-27 00:00:00,DATA/USDT,0.02993,0.03178,0.02984,0.03084,411675.0542,12722.653456947
1661472000,2022-08-26 00:00:00,DATA/USDT,0.0318,0.03345,0.02993,0.02993,433641.2043,13708.049439766
1661385600,2022-08-25 00:00:00,DATA/USDT,0.03209,0.03447,0.03085,0.03175,1437714.5181,46626.450257788
1661299200,2022-08-24 00:00:00,DATA/USDT,0.03193,0.03314,0.0312,0.0322,436146.1474,13967.493701419
1661212800,2022-08-23 00:00:00,DATA/USDT,0.02988,0.03279,0.02928,0.03182,750873.4769,23467.5369735
1661126400,2022-08-22 00:00:00,DATA/USDT,0.031,0.03118,0.02893,0.02986,246577.4151,7339.597976629
1661040000,2022-08-21 00:00:00,DATA/USDT,0.03041,0.03142,0.03039,0.03112,69587.5468,2146.476052396
1660953600,2022-08-20 00:00:00,DATA/USDT,0.03039,0.0323,0.02994,0.0305,587604.2724,18342.062925955
1660867200,2022-08-19 00:00:00,DATA/USDT,0.0339,0.0339,0.03005,0.03038,411045.0772,12971.071718178
1660780800,2022-08-18 00:00:00,DATA/USDT,0.03534,0.036,0.03313,0.03409,344508.4182,12137.281061353
1660694400,2022-08-17 00:00:00,DATA/USDT,0.03773,0.0384,0.03522,0.03542,376782.1166,13723.377839813
1660608000,2022-08-16 00:00:00,DATA/USDT,0.03884,0.03901,0.03773,0.03773,469239.2923,17885.653407208
1660521600,2022-08-15 00:00:00,DATA/USDT,0.0381,0.04085,0.0375,0.03891,1290172.3935,50145.774915416
1660435200,2022-08-14 00:00:00,DATA/USDT,0.0403,0.04185,0.03792,0.03815,1014985.3831,40317.729748064
1660348800,2022-08-13 00:00:00,DATA/USDT,0.03896,0.04105,0.03838,0.0403,532382.1841,21190.771519255
1660262400,2022-08-12 00:00:00,DATA/USDT,0.03839,0.03942,0.0379,0.03916,147172.7235,5678.545118258
1660176000,2022-08-11 00:00:00,DATA/USDT,0.03831,0.03919,0.03796,0.0382,319821.8422,12314.923389238
1660089600,2022-08-10 00:00:00,DATA/USDT,0.03667,0.0387,0.0344,0.03817,686027.6265,24940.151479872
1660003200,2022-08-09 00:00:00,DATA/USDT,0.03932,0.0401,0.03644,0.03672,331886.2491,12525.122520254
1659916800,2022-08-08 00:00:00,DATA/USDT,0.03899,0.04048,0.03884,0.03948,424057.4436,16912.361747615
1659830400,2022-08-07 00:00:00,DATA/USDT,0.03925,0.03978,0.03894,0.03906,347466.4985,13646.948176555
1659744000,2022-08-06 00:00:00,DATA/USDT,0.03989,0.0401,0.03929,0.03948,197254.768,7834.324934298
1659657600,2022-08-05 00:00:00,DATA/USDT,0.03889,0.04019,0.03881,0.03992,230900.4154,9146.175114889
1659571200,2022-08-04 00:00:00,DATA/USDT,0.03968,0.04,0.0387,0.0389,456348.55564984,17907.9308159101976
1659484800,2022-08-03 00:00:00,DATA/USDT,0.03889,0.042,0.03826,0.03968,1924651.0878,77379.6662672
1659398400,2022-08-02 00:00:00,DATA/USDT,0.03795,0.0427,0.03646,0.0388,1011960.3274,38798.822007227
1659312000,2022-08-01 00:00:00,DATA/USDT,0.03755,0.03868,0.037,0.03768,457297.0734,17349.884416198
1659225600,2022-07-31 00:00:00,DATA/USDT,0.03822,0.04081,0.03697,0.03733,938433.2071,37089.488158601
1659139200,2022-07-30 00:00:00,DATA/USDT,0.03732,0.04254,0.0369,0.03818,1356781.7337,53134.571251749
1659052800,2022-07-29 00:00:00,DATA/USDT,0.03703,0.03768,0.03502,0.03714,2079513.4171,75661.947729949
1658966400,2022-07-28 00:00:00,DATA/USDT,0.03475,0.03887,0.03443,0.03706,3285123.5815,120179.26396101
1658880000,2022-07-27 00:00:00,DATA/USDT,0.03253,0.03485,0.03227,0.03484,595652.6134,19898.078050718
