https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ILA,Volume USDT
1663459200,2022-09-18 00:00:00,ILA/USDT,0.002708,0.00281,0.002708,0.002775,497257.7695,1390.904206785
1663455600,2022-09-17 23:00:00,ILA/USDT,0.0028,0.0028,0.0027,0.002736,553144.3367,1523.3015807312
1663452000,2022-09-17 22:00:00,ILA/USDT,0.002683,0.0028,0.002683,0.0028,871488.1432,2365.2993727924
1663448400,2022-09-17 21:00:00,ILA/USDT,0.002683,0.002683,0.002682,0.002682,2400.3835,6.4396912999
1663444800,2022-09-17 20:00:00,ILA/USDT,0.002684,0.002684,0.002682,0.002682,5763.0878,15.4679603357
1663441200,2022-09-17 19:00:00,ILA/USDT,0.002684,0.002691,0.002684,0.002684,50127.3559,134.8019495832
1663437600,2022-09-17 18:00:00,ILA/USDT,0.002691,0.002691,0.002691,0.002691,28441.5859,76.5363076569
1663434000,2022-09-17 17:00:00,ILA/USDT,0.002703,0.002703,0.002684,0.002691,150068.5431,403.6694582796
1663430400,2022-09-17 16:00:00,ILA/USDT,0.00272,0.00272,0.002707,0.002707,16853.6283,45.6735372303
1663426800,2022-09-17 15:00:00,ILA/USDT,0.00272,0.00272,0.00272,0.00272,367.6471,1.000000112
1663423200,2022-09-17 14:00:00,ILA/USDT,0.002795,0.002795,0.00233,0.002684,4588798.8253,11784.5974373401
1663419600,2022-09-17 13:00:00,ILA/USDT,0.002795,0.002795,0.002795,0.002795,0,0
1663416000,2022-09-17 12:00:00,ILA/USDT,0.002795,0.002795,0.002795,0.002795,15739.0796,43.990727482
1663412400,2022-09-17 11:00:00,ILA/USDT,0.002795,0.002795,0.002795,0.002795,2359.6859,6.5953220905
1663408800,2022-09-17 10:00:00,ILA/USDT,0.002795,0.002795,0.002795,0.002795,12589.715,35.188253425
1663405200,2022-09-17 09:00:00,ILA/USDT,0.002813,0.002827,0.002795,0.002827,36567.5419,102.2183975577
1663401600,2022-09-17 08:00:00,ILA/USDT,0.002832,0.002832,0.002832,0.002832,309.4293,0.8763037776
1663398000,2022-09-17 07:00:00,ILA/USDT,0.002827,0.002838,0.002827,0.002838,906.8722,2.5711328414
1663394400,2022-09-17 06:00:00,ILA/USDT,0.002795,0.002795,0.002795,0.002795,866.2103,2.4210577885
1663390800,2022-09-17 05:00:00,ILA/USDT,0.002796,0.002835,0.002795,0.002795,91110.25,254.9365386296
1663387200,2022-09-17 04:00:00,ILA/USDT,0.002796,0.002796,0.002796,0.002796,35.7654,0.1000000584
1663383600,2022-09-17 03:00:00,ILA/USDT,0.00279,0.002795,0.00279,0.002795,1334.8816,3.7261127054
1663380000,2022-09-17 02:00:00,ILA/USDT,0.00276,0.00276,0.00276,0.00276,0,0
1663376400,2022-09-17 01:00:00,ILA/USDT,0.00276,0.00276,0.00276,0.00276,37.7188,0.104103888
1663372800,2022-09-17 00:00:00,ILA/USDT,0.002756,0.002788,0.002756,0.002788,18952.6802,52.6019135451
1663369200,2022-09-16 23:00:00,ILA/USDT,0.002756,0.002756,0.002756,0.002756,0,0
1663365600,2022-09-16 22:00:00,ILA/USDT,0.002756,0.002756,0.002756,0.002756,0,0
1663362000,2022-09-16 21:00:00,ILA/USDT,0.002744,0.002756,0.002744,0.002756,795.159,2.184571089
1663358400,2022-09-16 20:00:00,ILA/USDT,0.00274,0.00274,0.00274,0.00274,0,0
1663354800,2022-09-16 19:00:00,ILA/USDT,0.00274,0.00274,0.00274,0.00274,120.133,0.32916442
1663351200,2022-09-16 18:00:00,ILA/USDT,0.00274,0.00274,0.00274,0.00274,0,0
1663347600,2022-09-16 17:00:00,ILA/USDT,0.00276,0.00276,0.002701,0.00274,7227.8072,19.7417408875
1663344000,2022-09-16 16:00:00,ILA/USDT,0.002712,0.002789,0.0027,0.002789,208997.7316,581.4996054327
1663340400,2022-09-16 15:00:00,ILA/USDT,0.002712,0.002712,0.002712,0.002712,0,0
1663336800,2022-09-16 14:00:00,ILA/USDT,0.002711,0.002712,0.002711,0.002712,4084.419,11.0769020131
1663333200,2022-09-16 13:00:00,ILA/USDT,0.002712,0.002731,0.002708,0.002731,13967.9743,37.9922481656
