https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELT,Volume USDT
1663459200,2022-09-18 00:00:00,CELT/USDT,0.002497,0.002501,0.002485,0.002501,2227947.4582,5572.0245804566
1663372800,2022-09-17 00:00:00,CELT/USDT,0.002544,0.00258,0.002453,0.002473,5263582.6574,13325.7709009114
1663286400,2022-09-16 00:00:00,CELT/USDT,0.00263,0.00263,0.002453,0.002533,10659350.7849,26634.3911633222
1663200000,2022-09-15 00:00:00,CELT/USDT,0.002661,0.002718,0.002602,0.00263,529740.0983,1415.9730819181
1663113600,2022-09-14 00:00:00,CELT/USDT,0.002737,0.0028,0.002583,0.002661,8094976.243,21788.3955673726
1663027200,2022-09-13 00:00:00,CELT/USDT,0.002906,0.002929,0.002636,0.002737,3753215.0733,10364.6289450164
1662940800,2022-09-12 00:00:00,CELT/USDT,0.003026,0.003029,0.002843,0.002902,514767.5104,1515.814144354
1662854400,2022-09-11 00:00:00,CELT/USDT,0.002923,0.003139,0.002923,0.003026,8057949.8037,24068.3526480271
1662768000,2022-09-10 00:00:00,CELT/USDT,0.002997,0.003239,0.002865,0.002923,8514855.9055,26021.1075292421
1662681600,2022-09-09 00:00:00,CELT/USDT,0.002827,0.003029,0.002733,0.002965,9824346.5677,28338.3976914028
1662595200,2022-09-08 00:00:00,CELT/USDT,0.002873,0.003,0.002733,0.002821,3415644.5953,9942.9250248912
1662508800,2022-09-07 00:00:00,CELT/USDT,0.002869,0.003025,0.0027,0.002838,8370291.6692,23655.4466663515
1662422400,2022-09-06 00:00:00,CELT/USDT,0.003231,0.00327,0.00284,0.002869,5337009.6306,16491.1168781756
1662336000,2022-09-05 00:00:00,CELT/USDT,0.003265,0.003331,0.00311,0.003227,6508247.1912,21382.6321901876
1662249600,2022-09-04 00:00:00,CELT/USDT,0.003281,0.003502,0.003237,0.003284,8058138.2226,26729.2581769091
1662163200,2022-09-03 00:00:00,CELT/USDT,0.003313,0.003476,0.003168,0.003245,4728109.7405,15923.573918879
1662076800,2022-09-02 00:00:00,CELT/USDT,0.003344,0.003416,0.003135,0.003278,3946794.8696,12991.9568150048
1661990400,2022-09-01 00:00:00,CELT/USDT,0.003367,0.003434,0.00321,0.003383,12082724.373,40206.8967756594
1661904000,2022-08-31 00:00:00,CELT/USDT,0.003351,0.003464,0.003327,0.003344,1890714.7712,6402.5994515981
1661817600,2022-08-30 00:00:00,CELT/USDT,0.003621,0.003699,0.003311,0.003346,4142813.13918168,14581.4659478202858
1661731200,2022-08-29 00:00:00,CELT/USDT,0.003645,0.0038,0.00351,0.003632,17588325.19809128,63229.19410955362082
1661644800,2022-08-28 00:00:00,CELT/USDT,0.003629,0.003659,0.003514,0.003645,5584834.60899159,20016.48594253228569
1661558400,2022-08-27 00:00:00,CELT/USDT,0.00356,0.004244,0.0035,0.003629,127687769.85020004,500229.8346974160337
1661472000,2022-08-26 00:00:00,CELT/USDT,0.00372,0.003799,0.00356,0.00356,7894493.98703745,28971.40474375473735
1661385600,2022-08-25 00:00:00,CELT/USDT,0.0039,0.003966,0.00365,0.003723,5626376.72351059,21343.21358903375584
1661299200,2022-08-24 00:00:00,CELT/USDT,0.00384,0.004,0.00371,0.0039,10359313.87505535,39905.50902875235843
1661212800,2022-08-23 00:00:00,CELT/USDT,0.003714,0.0039,0.003663,0.00384,8297910.65771886,31788.6486304082973
1661126400,2022-08-22 00:00:00,CELT/USDT,0.00385,0.00385,0.003567,0.003714,1699097.42219227,6266.63054257044472
