https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KZT,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/KZT,9203205.21,9293237.25,9183415.0,9195435.5,1344372.6701,0.1462
1663459200000,2022-09-18 00:00:00,BTC/KZT,9400361.69,9503812.99,9055512.31,9234798.18,26172477.919907115,2.83411477
1663372800000,2022-09-17 00:00:00,BTC/KZT,9397752.5,9506182.0,9028248.77,9501481.38,27193293.772989057,2.86200569
1663286400000,2022-09-16 00:00:00,BTC/KZT,9148339.7,9445498.25,9049616.14,9186428.14,26470692.68541,2.8815
1663200000000,2022-09-15 00:00:00,BTC/KZT,9291756.78,9555279.31,9113064.23,9235586.38,25681395.046866003,2.7807
1663113600000,2022-09-14 00:00:00,BTC/KZT,9365899.6,9863702.17,9113130.31,9508732.27,28354728.69359477,2.9819673
1663027200000,2022-09-13 00:00:00,BTC/KZT,10080423.43,10488313.0,8859633.9,9356904.48,26769409.52853663,2.86092581
1662940800000,2022-09-12 00:00:00,BTC/KZT,10032076.0,10293453.49,7801000.0,10057778.65,29431205.352352686,2.92621327
1662854400000,2022-09-11 00:00:00,BTC/KZT,10217244.76,10217575.67,9859651.29,9936877.43,31589692.568089094,3.17903615
1662768000000,2022-09-10 00:00:00,BTC/KZT,9792658.86,10315811.25,9702711.24,10214519.37,29383129.729304124,2.87660424
1662681600000,2022-09-09 00:00:00,BTC/KZT,8944558.62,9898999.0,8761297.0,9784578.0,30220142.7265752,3.0885484
1662595200000,2022-09-08 00:00:00,BTC/KZT,8658447.81,9229902.99,8591334.27,9027926.06,26929988.63319829,2.98296513
1662508800000,2022-09-07 00:00:00,BTC/KZT,8401003.35,8749612.95,8401003.0,8657121.4,25861267.691451572,2.98728255
1662422400000,2022-09-06 00:00:00,BTC/KZT,8756656.42,8976362.76,8401003.3,8401003.39,26298989.446393095,3.13045814
1662336000000,2022-09-05 00:00:00,BTC/KZT,8715464.88,10000000.0,7601001.0,8675235.9,24598017.621510074,2.83542925
1662249600000,2022-09-04 00:00:00,BTC/KZT,8930254.05,10000000.0,7300000.0,8830579.45,26437374.74203776,2.99384371
1662163200000,2022-09-03 00:00:00,BTC/KZT,9138069.15,10000000.0,7103001.0,8325877.25,25287955.17900236,3.03727216
1662076800000,2022-09-02 00:00:00,BTC/KZT,9046199.2,10000000.0,7738911.97,8948146.08,25699298.798004698,2.87202495
1661990400000,2022-09-01 00:00:00,BTC/KZT,8988706.64,9599000.0,8979025.66,9272386.25,27318781.80491801,2.94625149
1661904000000,2022-08-31 00:00:00,BTC/KZT,9429295.39,9832533.0,7100000.0,9206169.82,27725070.231234614,3.01157493
1661817600000,2022-08-30 00:00:00,BTC/KZT,9144880.72,9832528.08,9053489.02,9299255.27,28092102.576557986,3.0208981
