https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WOOP,Volume USDT
1663459200,2022-09-18 00:00:00,WOOP/USDT,0.03111,0.03111,0.03059,0.03059,2010.7834,61.529589103
1663372800,2022-09-17 00:00:00,WOOP/USDT,0.03107,0.03143,0.03073,0.03111,265993.9495,8279.17590279
1663286400,2022-09-16 00:00:00,WOOP/USDT,0.03215,0.03215,0.02848,0.03082,748317.3412,23410.34353464
1663200000,2022-09-15 00:00:00,WOOP/USDT,0.03284,0.03341,0.03182,0.032,295148.9111,9624.849501668
1663113600,2022-09-14 00:00:00,WOOP/USDT,0.03164,0.0353,0.03139,0.03275,2219412.3258,72809.521218787
1663027200,2022-09-13 00:00:00,WOOP/USDT,0.03305,0.0352,0.03146,0.03172,1089708.6912,35601.590837326
1662940800,2022-09-12 00:00:00,WOOP/USDT,0.03144,0.03445,0.03101,0.033,520805.3837,17032.802166685
1662854400,2022-09-11 00:00:00,WOOP/USDT,0.03088,0.03344,0.0304,0.03095,76708.1738,2429.787063751
1662768000,2022-09-10 00:00:00,WOOP/USDT,0.03181,0.03199,0.03037,0.03088,275607.5169,8501.160332837
1662681600,2022-09-09 00:00:00,WOOP/USDT,0.03029,0.0325,0.03029,0.03181,131064.9986,4122.950993535
1662595200,2022-09-08 00:00:00,WOOP/USDT,0.02987,0.03189,0.02939,0.0303,579708.3407,17571.546100761
1662508800,2022-09-07 00:00:00,WOOP/USDT,0.02839,0.03039,0.02799,0.02989,661276.2888,19485.570361485
1662422400,2022-09-06 00:00:00,WOOP/USDT,0.02997,0.0328,0.02827,0.02879,439769.7848129,13105.137187450521
1662336000,2022-09-05 00:00:00,WOOP/USDT,0.03124,0.0316,0.02962,0.02981,374054.0661,11237.92632291
1662249600,2022-09-04 00:00:00,WOOP/USDT,0.03262,0.03373,0.03094,0.03094,261607.3451,8459.101110654
1662163200,2022-09-03 00:00:00,WOOP/USDT,0.03286,0.03373,0.03269,0.03269,11128.63,370.375058828
1662076800,2022-09-02 00:00:00,WOOP/USDT,0.03525,0.03525,0.03134,0.03286,644479.2213,21141.294377268
1661990400,2022-09-01 00:00:00,WOOP/USDT,0.03558,0.03573,0.03306,0.03523,162438.3599,5562.857062977
1661904000,2022-08-31 00:00:00,WOOP/USDT,0.03625,0.03974,0.03505,0.03559,360788.1247,13028.002129478
1661817600,2022-08-30 00:00:00,WOOP/USDT,0.03534,0.0391,0.03519,0.03628,1056806.0144,38513.305504044
1661731200,2022-08-29 00:00:00,WOOP/USDT,0.0356,0.04387,0.03081,0.03534,1524550.9806,51392.970020151
1661644800,2022-08-28 00:00:00,WOOP/USDT,0.03631,0.0365,0.03492,0.03559,315014.3662,11253.590929247
1661558400,2022-08-27 00:00:00,WOOP/USDT,0.03571,0.03729,0.03532,0.03591,384814.989,13810.312677399
