https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EXRD,Volume USDT
1663459200,2022-09-18 00:00:00,EXRD/USDT,0.05936,0.05958,0.05928,0.05928,5077.1605,301.27870997
1663372800,2022-09-17 00:00:00,EXRD/USDT,0.05958,0.06057,0.05903,0.05948,354978.2271,21169.828518481
1663286400,2022-09-16 00:00:00,EXRD/USDT,0.05931,0.06,0.05802,0.05958,511501.9144,30277.075838508
1663200000,2022-09-15 00:00:00,EXRD/USDT,0.06473,0.0648,0.058,0.05931,1210828.0126,74256.078010487
1663113600,2022-09-14 00:00:00,EXRD/USDT,0.06639,0.0692,0.06211,0.0645,747337.5729,49440.513391
1663027200,2022-09-13 00:00:00,EXRD/USDT,0.06575,0.0759,0.0635,0.06645,2445338.9753,167797.431381812
1662940800,2022-09-12 00:00:00,EXRD/USDT,0.06462,0.06859,0.0634,0.06606,1580246.947,104773.385048331
1662854400,2022-09-11 00:00:00,EXRD/USDT,0.05921,0.075,0.05859,0.06462,3522968.0449,223299.328033757
1662768000,2022-09-10 00:00:00,EXRD/USDT,0.06007,0.0605,0.05669,0.05921,1518903.7193,89318.588756762
1662681600,2022-09-09 00:00:00,EXRD/USDT,0.05888,0.0613,0.05888,0.06001,714110.4694,43019.639961359
1662595200,2022-09-08 00:00:00,EXRD/USDT,0.05829,0.06103,0.0577,0.05907,769556.8143,45793.495603999
1662508800,2022-09-07 00:00:00,EXRD/USDT,0.05678,0.05888,0.05577,0.05821,512086.6527,29148.439610513
1662422400,2022-09-06 00:00:00,EXRD/USDT,0.05733,0.0591,0.05626,0.05678,1193295.2425,68904.845205592
1662336000,2022-09-05 00:00:00,EXRD/USDT,0.05622,0.0578,0.05602,0.05702,531618.0882,30228.885707732
1662249600,2022-09-04 00:00:00,EXRD/USDT,0.056,0.0581,0.05582,0.05629,495308.2959,28002.754692481
1662163200,2022-09-03 00:00:00,EXRD/USDT,0.05736,0.05753,0.05494,0.056,1807873.4114,101194.638684868
1662076800,2022-09-02 00:00:00,EXRD/USDT,0.05761,0.05892,0.0568,0.05746,499200.7664,28697.857735257
1661990400,2022-09-01 00:00:00,EXRD/USDT,0.05794,0.0584,0.05739,0.05774,624176.772,35990.167883661
1661904000,2022-08-31 00:00:00,EXRD/USDT,0.05892,0.06035,0.05778,0.05818,960583.7735,56467.153390177
1661817600,2022-08-30 00:00:00,EXRD/USDT,0.0592,0.06187,0.05801,0.05894,1097753.1452,65590.464277009
1661731200,2022-08-29 00:00:00,EXRD/USDT,0.05594,0.06088,0.05583,0.0592,834799.814,49139.999812011
1661644800,2022-08-28 00:00:00,EXRD/USDT,0.05705,0.05741,0.05585,0.05594,490255.7147,27787.998539186
1661558400,2022-08-27 00:00:00,EXRD/USDT,0.0592,0.0592,0.05574,0.05705,1314356.8721,74894.630786323
1661472000,2022-08-26 00:00:00,EXRD/USDT,0.0604,0.06158,0.05881,0.05908,1100091.3124,66292.73217933
1661385600,2022-08-25 00:00:00,EXRD/USDT,0.06106,0.062,0.06025,0.06053,359506.6917,21933.312394441
1661299200,2022-08-24 00:00:00,EXRD/USDT,0.062,0.06253,0.06,0.06106,452315.3885,27612.347155037
1661212800,2022-08-23 00:00:00,EXRD/USDT,0.06021,0.06251,0.0601,0.0621,928332.0935,56535.605368192
1661126400,2022-08-22 00:00:00,EXRD/USDT,0.06142,0.06157,0.0601,0.06027,363548.3613,22050.905759487
1661040000,2022-08-21 00:00:00,EXRD/USDT,0.05959,0.06389,0.05905,0.06142,1100053.8612,67746.589700809
