https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume BTC
1663459200,2022-09-18 00:00:00,ENJ/BTC,0.00002561,0.00002564,0.00002547,0.0000255,29.4485,0.000753041906
1663372800,2022-09-17 00:00:00,ENJ/BTC,0.00002513,0.00002561,0.00002502,0.00002561,7522.9117,0.189832192081
1663286400,2022-09-16 00:00:00,ENJ/BTC,0.00002488,0.0000256,0.00002457,0.00002513,6535.7277,0.165104359601
1663200000,2022-09-15 00:00:00,ENJ/BTC,0.00002505,0.00002508,0.00002428,0.00002484,8914.9185,0.219936616476
1663113600,2022-09-14 00:00:00,ENJ/BTC,0.00002443,0.00002536,0.0000243,0.00002507,12961.1901,0.321846854452
1663027200,2022-09-13 00:00:00,ENJ/BTC,0.00002427,0.00002468,0.0000235,0.00002448,31030.5814,0.748824852958
1662940800,2022-09-12 00:00:00,ENJ/BTC,0.00002487,0.00002554,0.00002405,0.00002424,29482.5605,0.730675186763
1662854400,2022-09-11 00:00:00,ENJ/BTC,0.0000253,0.00002576,0.00002461,0.00002487,9306.9062,0.233571597159
1662768000,2022-09-10 00:00:00,ENJ/BTC,0.00002559,0.00002602,0.00002503,0.00002521,7734.6884,0.197346361972
1662681600,2022-09-09 00:00:00,ENJ/BTC,0.00002712,0.00002791,0.0000253,0.00002558,29416.7288,0.781879367641
1662595200,2022-09-08 00:00:00,ENJ/BTC,0.00002701,0.0000277,0.00002648,0.00002711,24668.4757,0.668779610969
1662508800,2022-09-07 00:00:00,ENJ/BTC,0.0000257,0.00002721,0.00002551,0.00002704,44843.7944,1.165241034707
1662422400,2022-09-06 00:00:00,ENJ/BTC,0.00002689,0.00002751,0.00002561,0.0000257,26263.2652,0.696713620585
1662336000,2022-09-05 00:00:00,ENJ/BTC,0.00002675,0.00002716,0.00002631,0.00002688,7562.0297,0.201832174542
1662249600,2022-09-04 00:00:00,ENJ/BTC,0.0000262,0.00002713,0.00002616,0.00002674,18486.4099,0.493594248142
1662163200,2022-09-03 00:00:00,ENJ/BTC,0.00002552,0.00002652,0.00002535,0.0000262,4486.7791,0.117114126676
1662076800,2022-09-02 00:00:00,ENJ/BTC,0.00002572,0.00002607,0.0000253,0.00002547,4858.7753,0.124988883333
