https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VETBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,VETBULL/USDT,8.356e-05,8.471e-05,8.286e-05,8.321e-05,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,VETBULL/USDT,0.00010745,0.00010765,8.235e-05,8.356e-05,5332790.808999521,445.608
1663372800000.0,2022-09-17 00:00:00,VETBULL/USDT,9.698e-05,0.000108,9.669e-05,0.00010745,441613.12238250347,47.45133
1663286400000.0,2022-09-16 00:00:00,VETBULL/USDT,9.48e-05,9.773e-05,9.169e-05,9.698e-05,1649582.181893174,159.97648
1663200000000.0,2022-09-15 00:00:00,VETBULL/USDT,0.00010511,0.00010531,9.15e-05,9.48e-05,2248944.4092827,213.19993
1663113600000.0,2022-09-14 00:00:00,VETBULL/USDT,9.943e-05,0.00010636,9.75e-05,0.00010511,116192.56017505469,12.213
1663027200000.0,2022-09-13 00:00:00,VETBULL/USDT,0.0001331,0.0001341,9.685e-05,9.943e-05,27940378.15548627,2778.1118
1662940800000.0,2022-09-12 00:00:00,VETBULL/USDT,0.0001316,0.0001441,0.00012635,0.0001331,225794.5154019534,30.05325
1662854400000.0,2022-09-11 00:00:00,VETBULL/USDT,0.000131,0.0001367,0.00012535,0.0001316,11585694.52887538,1524.6774
1662768000000.0,2022-09-10 00:00:00,VETBULL/USDT,0.0001311,0.00013635,0.00012745,0.000131,4905851.908396946,642.6666
1662681600000.0,2022-09-09 00:00:00,VETBULL/USDT,0.0001112,0.00013435,0.0001102,0.0001311,10029549.19908467,1314.8739
1662595200000.0,2022-09-08 00:00:00,VETBULL/USDT,0.00010689,0.00011295,0.0001018,0.0001112,13854502.697841726,1540.6207
1662508800000.0,2022-09-07 00:00:00,VETBULL/USDT,9.561e-05,0.00010754,9.153e-05,0.00010689,12060292.45018243,1289.12466
1662422400000.0,2022-09-06 00:00:00,VETBULL/USDT,0.000118,0.00012825,9.375e-05,9.561e-05,14560626.085137539,1392.14146
1662336000000.0,2022-09-05 00:00:00,VETBULL/USDT,0.0001263,0.00012675,0.0001113,0.000118,12270138.559322035,1447.87635
1662249600000.0,2022-09-04 00:00:00,VETBULL/USDT,0.0001143,0.0001275,0.0001136,0.0001263,1821437.054631829,230.0475
1662163200000.0,2022-09-03 00:00:00,VETBULL/USDT,0.00011235,0.0001152,0.000109,0.0001143,943999.9999999999,107.8992
1662076800000.0,2022-09-02 00:00:00,VETBULL/USDT,0.0001169,0.0001238,0.000109,0.00011235,6606799.287939476,742.2739
1661990400000.0,2022-09-01 00:00:00,VETBULL/USDT,0.00011535,0.0001203,0.00010325,0.0001169,1054159.110350727,123.2312
1661904000000.0,2022-08-31 00:00:00,VETBULL/USDT,0.000117,0.00012605,0.00011315,0.00011535,261244.90680537495,30.1346
1661817600000.0,2022-08-30 00:00:00,VETBULL/USDT,0.0001229,0.0001301,0.00010785,0.000117,217384.6153846154,25.434
1661731200000.0,2022-08-29 00:00:00,VETBULL/USDT,0.000108,0.0001238,0.00010455,0.0001229,1277945.484133442,157.0595
1661644800000.0,2022-08-28 00:00:00,VETBULL/USDT,0.0001194,0.0001229,0.00010665,0.000108,120786.11111111112,13.0449
1661558400000.0,2022-08-27 00:00:00,VETBULL/USDT,0.0001207,0.00012245,0.00011235,0.0001194,91474.03685092127,10.922
1661472000000.0,2022-08-26 00:00:00,VETBULL/USDT,0.0001578,0.00016625,0.0001138,0.0001207,879988.4009942005,106.2146
1661385600000.0,2022-08-25 00:00:00,VETBULL/USDT,0.00015675,0.00016545,0.0001512,0.0001578,205287.07224334605,32.3943
1661299200000.0,2022-08-24 00:00:00,VETBULL/USDT,0.00015165,0.00016125,0.0001413,0.00015675,293309.4098883573,45.97625
1661212800000.0,2022-08-23 00:00:00,VETBULL/USDT,0.0001467,0.0001566,0.00013505,0.00015165,29352021.10121992,4451.234
1661126400000.0,2022-08-22 00:00:00,VETBULL/USDT,0.00015425,0.0001547,0.00012915,0.0001467,3377177.232447171,495.4319
1661040000000.0,2022-08-21 00:00:00,VETBULL/USDT,0.00014315,0.0001615,0.00014075,0.0001542,97083032.1011673,14970.20355
1660953600000.0,2022-08-20 00:00:00,VETBULL/USDT,0.00014165,0.0001542,0.00013365,0.00014315,9017464.547677262,1290.85005
1660867200000.0,2022-08-19 00:00:00,VETBULL/USDT,0.0001914,0.0001923,0.0001373,0.00014165,7102390.0458877515,1006.05355
1660780800000.0,2022-08-18 00:00:00,VETBULL/USDT,0.00021615,0.00022525,0.00019075,0.00019265,567774.2019205814,109.3817
1660694400000.0,2022-08-17 00:00:00,VETBULL/USDT,0.0002503,0.0002765,0.0002085,0.00021615,3505203.793661809,757.6498
1660608000000.0,2022-08-16 00:00:00,VETBULL/USDT,0.0002682,0.0002696,0.0002463,0.0002503,1776082.7007590889,444.5535
1660521600000.0,2022-08-15 00:00:00,VETBULL/USDT,0.0002915,0.0003124,0.0002556,0.0002682,30768682.699478,8252.1607
1660435200000.0,2022-08-14 00:00:00,VETBULL/USDT,0.0003086,0.0003324,0.000284,0.0002915,71520025.728988,20848.0875
1660348800000.0,2022-08-13 00:00:00,VETBULL/USDT,0.0003194,0.0003287,0.0003042,0.0003086,6445401.166558651,1989.0508
1660262400000.0,2022-08-12 00:00:00,VETBULL/USDT,0.0003063,0.0003299,0.0002963,0.0003194,1408307.3888541013,449.81338
1660176000000.0,2022-08-11 00:00:00,VETBULL/USDT,0.000307,0.000326,0.0002983,0.0003063,1299817.4991838066,398.1341
1660089600000.0,2022-08-10 00:00:00,VETBULL/USDT,0.0002433,0.0003088,0.0002244,0.000307,4940094.788273616,1516.6091
1660003200000.0,2022-08-09 00:00:00,VETBULL/USDT,0.0002823,0.0002875,0.0002318,0.0002433,1748181.257706535,425.3325
1659916800000.0,2022-08-08 00:00:00,VETBULL/USDT,0.0002758,0.0003114,0.0002743,0.0002823,4749827.488487424,1340.8763
1659830400000.0,2022-08-07 00:00:00,VETBULL/USDT,0.0002664,0.000285,0.0002564,0.0002758,9011242.929659175,2485.3008
1659744000000.0,2022-08-06 00:00:00,VETBULL/USDT,0.0002773,0.0002898,0.0002636,0.0002664,11076213.213213213,2950.7032
1659657600000.0,2022-08-05 00:00:00,VETBULL/USDT,0.0002337,0.00027955,0.00022975,0.0002773,5579855.751893257,1547.294
1659571200000.0,2022-08-04 00:00:00,VETBULL/USDT,0.00023145,0.0002514,0.0002213,0.0002337,2079926.6153187847,486.07885
1659484800000.0,2022-08-03 00:00:00,VETBULL/USDT,0.00019885,0.00026125,0.00018435,0.00023145,7859767.984445885,1819.1433
1659398400000.0,2022-08-02 00:00:00,VETBULL/USDT,0.00019155,0.0002271,0.00016585,0.00019885,15928173.497611266,3167.3173
1659312000000.0,2022-08-01 00:00:00,VETBULL/USDT,0.0001854,0.0002032,0.0001791,0.00019035,3858158.9177830312,734.40055
1659225600000.0,2022-07-31 00:00:00,VETBULL/USDT,0.000191,0.00021365,0.0001821,0.0001854,36812.297734627835,6.825
