https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume EUT
1663545600000,2022-09-19 00:00:00,EUT/EUR,0.99928604,0.9996852,0.99756,0.99834,855.9926476694543,857.41595816
1663459200000,2022-09-18 00:00:00,EUT/EUR,0.99917,0.99963006,0.99678554,0.99888689,13244.423295514822,13259.18222384
1663372800000,2022-09-17 00:00:00,EUT/EUR,0.99906,0.99966816,0.99698228,0.9991717,26463.383379903706,26485.32117143
1663286400000,2022-09-16 00:00:00,EUT/EUR,0.99974,1.00053438,0.99581081,0.99876,153473.6657457969,153664.20936541
1663200000000,2022-09-15 00:00:00,EUT/EUR,0.99877969,1.0003,0.99484,0.99855207,319721.8804749397,320185.48664662
1663113600000,2022-09-14 00:00:00,EUT/EUR,0.99878,0.9999947,0.99697229,0.99925053,35940.033789537556,35966.98996951
1663027200000,2022-09-13 00:00:00,EUT/EUR,0.99840592,1.0,0.9891,0.9991,379284.76163337537,379626.42541625
1662940800000,2022-09-12 00:00:00,EUT/EUR,0.99852,1.0027,0.9962,0.99850465,272782.6426260509,273191.1590257
1662854400000,2022-09-11 00:00:00,EUT/EUR,1.00348397,1.0051,0.99710946,0.99848,477068.61418411013,477794.86237492
1662768000000,2022-09-10 00:00:00,EUT/EUR,0.99598405,1.00587298,0.99244,1.00348397,844309.5862173878,841378.249637
1662681600000,2022-09-09 00:00:00,EUT/EUR,0.99934471,1.0014,0.99184902,0.99646,285304.2204580189,286317.7854184
1662595200000,2022-09-08 00:00:00,EUT/EUR,0.9995,1.00049463,0.99512,0.99934471,215357.91323872432,215499.12766209
1662508800000,2022-09-07 00:00:00,EUT/EUR,0.99926469,1.0007,0.99623,0.99909,117693.12338398419,117800.32167671
1662422400000,2022-09-06 00:00:00,EUT/EUR,0.99928101,1.00019103,0.99713,0.99935561,42334.8501350679,42362.147879539996
